step,ci_anchor_loss
1,0.004028938738218794
100,3.1340932623897894e-06
200,8.131233332905745e-07
300,7.116092967593235e-07
400,6.052467551758141e-07
500,5.009519872436685e-07
600,4.034218466101002e-07
700,3.1573142241327564e-07
800,2.396962671033216e-07
900,1.76104690527206e-07
1000,1.2488382209834056e-07
1100,8.524877179128702e-08
1200,5.586977476464921e-08
1300,3.5070048831368255e-08
1400,2.104153209166897e-08
1500,1.204685128039817e-08
1600,6.572763368115018e-09
1700,3.413778251127451e-09
1800,1.686276394902316e-09
1900,7.914499948784321e-10
2000,3.525860068385941e-10
2100,1.4890509715962912e-10
2200,5.952460785235762e-11
2300,2.2481969313127737e-11
2400,8.005612183187992e-12
2500,2.681095995285947e-12
2600,8.421513882045544e-13
2700,2.473441499019635e-13
2800,6.770099769992736e-14
2900,1.7206589168302615e-14
3000,9.932196734438708e-09
