step,ci_anchor_loss
1,0.0006629637769663349
100,1.4869955762802759e-08
200,3.014492077280029e-13
300,8.123212531237525e-18
400,7.307940334394541e-23
500,3.2965607256532784e-27
600,5.226950716943405e-30
700,2.866752961520003e-30
800,2.157512925827036e-30
900,1.8201673641515812e-30
1000,1.5738349154102916e-30
1100,1.5114575948646982e-30
1200,1.1788976977091887e-30
1300,1.0248695835347931e-30
1400,8.86520812049485e-31
1500,7.7657975486025885e-31
1600,5.938460222581005e-31
1700,8.105092505729048e-31
1800,4.289485424698646e-31
1900,1.3038249932778659e-30
2000,5.445229946235868e-31
2100,4.289485424698646e-31
2200,4.17601693916077e-31
2300,2.523004353049448e-31
2400,2.6100990499361435e-31
2500,1.4713477065843353e-28
2600,9.896322483180214e-09
2700,1.6967447834435976e-13
2800,5.3421921567205004e-20
2900,4.436747161491055e-22
3000,7.336348615662182e-09
