step,ci_anchor_loss
1,0.01024551574341853
100,2.068801976059422e-05
200,1.0504936012663827e-05
300,6.567661817867403e-06
400,4.139101201543986e-06
500,2.764496976995718e-06
600,2.033152299595213e-06
700,1.6262838731584545e-06
800,1.3620745049831872e-06
900,1.1598257963331733e-06
1000,9.896878784251757e-07
1100,8.41152225871891e-07
1200,7.098726841827398e-07
1300,5.935103335578877e-07
1400,4.906025041333457e-07
1500,4.001800035502004e-07
1600,3.2153833690677916e-07
1700,2.5406381949674567e-07
1800,1.971112629848002e-07
1900,1.4993409118239116e-07
2000,1.1166072789994881e-07
2100,8.130690673715179e-08
2200,5.7812335849248944e-08
2300,4.009050734253698e-08
2400,2.708158118779341e-08
2500,1.780001628752014e-08
2600,1.137096930827121e-08
2700,7.05227862205115e-09
2800,4.241692253649258e-09
2900,2.4713719717269184e-09
3000,1.3932088817391828e-09
