Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.35,0.5,0.4683748498798799,0.3492149557316797,0.35,0.5,modal_pretraining,574,340
0.35,0.5833333333333334,0.5464373248598599,0.2827172573401038,0.35,0.5833333333,joint_training,577,340
0.35,0.65,0.6088873048438439,0.232452632381144,0.35,0.65,modal_pretraining,581,340
0.4,0.5,0.458257569495584,0.3415852321242972,0.4,0.5,modal_pretraining,625,340
0.4,0.575,0.5269962049199216,0.2831806926415482,0.4,0.575,modal_pretraining,627,340
0.4,0.65,0.5957348403442592,0.2278633697748352,0.4,0.65,modal_pretraining,632,340
0.45,0.5,0.4465142774872938,0.333120921601938,0.45,0.5,modal_pretraining,651,340
0.45,0.55,0.4911657052360232,0.2949771442443711,0.45,0.55,modal_pretraining,652,340
0.45,0.6,0.5358171329847525,0.2582272559015803,0.45,0.6,modal_pretraining,653,340
0.45,0.65,0.580468560733482,0.222672696763563,0.45,0.65,modal_pretraining,654,340
0.5,0.5,0.4330127018922193,0.3238482649223875,0.5,0.5,modal_pretraining,698,340
0.5,0.55,0.4763139720814413,0.2869532889745536,0.5,0.55,modal_pretraining,699,340
0.5,0.6,0.5196152422706631,0.2513586019568103,0.5,0.6,modal_pretraining,700,340
0.5,0.65,0.562916512459885,0.2168942232828215,0.5,0.65,modal_pretraining,701,340
0.55,0.5,0.4175823272122516,0.3138124327589353,0.55,0.5,modal_pretraining,720,340
0.55,0.55,0.4593405599334768,0.278234155032741,0.55,0.55,modal_pretraining,721,340
0.55,0.6,0.5010987926547019,0.2438543470117476,0.55,0.6,modal_pretraining,722,340
0.55,0.65,0.5428570253759272,0.2105674665639277,0.55,0.65,modal_pretraining,723,340
0.6,0.5,0.4,0.3030944124201319,0.6,0.5,modal_pretraining,767,340
0.6,0.55,0.44,0.2688829320752667,0.6,0.55,modal_pretraining,768,340
0.6,0.6,0.48,0.2357950761956715,0.6,0.6,modal_pretraining,769,340
0.6,0.65,0.52,0.2036951468322454,0.6,0.65,modal_pretraining,770,340
0.65,0.5,0.3799671038392666,0.2918454367054819,0.65,0.5,modal_pretraining,789,340
0.65,0.55,0.4179638142231933,0.258989507052667,0.65,0.55,modal_pretraining,790,340
0.65,0.6,0.4559605246071199,0.2271756480479645,0.65,0.6,modal_pretraining,791,340
0.65,0.65,0.4939572349910465,0.1963132886872236,0.65,0.65,modal_pretraining,792,340
0.7,0.55,0.3927785635698567,0.2487080687464249,0.7,0.55,modal_pretraining,848,340
0.7,0.6,0.428485705712571,0.218189850442351,0.7,0.6,modal_pretraining,851,340
0.7,0.65,0.4641928478552852,0.1885852111465077,0.7,0.65,modal_pretraining,854,340
