Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.1,0.575,0.5721177763363064,0.3076148664412586,0.1,0.575,modal_pretraining,375,340
0.1,0.65,0.646741834119303,0.2464363800353081,0.1,0.65,modal_pretraining,380,340
0.15,0.55,0.5437772981653428,0.3266072325171263,0.15,0.55,modal_pretraining,408,340
0.15,0.6,0.5932115979985557,0.2848955601617874,0.15,0.6,modal_pretraining,411,340
0.15,0.65,0.6426458978317687,0.2448610040969358,0.15,0.65,modal_pretraining,414,340
0.2,0.55,0.5388877434122992,0.3234401267032974,0.2,0.55,modal_pretraining,459,340
0.2,0.6,0.5878775382679627,0.2822489303937635,0.2,0.6,modal_pretraining,462,340
0.2,0.65,0.6368673331236263,0.2427035414601784,0.2,0.65,modal_pretraining,465,340
0.25,0.55,0.5325352101035199,0.3194069398913362,0.25,0.55,modal_pretraining,484,340
0.25,0.6166666666666667,0.5970849325403101,0.2657072227178943,0.25,0.6166666667,joint_training,488,340
0.3,0.575,0.5485150408147437,0.2944391475948337,0.3,0.575,modal_pretraining,543,340
0.3,0.625,0.596212000885591,0.2554467450588941,0.3,0.625,modal_pretraining,547,340
0.35,0.5833333333333334,0.5464373248598599,0.2827172573401038,0.35,0.5833333333,joint_training,577,340
0.35,0.65,0.6088873048438439,0.232452632381144,0.35,0.65,modal_pretraining,581,340
0.4,0.575,0.5269962049199216,0.2831806926415482,0.4,0.575,modal_pretraining,627,340
0.4,0.65,0.5957348403442592,0.2278633697748352,0.4,0.65,modal_pretraining,632,340
