Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.7,0.55,0.3927785635698567,0.2487080687464249,0.7,0.55,modal_pretraining,848,340
0.7,0.6,0.428485705712571,0.218189850442351,0.7,0.6,modal_pretraining,851,340
0.7,0.65,0.4641928478552852,0.1885852111465077,0.7,0.65,modal_pretraining,854,340
0.75,0.55,0.3637908052713812,0.2383869703782585,0.75,0.55,modal_pretraining,902,340
0.75,0.6,0.3968626966596886,0.2090672036373725,0.75,0.6,modal_pretraining,905,340
0.75,0.65,0.429934588047996,0.1806384837270223,0.75,0.65,modal_pretraining,908,340
0.8,0.575,0.3449999999999999,0.2145495123373862,0.8,0.575,modal_pretraining,954,340
0.8,0.625,0.3749999999999999,0.186697999080449,0.8,0.625,modal_pretraining,958,340
0.85,0.55,0.2897304782034504,0.2217916513377925,0.85,0.55,modal_pretraining,1011,340
0.85,0.6,0.3160696125855822,0.1943492101905763,0.85,0.6,modal_pretraining,1014,340
0.85,0.65,0.342408746967714,0.1675402985478431,0.85,0.65,modal_pretraining,1017,340
