Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.7,0.35,0.2499499949989997,0.3818472779849105,0.7,0.35,modal_pretraining,842,340
0.7,0.4166666666666667,0.2975595178559521,0.3352328921561753,0.7,0.4166666667,joint_training,844,340
0.7,0.4833333333333334,0.3451690407129044,0.290957194008749,0.7,0.4833333333,joint_training,846,340
0.7,0.55,0.3927785635698567,0.2487080687464249,0.7,0.55,modal_pretraining,848,340
0.75,0.35,0.2315032397181516,0.3659299807243679,0.75,0.35,modal_pretraining,896,340
0.75,0.4,0.2645751311064591,0.332251003791527,0.75,0.4,modal_pretraining,897,340
0.75,0.45,0.2976470224947665,0.299872611389676,0.75,0.45,modal_pretraining,899,340
0.75,0.5,0.3307189138830738,0.2686012488334475,0.75,0.5,modal_pretraining,901,340
0.75,0.55,0.3637908052713812,0.2383869703782585,0.75,0.55,modal_pretraining,902,340
0.8,0.35,0.2099999999999999,0.3510418238118923,0.8,0.35,modal_pretraining,947,340
0.8,0.4166666666666667,0.2499999999999999,0.3084396588635482,0.8,0.4166666667,joint_training,949,340
0.8,0.5,0.2999999999999999,0.2578410074396645,0.8,0.5,modal_pretraining,952,340
0.85,0.35,0.1843739406749229,0.3389598658531463,0.85,0.35,modal_pretraining,1005,340
0.85,0.4,0.2107130750570548,0.3084451964423217,0.85,0.4,modal_pretraining,1006,340
0.85,0.4833333333333334,0.2546116323606079,0.2594591417006964,0.85,0.4833333333,joint_training,1009,340
0.85,0.55,0.2897304782034504,0.2217916513377925,0.85,0.55,modal_pretraining,1011,340
