Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.7,0.15,0.1071214264281427,0.5401406203005809,0.7,0.15,modal_pretraining,834,340
0.7,0.2066666666666666,0.1475895208565522,0.4919387167789883,0.7,0.2066666667,joint_training,837,340
0.7,0.25,0.1785357107135712,0.4570488660859372,0.7,0.25,modal_pretraining,840,340
0.75,0.1633333333333333,0.1080348452018041,0.5054998778103121,0.75,0.1633333333,joint_training,890,340
0.75,0.215,0.1422091329697217,0.464307238943871,0.75,0.215,modal_pretraining,893,340
0.8,0.12,0.0719999999999999,0.517267745498746,0.8,0.12,modal_pretraining,939,340
0.8,0.18,0.1079999999999999,0.4704415031469014,0.8,0.18,modal_pretraining,942,340
0.8,0.25,0.1499999999999999,0.4191635780998177,0.8,0.25,modal_pretraining,945,340
0.85,0.12,0.0632139225171164,0.4938197980378727,0.85,0.12,modal_pretraining,997,340
0.85,0.18,0.0948208837756746,0.4506728931970318,0.85,0.18,modal_pretraining,1000,340
0.85,0.25,0.1316956719106592,0.4029905077886317,0.85,0.25,modal_pretraining,1003,340
