step,ci_anchor_loss
1,0.02938476296727302
100,0.00022212905336745553
200,0.00016756596249265272
300,0.00012968508474818242
400,0.0001000370265484951
500,7.495132534680202e-05
600,5.049917671240322e-05
700,2.7211331308083853e-05
800,1.2115024346236297e-05
900,6.072386975762897e-06
1000,3.2309055266713776e-06
1100,1.5969731621551739e-06
1200,7.580334840385919e-07
1300,3.785757744722493e-07
1400,2.171543014939959e-07
1500,1.4609054036238894e-07
1600,1.1004351219873842e-07
1700,8.769308093051098e-08
1800,7.129608956361728e-08
1900,5.808170977645146e-08
2000,4.7018575051915575e-08
2100,3.766849905065931e-08
2200,2.9794521797118986e-08
2300,2.3228883456709747e-08
2400,1.782759924930227e-08
2500,1.3454396545248144e-08
2600,9.975811956942522e-09
2700,7.261256256339075e-09
2800,5.1853572503748455e-09
2900,3.6310428890491403e-09
3000,2.4923950537869018e-09
