Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.85,0.65,0.342408746967714,0.1675402985478431,0.85,0.65,modal_pretraining,1017,340
0.85,0.7,0.3687478813498459,0.1414119667889211,0.85,0.7,modal_pretraining,1018,340
0.85,0.75,0.3950870157319778,0.1160019340020967,0.85,0.75,joint_training,1020,340
0.85,0.8,0.4214261501141096,0.0912673344193447,0.85,0.8,modal_pretraining,1022,340
0.9,0.65,0.2833284313301437,0.1699951127280745,0.9,0.65,modal_pretraining,1082,340
0.9,0.7,0.3051229260478471,0.1435218260260112,0.9,0.7,modal_pretraining,1083,340
0.9,0.7375,0.3214687970861246,0.1237942854687964,0.9,0.7375,modal_pretraining,1084,340
0.9,0.8,0.3487119154832538,0.0914603723440189,0.9,0.8,modal_pretraining,1087,340
0.94,0.7,0.2388221095292478,0.1680474695456416,0.94,0.7,modal_pretraining,1155,340
0.94,0.7375,0.2516161511111718,0.1478019511183625,0.94,0.7375,modal_pretraining,1156,340
0.94,0.775,0.2644101926930958,0.1267101936146734,0.94,0.775,modal_pretraining,1158,340
0.98,0.65,0.1293483668238607,0.2859439572206668,0.98,0.65,modal_pretraining,1218,340
0.98,0.7,0.1392982411949269,0.2695422855264303,0.98,0.7,modal_pretraining,1219,340
0.98,0.7375,0.1467606469732266,0.2570295345993785,0.98,0.7375,modal_pretraining,1220,340
0.98,0.8,0.1591979899370593,0.2357547612983845,0.98,0.8,modal_pretraining,1223,340
