step,ci_anchor_loss
1,0.5701072491541502
100,0.10856883394064157
200,0.012800442354465192
300,0.00861019803912646
400,0.0052088441551662095
500,0.002997911898151205
600,0.0017025672669329943
700,0.0009132308962494604
800,0.0004596031502364896
900,0.00021782052877111175
1000,9.72530806892694e-05
1100,4.083277888889796e-05
1200,1.6080027243146153e-05
1300,5.921815403978499e-06
1400,2.0325459041375553e-06
1500,6.476797071783111e-07
1600,1.9079537158582207e-07
1700,5.1726240430295946e-08
1800,1.2845826396642206e-08
1900,2.908130966602896e-09
2000,5.971081933280587e-10
2100,1.105921440234567e-10
2200,1.8369461991785447e-11
2300,2.719130683230759e-12
2400,3.562444497471071e-13
2500,4.1002124909849435e-14
2600,4.1120851455368256e-15
2700,3.5615475047652983e-16
2800,2.638081107407123e-17
2900,1.6533430810577677e-18
3000,8.667007543757428e-20
