step,ci_anchor_loss
1,0.004126094495823015
100,5.904201699044239e-06
200,4.717197411908443e-06
300,3.901601570632085e-06
400,3.1809177099306182e-06
500,2.499624919230274e-06
600,1.8681225480460655e-06
700,1.3117836857612578e-06
800,8.564803753894811e-07
900,5.193102806557218e-07
1000,2.978283238359321e-07
1100,1.6771788603971582e-07
1200,9.565899010567743e-08
1300,5.525824564951199e-08
1400,3.166198518142811e-08
1500,1.7644242710305316e-08
1600,9.455334662538348e-09
1700,4.8461767842333975e-09
1800,2.3690623672074532e-09
1900,1.1026241521955873e-09
2000,4.878247336615602e-10
2100,2.0481595952104494e-10
2200,8.14558159535265e-11
2300,3.062165575429252e-11
2400,1.0855763967331929e-11
2500,3.6197504496530527e-12
2600,2.208326113053787e-09
2700,6.344017918388947e-13
2800,1.8239564124766765e-13
2900,1.1478708691590289e-09
3000,2.912831316220819e-13
