step,ci_anchor_loss
1,0.2850703746960807
100,0.0018256809202884553
200,0.00011871388357457013
300,2.896567405826073e-05
400,4.538251655088101e-06
500,4.5703014425206224e-07
600,3.03171336214287e-08
700,1.342160095139947e-09
800,3.9375740995198366e-11
900,7.484310273902591e-13
1000,8.903120785769809e-15
1100,6.323273891147445e-17
1200,2.5169279001835703e-19
1300,5.207059922880242e-22
1400,7.49216901447719e-25
1500,3.654420359692761e-26
1600,2.832397645525619e-26
1700,2.487651506697136e-26
1800,2.2016916434038282e-26
1900,1.9519450557228466e-26
2000,1.7321974336631368e-26
2100,1.5429702861986662e-26
2200,1.373504782364032e-26
2300,1.2249538187772612e-26
2400,1.0978616989658528e-26
2500,9.825427441673787e-27
2600,8.799648446980204e-27
2700,7.87830397429388e-27
2800,7.068297651982857e-27
2900,6.348573405995136e-27
3000,5.722030316792977e-27
