epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,2.3444000422708453e-27,2.344400042270845e-24,0.00019999999970699613,8.294753522817405e-11
100,2.3203422142389383e-09,2.3203422142389383e-06,0.00019999706997625506,0.20903603183249686
200,3.233466148119601e-13,3.233466148119601e-10,0.00019998828008575777,0.002496502483594618
300,9.197735466182407e-18,9.197735466182407e-15,0.00019997363087071005,1.3289164697485912e-05
400,1.1956122531243618e-21,1.1956122531243618e-18,0.0001999531232347445,1.5271949152979948e-07
500,2.326071705328904e-07,0.0002326071705328904,0.0001999267584428687,2.1622795198127625
600,8.050866791205099e-09,8.050866791205099e-06,0.00019989453812138715,0.3960113720690423
700,2.0955377013791844e-14,2.0955377013791842e-11,0.00019985646425780114,0.0005461084973432699
800,2.282037326462753e-17,2.282037326462753e-14,0.00019981253920068581,2.119357899715685e-05
900,5.716580251944967e-22,5.716580251944967e-19,0.00019976276565954567,1.038855807215115e-07
1000,2.894194158264622e-25,2.894194158264622e-22,0.0001997071467046472,1.4296028068304031e-09
1100,2.4941673199337376e-14,2.4941673199337376e-11,0.00019964568576682942,0.0006994733507759763
1200,2.977070109605415e-10,2.977070109605415e-07,0.0001995783866372926,0.07634197484886501
1300,7.153251601049289e-09,7.153251601049289e-06,0.000199505253467364,0.3740203471997578
1400,2.1179287550913792e-08,2.1179287550913793e-05,0.00019942629076824208,0.6417480943744737
1500,3.714874179971089e-10,3.714874179971089e-07,0.00019934150341071802,0.05422122496691556
1600,1.1529449116581235e-08,1.1529449116581235e-05,0.0001992508966248754,0.47506441745375766
1700,1.5392492499028538e-09,1.5392492499028537e-06,0.00019915447599976762,0.17410117409010373
1800,3.3260252603344333e-06,0.0033260252603344335,0.00019905224748307298,8.01385850466713
1900,1.7655496776298913e-10,1.7655496776298912e-07,0.00019894421738072797,0.05876393559520125
2000,5.757820292389574e-09,5.757820292389575e-06,0.00019883039235653812,0.3212439977015164
2100,1.6582286306452339e-06,0.0016582286306452338,0.00019871077943176707,5.666982439365784
