step,ci_anchor_loss
1,0.0719775028289545
100,6.240936424430711e-05
200,2.3151437486707386e-05
300,1.727617990917242e-05
400,1.4209143555681267e-05
500,1.1530698357447501e-05
600,9.17587577749132e-06
700,7.1306098942279565e-06
800,5.387470713202274e-06
900,3.941711388071135e-06
1000,2.7829785538000056e-06
1100,1.8903347466486406e-06
1200,1.2320245135419201e-06
1300,7.687051807427737e-07
1400,4.5827439192891206e-07
1500,2.6063280580732445e-07
1600,1.4122228126338458e-07
1700,7.282156065673475e-08
1800,3.569767617147973e-08
1900,1.661733403707676e-08
2000,7.3362728700976215e-09
2100,3.0671317522168098e-09
2200,1.2121553362062602e-09
2300,4.5189983544236384e-10
2400,1.5853716590030332e-10
2500,5.2195019619227256e-11
2600,1.6076770252843397e-11
2700,4.617036599847703e-12
2800,1.2317040858754969e-12
2900,3.0399816244212953e-13
3000,6.911225546035883e-14
