step,ci_anchor_loss
1,0.0077186806063249454
100,4.811697944777788e-06
200,3.0889475316476854e-06
300,1.8650172389432656e-06
400,9.864196313297266e-07
500,4.5261329318382035e-07
600,1.7828965842919492e-07
700,5.993481313065218e-08
800,1.7192174349821482e-08
900,4.222480472981916e-09
1000,8.911537322155514e-10
1100,1.6185476304879402e-10
1200,2.5262958650043584e-11
1300,3.3750898985997656e-12
1400,3.8359027546316297e-13
1500,3.679935240953085e-14
1600,2.9525014836547566e-15
1700,1.9602637047873044e-16
1800,1.0641346352331718e-17
1900,4.659530307625082e-19
2000,1.6206612951271048e-20
2100,4.401368418851042e-22
2200,9.169204564346809e-24
2300,1.4591013200416528e-25
2400,2.0447628931267025e-27
2500,7.325989093793084e-29
2600,2.64916926761436e-29
2700,2.0808248106022754e-29
2800,1.9616885676964243e-29
2900,1.7089877603163594e-29
3000,1.5671702518104093e-29
