Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.35,0.65,0.6088873048438439,0.232452632381144,0.35,0.65,modal_pretraining,581,340
0.35,0.7000000000000001,0.6557247898318319,0.1962395649775392,0.35,0.7,joint_training,583,340
0.35,0.75,0.7025622748198198,0.1612227252463079,0.35,0.75,joint_training,585,340
0.35,0.8,0.7493997598078078,0.1272250990857027,0.35,0.8,modal_pretraining,587,340
0.4,0.65,0.5957348403442592,0.2278633697748352,0.4,0.65,modal_pretraining,632,340
0.4,0.6875,0.6301041580564279,0.2012310799221334,0.4,0.6875,modal_pretraining,633,340
0.4,0.725,0.6644734757685967,0.1752362137306764,0.4,0.725,modal_pretraining,635,340
0.4,0.7625,0.6988427934807655,0.1497751955894262,0.4,0.7625,modal_pretraining,637,340
0.4,0.8,0.7332121111929344,0.1249161268489547,0.4,0.8,modal_pretraining,638,340
0.45,0.65,0.580468560733482,0.222672696763563,0.45,0.65,modal_pretraining,654,340
0.45,0.6875,0.613957131545029,0.196744588533162,0.45,0.6875,modal_pretraining,655,340
0.45,0.75,0.6697714162309407,0.1548108649600535,0.45,0.75,joint_training,658,340
0.45,0.8,0.71442284397967,0.1222931228267289,0.45,0.8,modal_pretraining,660,340
0.5,0.65,0.562916512459885,0.2168942232828215,0.5,0.65,modal_pretraining,701,340
0.5,0.7000000000000001,0.6062177826491071,0.183465026925012,0.5,0.7,joint_training,703,340
0.5,0.7625,0.6603443703856344,0.1430171756542516,0.5,0.7625,modal_pretraining,706,340
0.5,0.8,0.6928203230275509,0.1193663232840431,0.5,0.8,modal_pretraining,707,340
0.55,0.65,0.5428570253759272,0.2105674665639277,0.55,0.65,modal_pretraining,723,340
0.55,0.6875,0.574175699916846,0.1862168550037532,0.55,0.6875,modal_pretraining,724,340
0.55,0.725,0.6054943744577649,0.1623780920979512,0.55,0.725,modal_pretraining,726,340
0.55,0.7625,0.6368130489986837,0.1390139382292506,0.55,0.7625,modal_pretraining,728,340
0.55,0.8,0.6681317235396027,0.1160850930924186,0.55,0.8,modal_pretraining,729,340
0.6,0.65,0.52,0.2036951468322454,0.6,0.65,modal_pretraining,770,340
0.6,0.7000000000000001,0.56,0.1725009775649845,0.6,0.7,joint_training,772,340
0.6,0.75,0.6000000000000001,0.1421020401410205,0.6,0.75,joint_training,774,340
0.6,0.8,0.6400000000000001,0.1124369173070969,0.6,0.8,modal_pretraining,776,340
0.65,0.65,0.4939572349910465,0.1963132886872236,0.65,0.65,modal_pretraining,792,340
0.65,0.6875,0.5224547677789916,0.173746284430382,0.65,0.6875,modal_pretraining,793,340
0.65,0.725,0.5509523005669366,0.1515863449114639,0.65,0.725,modal_pretraining,795,340
0.65,0.7625,0.5794498333548815,0.1298571480099675,0.65,0.7625,modal_pretraining,797,340
0.65,0.8,0.6079473661428265,0.1085267925627368,0.65,0.8,modal_pretraining,798,340
0.7,0.65,0.4641928478552852,0.1885852111465077,0.7,0.65,modal_pretraining,854,340
0.7,0.7,0.4998999899979994,0.1597637952986387,0.7,0.7,modal_pretraining,856,340
0.7,0.75,0.5356071321407138,0.1316713974396367,0.7,0.75,joint_training,859,340
0.7,0.8,0.571314274283428,0.1042480673850852,0.7,0.8,modal_pretraining,862,340
