step,ci_anchor_loss
1,0.06203498021193515
100,0.0003017294071761639
200,0.00023950782762819118
300,0.00018962638289078115
400,0.00014484323504676376
500,0.00010655845531784466
600,7.511341414371395e-05
700,5.046518466422334e-05
800,3.225449044733761e-05
900,1.9764849649661855e-05
1000,1.1929157801001945e-05
1100,7.430109983701396e-06
1200,4.9763702817615694e-06
1300,3.6074389648983787e-06
1400,2.774668371493826e-06
1500,2.220360228277414e-06
1600,1.8312093784861292e-06
1700,1.5514539336242927e-06
1800,1.3471874040939745e-06
1900,1.1947134923379109e-06
2000,1.0769654305457533e-06
2100,9.819680470529403e-07
2200,9.016921753209135e-07
2300,8.310226526100528e-07
2400,7.668690227793134e-07
2500,7.074636817399314e-07
2600,6.518532324140118e-07
2700,5.995571403847728e-07
2800,5.503539168861356e-07
2900,5.041550918043418e-07
3000,4.609345593357042e-07
