step,ci_anchor_loss
1,0.052950427746480185
100,0.0003180077900546944
200,0.0002436925693714879
300,0.00017714116240065102
400,0.00011984088488573106
500,7.342528984271264e-05
600,3.9814162771301824e-05
700,1.939606160534203e-05
800,9.090972404079087e-06
900,4.5305125464084355e-06
1000,2.655511579570549e-06
1100,1.8858737605274672e-06
1200,1.5269439796235341e-06
1300,1.316204278764793e-06
1400,1.1661565198274943e-06
1500,1.048066923174999e-06
1600,9.504929658411267e-07
1700,8.672257560213831e-07
1800,7.942113314679101e-07
1900,7.28698536907054e-07
2000,6.688656571426719e-07
2100,6.135618876405288e-07
2200,5.621033884935892e-07
2300,5.14115020397532e-07
2400,4.694130029568713e-07
2500,4.2792181486011516e-07
2600,3.8961754324355686e-07
2700,3.5449026234371844e-07
2800,3.2251942182718005e-07
2900,2.936580237632625e-07
3000,2.6782304835773443e-07
