Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.1,0.0733333333333333,0.0729657453878188,0.869404409192074,0.1,0.0733333333,joint_training,353,340
0.1,0.12,0.1193984924527944,0.7999901055612681,0.1,0.12,modal_pretraining,359,340
0.2,0.06,0.0587877538267962,0.8665968435713755,0.2,0.06,modal_pretraining,439,340
0.2,0.0966666666666666,0.0947136033876162,0.8127287909723908,0.2,0.0966666667,joint_training,443,340
0.3,0.0733333333333333,0.0699555414372426,0.8118143617460005,0.3,0.0733333333,joint_training,524,340
0.3,0.12,0.1144727041700334,0.7491896813567267,0.3,0.12,modal_pretraining,528,340
0.35,0.05,0.0468374849879879,0.8227186030590512,0.35,0.05,modal_pretraining,572,340
0.4,0.08,0.0733212111192934,0.7596431096503505,0.4,0.08,modal_pretraining,609,340
0.5,0.06,0.0519615242270663,0.7346064222711816,0.5,0.06,modal_pretraining,679,340
0.5,0.1,0.0866025403784438,0.6878202528549653,0.5,0.1,modal_pretraining,684,340
0.6,0.06,0.048,0.6801526918572754,0.6,0.06,modal_pretraining,748,340
0.6,0.1,0.08,0.6375303661659658,0.6,0.1,modal_pretraining,753,340
0.7,0.05,0.0357071421427142,0.6338226755671641,0.7,0.05,modal_pretraining,823,340
0.7,0.06,0.0428485705712571,0.623895550446348,0.7,0.06,modal_pretraining,824,340
0.7,0.105,0.0749849984996999,0.5808018746972928,0.7,0.105,modal_pretraining,832,340
