step,ci_anchor_loss
1,0.016889925841139287
100,2.7899782133399708e-05
200,1.856578148086636e-05
300,1.4490419258264972e-05
400,1.140020664732841e-05
500,8.989646274568862e-06
600,7.049748580163716e-06
700,5.474046167755561e-06
800,4.205656044471911e-06
900,3.202997819676335e-06
1000,2.427097927914372e-06
1100,1.8393305273037668e-06
1200,1.4024381606990627e-06
1300,1.0822207520299709e-06
1400,8.490695572037099e-07
1500,6.789191558804649e-07
1600,5.533955568614848e-07
1700,4.592296684735586e-07
1800,3.8723636778574796e-07
1900,3.3120497384183983e-07
2000,2.8694057193120505e-07
2100,2.5154976791534573e-07
2200,2.229608671753768e-07
2300,1.996247956853991e-07
2400,1.8033925500596172e-07
2500,1.641502640871371e-07
2600,1.502984731850089e-07
2700,1.3818827608875147e-07
2800,1.273659521614168e-07
2900,1.174995053893301e-07
3000,1.083576205469659e-07
