Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.1,0.12,0.1193984924527944,0.7999901055612681,0.1,0.12,modal_pretraining,359,340
0.1,0.1633333333333333,0.1625146147274146,0.739897100219962,0.1,0.1633333333,joint_training,361,340
0.1,0.2066666666666666,0.2056307370020348,0.6835526349983464,0.1,0.2066666667,joint_training,363,340
0.1,0.25,0.248746859276655,0.6304619915915209,0.1,0.25,modal_pretraining,366,340
0.2,0.1633333333333333,0.1600333298618343,0.7222630010412884,0.2,0.1633333333,joint_training,447,340
0.2,0.2066666666666666,0.202491152070076,0.6679539499446427,0.2,0.2066666667,joint_training,449,340
0.2,0.25,0.2449489742783178,0.6167071536628588,0.2,0.25,modal_pretraining,451,340
0.3,0.12,0.1144727041700334,0.7491896813567267,0.3,0.12,modal_pretraining,528,340
0.3,0.1633333333333333,0.1558100695647677,0.6947819047480893,0.3,0.1633333333,joint_training,530,340
0.3,0.21,0.2003272322975585,0.6396545832002872,0.3,0.21,modal_pretraining,533,340
0.3,0.25,0.2384848003542364,0.5949105456643982,0.3,0.25,modal_pretraining,534,340
0.4,0.15,0.1374772708486752,0.6748477242363324,0.4,0.15,modal_pretraining,613,340
0.4,0.2066666666666666,0.1894131287248414,0.6118685304720786,0.4,0.2066666667,joint_training,616,340
0.4,0.25,0.229128784747792,0.5665594002915466,0.4,0.25,modal_pretraining,618,340
0.5,0.18,0.1558845726811989,0.6017366107236776,0.5,0.18,modal_pretraining,688,340
0.5,0.25,0.2165063509461096,0.5330842441179601,0.5,0.25,modal_pretraining,691,340
0.6,0.15,0.12,0.587468855450531,0.6,0.15,modal_pretraining,755,340
0.6,0.21,0.168,0.5313527632428164,0.6,0.21,modal_pretraining,759,340
0.6,0.25,0.2,0.496036090515588,0.6,0.25,modal_pretraining,760,340
0.7,0.15,0.1071214264281427,0.5401406203005809,0.7,0.15,modal_pretraining,834,340
0.7,0.2066666666666666,0.1475895208565522,0.4919387167789883,0.7,0.2066666667,joint_training,837,340
0.7,0.25,0.1785357107135712,0.4570488660859372,0.7,0.25,modal_pretraining,840,340
