epoch,loss,modal_loss,compat,ode,bc,gauge,q_center,parity,ci_anchor,ci_batch_mean,ci_grad_norm,field_lr,ci_lr
1,0.00044360128210612975,0.0002942029818601253,2.568890723144798e-06,0.00013288319208097668,1.7946972500186547e-08,3.7651206531207796e-08,1.9555532095737066e-09,1.6499417390909134e-07,1.4939830024600444e-07,0.030925209900981725,0.005507060435717449,4.999999986977605e-05,0.0001999999994791042
2,0.23089841830698543,0.09727426221182502,0.0003538425993678305,0.001410060942183153,0.0003502761562721417,0.0003100960617579995,5.389264619372231e-07,0.00016010948196150667,0.0001336241560951604,0.031110957671955347,41.41962979946383,4.999999947910422e-05,0.0001999999979164169
3,0.020998377503583444,0.008064674685842625,3.261513255626333e-05,0.0001887865324480323,2.231685912315364e-05,2.7518837543668456e-05,6.317521225077212e-09,9.655339289638121e-06,1.293370281774082e-05,0.03173941280491731,8.83882379606228,4.999999882798449e-05,0.00019999999531193795
4,0.04778394568451162,0.028942312846354887,9.630846880781733e-05,0.0005398739249400568,0.00012515691200301076,8.377086469727e-05,3.6039728046163428e-09,7.623486694803693e-05,1.8841632838156733e-05,0.03183787864214069,17.5243888160001,4.999999791641688e-05,0.00019999999166566752
5,0.06080062903935292,0.052480107341964406,0.00019716441915648244,0.0009795718939972324,0.00014450102000182813,0.00018709226337478276,3.936936142677962e-07,7.660300831004642e-05,8.320521697388514e-06,0.03178297303120993,4.936039844523241,4.9999996744401405e-05,0.00019999998697760562
6,0.05436185232840397,0.03045557402253611,0.00011944453645228734,0.0005316428025890701,8.570965298944262e-05,0.00010582618393245564,7.727113866040146e-07,4.1689635021395894e-05,2.3906278305867858e-05,0.03149699102076094,15.361113642590281,4.9999995311938066e-05,0.00019999998124775226
7,0.028152705640860393,0.007860934366533687,2.7681487783580158e-05,0.00011914401225760435,5.061354407197974e-05,1.3450085310252057e-05,3.8084901766021915e-07,2.257177821627401e-05,2.0291771274326702e-05,0.03190729076297765,13.94418227909719,4.999999361902689e-05,0.00019999997447610755
8,0.01257436002332592,0.005138268018721815,1.4271631114320143e-05,0.00014057795875055322,2.853718693767354e-05,1.2281004147061038e-05,3.334962152242125e-08,2.6999861326617702e-05,7.436092004604105e-06,0.031665533709759754,4.802773700308299,4.999999166566789e-05,0.00019999996666267156
9,0.019974923234670757,0.014837198334309763,4.646544000326537e-05,0.0005810873038983138,5.6168690632333327e-05,4.639576721332807e-05,8.293785111440508e-07,2.277590101227135e-05,5.137724900360994e-06,0.03129589084515452,8.29753495071275,4.999998945186108e-05,0.00019999995780744433
10,0.018300559482395874,0.015811916899567322,5.2628853006455914e-05,0.0006512676748339304,7.337390388665417e-05,4.0758947311758536e-05,7.965150207637268e-07,2.9284344347330645e-05,2.488642582828554e-06,0.03131726039832371,3.406081186065651,4.99999869776065e-05,0.000199999947910426
