epoch,loss,modal_loss,compat,ode,bc,gauge,q_center,parity,ci_anchor,ci_batch_mean,ci_grad_norm,field_lr,ci_lr
1,6.211052195790836e-05,6.194645466951206e-05,2.3337936596457154e-07,5.698644599196623e-05,5.57891085926906e-09,3.3443950556182676e-10,8.780190709615365e-09,3.7024850250457963e-07,1.640672883963022e-10,0.5022211608032549,0.029339819558467033,4.9999999942122695e-05,0.00019999999976849078
2,0.04315088520278454,0.029242945946033966,7.70037987194179e-05,5.416158804362721e-05,0.0005008580686366325,0.0001261653204112647,9.042383074356804e-07,2.3129033808327965e-05,1.390793925675057e-05,0.5012546892276244,8.667583986826527,4.9999999768490767e-05,0.00019999999907396307
3,0.002808446104420016,0.0018922047288676875,2.5415459700552885e-05,5.657179536797981e-05,4.399524720877194e-05,4.979327912093528e-08,3.5449050639958703e-07,8.89007150299549e-06,9.162413755523284e-07,0.500169603665646,2.2011640095678793,4.999999947910422e-05,0.0001999999979164169
4,0.013755199970524054,0.010361305016373449,2.0213447922753773e-05,5.603491151079565e-05,0.00011780878373583953,6.366598346159869e-05,2.2199486931470206e-08,4.7444599329956065e-07,3.393894954150605e-06,0.4999177336087621,4.182380867676361,4.999999907396305e-05,0.0001999999962958522
5,0.018525492343318784,0.01198503266280235,2.8077652820504234e-05,5.490992001904612e-05,0.00022941583538072706,4.484911691186456e-05,1.1127686734966909e-07,4.801900151265036e-06,6.540459680516432e-06,0.5000947545286432,5.791442192825485,4.999999855306727e-05,0.0001999999942122691
6,0.008644032590921644,0.005253751357283105,2.9367612402663592e-05,5.697934344318596e-05,0.0001431728990132467,3.1135105790618803e-06,2.6973551062057133e-07,1.1711332309086993e-05,3.390281233638539e-06,0.5007823031261278,4.166596258326249,4.999999791641688e-05,0.00019999999166566752
7,0.0032396276343385614,0.002960223583912714,2.756908904360494e-05,5.7240859302312914e-05,4.034860608180563e-05,1.1383769268544855e-05,2.1684472397261382e-07,1.1660724908513084e-05,2.794040504258476e-07,0.5012051761988402,1.1791360054965625,4.999999716401188e-05,0.0001999999886560475
8,0.005387495023672659,0.0046784599999740535,2.0769835370655324e-05,5.6828155494558844e-05,2.914867684247866e-05,3.330356173571088e-05,4.957688828775955e-08,6.597522221822416e-06,7.090350236986061e-07,0.5014894506831262,1.9080075951695135,4.9999996295852276e-05,0.0001999999851834091
9,0.007803000689412733,0.004947319207435681,1.3733745370228525e-05,5.620413893935848e-05,7.759230968755758e-05,2.288135280892688e-05,4.558720670616134e-08,2.222075794621231e-06,2.8556814819770513e-06,0.5014533569330457,3.853631095609035,4.9999995311938066e-05,0.00019999998124775226
10,0.007027106396396381,0.003828084866357561,1.0226159410197594e-05,5.654051854774295e-05,0.00010911093555312784,2.931091998367202e-06,1.808787901899604e-07,1.110677974654646e-06,3.1990215300388197e-06,0.5013881516800375,4.0786638979647,4.999999421226926e-05,0.00019999997684907704
11,0.004934140571495211,0.003316470643828525,1.0354501527743156e-05,5.565414150969404e-05,9.186520103463602e-05,2.9670540062489186e-06,2.7314052528453935e-07,2.5937952471320404e-06,1.617669927666685e-06,0.5014762497420175,2.8944853265924033,4.999999299684587e-05,0.00019999997198738348
12,0.0035073501131432385,0.0033300548138175973,1.1288290208304339e-05,5.740052181326471e-05,4.924172474850222e-05,1.5682507619589903e-05,2.3286789166502846e-07,4.601238204295349e-06,1.7729529932564126e-07,0.5006741484420684,0.9529055161099186,4.999999166566789e-05,0.00019999996666267156
13,0.0027919201937061525,0.002563232669557808,1.0169420785983794e-05,5.436736839779634e-05,1.7534502955825973e-05,1.7780853515743802e-05,1.245449888001714e-07,5.536776067881156e-06,2.2868752414834462e-07,0.5003679615107002,1.0575204592710388,4.9999990218735323e-05,0.0001999999608749413
14,0.002752974529810175,0.0014969793453817298,9.202147691505826e-06,5.656659650618635e-05,1.7132163458371765e-05,7.413372922019569e-06,3.642143793342659e-08,4.973781082252358e-06,1.255995184428445e-06,0.5002188111241203,2.506489068988307,4.999998865604819e-05,0.00019999995462419276
15,0.0032918665717702224,0.0014698914313374847,7.386933339435245e-06,5.4815896952554395e-05,4.1918860639008696e-05,9.070110792846735e-08,1.1555539352427154e-08,3.3891327720638927e-06,1.8219751404327378e-06,0.5001699585615071,3.0218690047384102,4.99999869776065e-05,0.000199999947910426
