epoch,loss,modal_loss,compat,ode,bc,gauge,q_center,parity,ci_anchor,ci_batch_mean,ci_grad_norm,field_lr,ci_lr
1,0.009382857522185498,1.9281207097932455e-05,1.7498466786748814e-07,1.5307988115323082e-05,8.36678530199909e-09,7.041459353647776e-10,8.942198237605321e-10,7.515951650781817e-07,9.363576315087566e-06,0.03321737504235399,0.19749920702663482,4.999999981247751e-05,0.00019999999924991005
2,0.025244747443702923,0.007648763726436378,7.5985202156955e-06,2.0945320772379314e-05,3.607386743041282e-05,6.391658220196532e-05,6.440414162978892e-08,9.224749789561857e-06,1.7595983717266543e-05,0.03477617815019479,15.130433833569079,4.999999924991007e-05,0.00019999999699964028
3,0.20679037695233002,0.0005408423322108297,1.492416231987585e-06,2.2869221600595445e-05,5.2113727749225505e-06,3.3070803858092463e-06,5.70119987423878e-08,4.807700721983848e-06,0.00020624953462011918,0.034941994670197554,75.37891032384664,4.999999831229768e-05,0.0001999999932491907
4,0.1737040664306026,0.0013095515470462069,2.5261437427633663e-06,2.6641338561363208e-05,7.888775519625671e-06,9.933396956203833e-06,2.5857424762444335e-07,9.336119625870025e-06,0.0001723945148835564,0.036375477939829225,62.87457431975386,4.9999996999640324e-05,0.0001999999879985613
5,0.034381551218003306,0.005227577552269683,5.26082337036251e-06,1.9354581539242527e-05,2.1580677818099056e-05,4.452181173621903e-05,5.054376607389355e-07,1.1970599184189067e-05,2.9153973665733624e-05,0.03461391827202552,16.70917954842153,4.9999995311938066e-05,0.00019999998124775226
6,0.08553267008215878,0.0050269562246433,5.2906645146796565e-06,2.4572098626196546e-05,2.5106201026125894e-05,4.140495611817794e-05,5.203687173213677e-07,9.242278436477417e-06,8.050571385751549e-05,0.0337395508115758,41.722777840521026,4.999999324919091e-05,0.00019999997299676364
7,0.18130198913030604,0.0036792682332216255,5.134609935529629e-06,3.438304390528338e-05,2.6239722391042415e-05,2.752302151218837e-05,4.1943741691909184e-07,9.301464109010129e-06,0.0001776227208970844,0.03425937958215235,56.70036799926653,4.99999908113989e-05,0.0001999999632455956
8,0.15883267168297754,0.0020771970250820695,4.035842497846175e-06,1.9204690218773874e-05,2.0880043323416743e-05,1.3484797340163795e-05,2.6628325542694127e-07,9.309423383182712e-06,0.00015675547465789547,0.03490585082473049,48.344951850763515,4.999998799856206e-05,0.00019999995199424824
9,0.06633256552627553,0.0007210956066888845,2.0385822950743882e-06,1.675546600982957e-05,1.0365303982631225e-05,3.506375975634109e-06,1.3184085532538164e-07,8.540480122844303e-06,6.561146991958665e-05,0.03462934823166074,26.23293295546392,4.9999984810680447e-05,0.00019999993924272179
10,0.02057373447450538,8.974927712563503e-05,5.018166967172736e-07,1.9800072708745895e-05,1.559671124993316e-06,1.1376586544410516e-07,4.3094580596345475e-08,8.299805135704922e-06,2.0483985197379745e-05,0.03505642919629487,19.625679665307402,4.9999981247754105e-05,0.00019999992499101642
