chart_id,model,output_dir,diagnostics_path,exists,M_train_min,M_train_max,eta_train_min,eta_train_max,ymax,central_ymax,epochs,n_eval,Mach_eval_min,Mach_eval_max,eta_eval_min,eta_eval_max,alpha_eval_min,alpha_eval_max,ci_abs_err_mean,ci_abs_err_median,ci_abs_err_max,ci_abs_err_p95,ci_rel_err_mean,ci_rel_err_median,ci_rel_err_max,ci_rel_err_p95,p_rel_mean,p_rel_median,p_rel_max,p_rel_p95,q_rel_mean,q_rel_median,q_rel_max,q_rel_p95,rho_rel_mean,rho_rel_median,rho_rel_max,rho_rel_p95,u_rel_mean,u_rel_median,u_rel_max,u_rel_p95,v_rel_mean,v_rel_median,v_rel_max,v_rel_p95,gamma_rel_mean,gamma_rel_median,gamma_rel_max,gamma_rel_p95,preliminary_status
LMEDGE_VLOW,pQscaled2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_LMEDGE_VLOW_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_LMEDGE_VLOW_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.05,0.13,320,80,45000,16,0.025,0.055,0.06,0.12,0.0599091812663134,0.1199624941387932,0.0005241504411045124,0.00052396101538615,0.0010441191471283,0.001010392968136375,0.0006213148089922798,0.00060224262413955,0.0012973870464509,0.00125468638240895,0.045315958440893485,0.01238630618815005,0.2386308996205164,0.17000646749666168,0.0550260048387088,0.0221843335185353,0.2610037892483377,0.1867459198176454,0.045315958440893485,0.01238630618815005,0.2386308996205164,0.17000646749666168,0.04146612887024509,0.031874251116240454,0.1250265755645963,0.0956693152739063,0.05353052568577524,0.022428148165320752,0.2506518111782534,0.17932678405526764,0.16704430280136368,0.08714933309730209,0.4551420151904053,0.4531807932965728,direct_candidate
LMEDGE_LOW,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_LOW_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_LOW_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.12,0.4,100,25,40000,16,0.025,0.055,0.155,0.365,0.1547653849379763,0.3648859196721628,0.001108003029140259,0.0010262119796560498,0.0023061534710524,0.00204307184561005,0.0019489317373464635,0.0017091346930898999,0.0045639049818209,0.0040413826293437,0.03511631588638403,0.012200652629143799,0.1095373032717711,0.0904384536498966,0.050151676545266664,0.01581640172479435,0.1399529417419742,0.11794875322124938,0.03511631588638403,0.012200652629143799,0.109537303271771,0.09043845364989665,0.050453485460887404,0.025419944637675947,0.1078035909783377,0.09371157963996926,0.04713563658787477,0.016317798124284,0.1197009198176063,0.10085856929671738,0.12554564662057874,0.046786791054862845,0.4161071656189513,0.3731667295521837,direct_candidate
LMEDGE_MID,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_MID_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_MID_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.35,0.55,80,20,40000,16,0.025,0.055,0.375,0.525,0.3744323829144589,0.5248359118572204,0.0005797802736482373,0.00047898434307715003,0.0012452618485444,0.001108167639244975,0.0014642073207991125,0.00109737586468435,0.0035375507762305,0.0031468277638385497,0.109680865446643,0.06247520909411225,0.372186261135755,0.32361696146557767,0.15188791614937222,0.08720954050262425,0.4939514807512284,0.43808317964964394,0.109680865446643,0.06247520909411225,0.372186261135755,0.32361696146557767,0.14024115166743412,0.070537705735417,0.4557930904872945,0.39970485972366876,0.12420971881596848,0.07356824453065325,0.4045216861345272,0.35513700825288946,0.4558385730901009,0.5762135651107507,1.1710133280491328,1.164624711555113,ci_only_candidate
LMEDGE_HIGH,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_HIGH_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_HIGH_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.55,0.65,40,10,40000,16,0.025,0.055,0.5625,0.6375,0.5616485743716884,0.637300750112339,0.00030722614090258015,0.00032901680216985,0.0005818790730471,0.0005642828442617999,0.0010864131537547683,0.0010786102205556,0.0022614119323709,0.00219217227984455,0.0036721357363844126,0.0034666309326926497,0.0061429773614272,0.00602538460715815,0.008020159308187731,0.00719378958325725,0.0142719895151596,0.013769489273603126,0.0036721357363844126,0.0034666309326926497,0.0061429773614272,0.00602538460715815,0.02475486649793303,0.0272483572449249,0.0431679074243411,0.04051315261906385,0.007906036290352199,0.00788640077290735,0.012836489735419,0.012545328954790224,0.012639164953193564,0.012095795380926,0.021654137876437,0.02030069097128155,direct_candidate
LMEDGE_NEUTRAL1,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL1_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL1_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.65,0.8,35,9,40000,16,0.025,0.055,0.66875,0.78125,0.667737749530785,0.7810058212161017,0.0003443994793445113,0.0003507444972234,0.0006933709949465,0.0006717889104559249,0.001955249849055261,0.0016732678991904998,0.0046860212723532,0.0045371765769816,0.00103784119365785,0.0010595927336476,0.0017464627660044,0.0015576097693398,0.001554900340281331,0.00156208978431645,0.002294946203784,0.0022771139797012497,0.00103784119365785,0.0010595927336476,0.0017464627660044,0.0015576097693398,0.020310299032159893,0.01127773081263125,0.0528246661970363,0.0523418574623183,0.002478626065485006,0.00208592117798695,0.0045589462658129,0.0045483476948243,0.006045595589248019,0.00531167883692635,0.0142958508896254,0.011479590157573076,direct_candidate
LMEDGE_NEUTRAL2,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL2_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL2_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.8,0.92,28,7,40000,16,0.025,0.055,0.815,0.905,0.813766378867424,0.9047171432967324,0.000288316077728791,0.0002892680876784,0.0005303028557086,0.000529391971414825,0.0035496689393425315,0.0026804959709899,0.0085587024362887,0.008539324639957449,0.0006304398614448875,0.0006079378350401,0.0010383116697655,0.000915580947518275,0.0012758767506012062,0.00130798244828495,0.0016631956845905,0.001621580297106425,0.0006304398614448875,0.0006079378350401,0.0010383116697655,0.000915580947518275,0.04768206393175134,0.01970355779847895,0.1418944188389882,0.14100770522847597,0.0027126092246648878,0.0019324660809664001,0.005945662595732,0.005887223354228225,0.0065113993689031435,0.0072606171526658,0.0115636052063003,0.01100032299816755,direct_candidate
LMEDGE_NEUTRAL3,pq2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL3_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL3_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.02,0.06,0.92,0.98,20,5,40000,16,0.025,0.055,0.9275,0.9725,0.9260960937417616,0.9721960462498036,0.0002029267021564295,0.00018049695646516953,0.0003825060802027,0.000382264168853125,0.00787944212500635,0.0043334447770768,0.0217292284456002,0.02171058052592595,0.0009350153537187374,0.00091743906106485,0.0012742265832105,0.0012660894380303249,0.0014077222088503313,0.00141810492971005,0.0018456557754659,0.0018247851899598501,0.0009350153537187374,0.00091743906106485,0.0012742265832105,0.0012660894380303249,0.15758074186613713,0.07221868297846605,0.465666010755369,0.4510375621681767,0.0033768735453623875,0.00305350224836005,0.006383947872903,0.00623488758630465,0.007820101723153963,0.00793221504911315,0.0104621748509559,0.010239723460346774,ci_only_candidate
ETAEDGE_LM,pQscaled2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_LM_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_LM_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.05,0.35,0.02,0.06,350,90,45000,16,0.0875,0.3125,0.025,0.055,0.0237479439899541,0.0547890485749661,0.00995231622530265,0.01009286859151615,0.017438096485838,0.016961345596866427,0.011126808095498195,0.01135549202261285,0.018368387507767,0.018102810883902025,0.2763304532132948,0.28858827009574195,0.3131781355550296,0.3124777133523791,0.6864880830418999,0.6941110311170998,0.7378748213036838,0.7368958567715693,0.2763304532132948,0.28858827009574195,0.3131781355550296,0.3124777133523792,0.9823493611687637,0.9846209908505967,1.0036026974142451,1.003009164871284,0.6943993599179625,0.702157243009247,0.7485802608578654,0.7476075909618161,0.5096338553967217,0.5166406066619128,0.5258379702893792,0.5258348442286735,ci_only_candidate
ETAEDGE_MM,pQscaled2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_MM_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_MM_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.3,0.7,0.02,0.06,450,110,45000,16,0.35,0.65,0.025,0.055,0.0189983551919633,0.0515212334867867,0.00944212537744238,0.0091996822389595,0.0178744357591351,0.0162320159971198,0.012448169077909126,0.0124455649587756,0.0208291117676,0.019967355859363774,0.32132472345180885,0.33727285239550314,0.4090671162486232,0.3969327176377391,0.7091127437698281,0.7230944207530428,0.8093108078558926,0.8036517301207909,0.32132472345180885,0.33727285239550314,0.4090671162486232,0.39693271763773913,1.0105615879118748,1.011405377801041,1.0244452119832634,1.0232130070185705,0.716101032404274,0.7299772949431775,0.8172516945123033,0.8116021123101459,0.5573355902475301,0.5709247163902611,0.6132766380872248,0.6114151027973349,ci_only_candidate
ETAEDGE_HM1,pQscaled2d,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM1_ciIDW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM1_ciIDW_EVALFIX/diagnostics_summary.csv,True,0.68,0.86,0.02,0.06,700,175,45000,16,0.7025,0.8375,0.025,0.055,0.0136609331214964,0.039142605863049,0.003565205334273594,0.0032496487395811003,0.0066279632685788,0.00607893148628645,0.005911421268395638,0.00556930681100745,0.0100758223870166,0.010005049053389975,0.4305062640988158,0.4418296045740546,0.5074998937307187,0.5003936129071288,0.7354066375036052,0.7490319462881345,0.8438193861671449,0.8358173285269601,0.4305062640988158,0.4418296045740546,0.5074998937307187,0.5003936129071288,1.0099792841789892,1.0106255858044713,1.0198620181917395,1.0187356806647347,0.7400047365430855,0.7535823184798062,0.848430946951647,0.8404076473017144,0.650012544884413,0.6535562873922232,0.6843023419638481,0.6817296177996488,ci_only_candidate
