chart_id,path,M_min,M_max,eta_min,eta_max,ymax,central_ymax,role,status,priority,n_eval,ci_abs_mean,ci_abs_max,ci_rel_mean,p_rel_mean,q_rel_mean,u_rel_mean,v_rel_mean,gamma_rel_mean,ci_rel_max,p_rel_max,q_rel_max,u_rel_max,v_rel_max,gamma_rel_max,has_diagnostics
LOW,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,0.1,0.7,0.25,0.4,80,20,standard_eta_low,validated,60,18,0.0033040772525345947,0.0063004172469204,0.0067855499581009285,0.09054265675195856,0.1769903202014545,0.4246790196750327,0.196782007526878,0.2253561202648153,0.0122306413771166,0.2371084602014457,0.5177736678880545,1.279839270983134,0.5789899124294741,0.5569551790148134,True
MID,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,0.1,0.7,0.35,0.55,80,20,standard_eta_mid,validated,70,24,0.0028708005603380747,0.0060399210056957,0.007655190811857888,0.09687657236610685,0.17531589771921405,0.4970411027425543,0.19599409419734823,0.3119861529737194,0.0156148342820034,0.2325804334471876,0.5038942993780398,1.3754929229626338,0.5771862206121499,1.06382051963512,True
HIGH_HIM,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW,0.35,0.7,0.5,0.65,80,20,high_eta_mid_high_mach,validated_with_overlap_rule,50,24,0.0007581994945646525,0.0016561582597028,0.0029820714053178875,0.12867506080799587,0.193937940951768,0.45417999909292955,0.19114655508469688,0.4694034951172184,0.008146653353301,0.6049836749910806,0.7472835577840646,1.0755102177516682,0.6528302856093294,1.6355840834899835,True
HIGH_LOWM_COMPACTY,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW,0.1,0.4,0.55,0.65,30,8,high_eta_low_mach_compact_y,validated,100,28,0.00024350812221209277,0.0004516409905389,0.0008964992470544036,0.022362654535863974,0.04296939234874939,0.2013639160485796,0.05386150342366397,0.046477336268148026,0.0018801523915722,0.0582214845611231,0.1172420160618252,0.4748701798251826,0.1358935966393791,0.1308142311751385,True
VLOW_MOD_QSCALED,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW,0.1,0.7,0.12,0.25,120,30,very_low_eta_pQscaled,validated,65,24,0.003237932377545237,0.0080467323794251,0.005254987639204588,0.09706351245253442,0.15854951688108218,0.29268920864703424,0.16883957943731942,0.21268407453975544,0.0161729398096617,0.2071484302711906,0.2670950801817647,0.422524817781694,0.2779537005342931,0.4269311332400504,True
VLOW_EXTREME_CI_ONLY,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW,0.1,0.7,0.05,0.12,220,55,very_low_eta_ci_only_gep_required,ci_only,40,24,0.0018228204974188884,0.0056569283026455,0.0023922229452015896,0.2914660369078687,0.6443659591992966,1.0203544515005774,0.6619807620974453,0.5418432560551464,0.0064269685733991,0.3550212552656092,0.7450997327444637,1.0599807186660073,0.7635691435410692,0.5899948387317614,True
NEUTRAL1_LOWM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_LOWM_M0.10_0.40_eta0.65_0.80_ciIDW,0.1,0.4,0.65,0.8,30,8,near_neutral_low_mach_compact_y,validated,110,28,0.007167821853292858,0.0075670837968259,0.039169256853849956,0.008518531441000399,0.015880931190710372,0.1547395538327587,0.024917102869830225,0.020901389325268256,0.0496920776327747,0.0248208371946985,0.0458412194454391,0.2321184701237047,0.0422427157837466,0.0630885745855126,True
NEUTRAL1_HIM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_HIM_M0.35_0.70_eta0.65_0.80_ciIDW,0.35,0.7,0.65,0.8,45,12,near_neutral_mid_high_mach,validated,95,32,0.006296546870759791,0.0069810127570543,0.03855788500267457,0.028007872065532992,0.040710790254149136,0.156796817633842,0.04009699220216528,0.15755835494369858,0.0499676814675074,0.0715064550344655,0.1058184125410336,0.195477519668986,0.0951946868690188,1.662350795823912,True
NEUTRAL2_LOWM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_LOWM_M0.10_0.40_eta0.80_0.92_ciIDW,0.1,0.4,0.8,0.92,24,6,nearer_neutral_low_mach_compact_y,validated,120,28,0.0003461648439425092,0.0006682210299786,0.004335674975590889,0.003331649623136176,0.006990005351014178,0.09104434628195553,0.00932792955771958,0.013787786858077647,0.0110632448135004,0.0113127050574328,0.0224817544190088,0.2284775894468818,0.0294688701628177,0.0302944030151906,True
NEUTRAL2_HIM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_HIM_M0.35_0.70_eta0.80_0.92_ciIDW,0.35,0.7,0.8,0.92,36,10,nearer_neutral_mid_high_mach,validated,105,32,0.0003242542705882886,0.0006200442506053,0.004466505276548428,0.012847471823197778,0.018426780077978135,0.08042504576057564,0.01686570719802332,0.10043162350781544,0.0117831457689081,0.0543831342286258,0.0883920133815802,0.167191650782755,0.0581172016238168,1.272606475598393,True
