chart_id,resolution,checkpoint_status,checkpoint_source,chart_source,mapping_manifest,model_destination,checkpoint_sha256,copied_config_files,candidate_count
ULTRALOW_M002_006_eta002_006,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_ext_M002_006_eta002_006/seedGEP_pQscaled2d_ULTRALOW_M002_006_eta002_006_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_ext_M002_006_eta002_006/seedGEP_pQscaled2d_ULTRALOW_M002_006_eta002_006_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/ULTRALOW_M002_006_eta002_006/model_state.pt,a92e4fe6699938db7f0bcc95814e2bf9a0376a15e7e63993e5f5badd263a77b4,README.md,1
VLOW_EXTREME_CI_ONLY,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/VLOW_EXTREME_CI_ONLY/model_state.pt,aec3675420f250616f8e77b22a8e087c3f2b37bf8fe0fa8e12445c89d4a91c94,README.md,1
VLOW_MOD_QSCALED,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/VLOW_MOD_QSCALED/model_state.pt,92ef58d82dde97e2923eaeb0923b073367658fdad9df3ff16788f943ab999158,README.md,1
LOW,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/LOW/model_state.pt,4189bad8aa2d9334226c6e48edadd79f60f401a8d7183cf98a3ade2b0880df54,README.md,1
MID,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/MID/model_state.pt,9b765a29da2a5bea69daaf72e3129e542b53a6b573cbded33a4198575952616c,README.md,1
HIGH_LOWM_COMPACTY,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/HIGH_LOWM_COMPACTY/model_state.pt,f58c2210814a2ea0ef39384d9fd3718d0203f7d5827784c9a5954d442f3cade7,README.md,1
NEUTRAL1_LOWM,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_LOWM_M0.10_0.40_eta0.65_0.80_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_LOWM_M0.10_0.40_eta0.65_0.80_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/NEUTRAL1_LOWM/model_state.pt,658532850e0bc66103ec92de8d4dec1e7fb421b01868fddd8ad33ffa32f8f90b,README.md,1
NEUTRAL2_LOWM,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_LOWM_M0.10_0.40_eta0.80_0.92_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_LOWM_M0.10_0.40_eta0.80_0.92_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/NEUTRAL2_LOWM/model_state.pt,6775e719a3ea66f644270a60c173d18800689bc9dd60b73949027d381b78d38e,README.md,1
NEUTRAL3_LOWM,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/NEUTRAL3_LOWM/model_state.pt,434df591be0f6dbf3bf41da5954711cf2eabeebd20fac2d157da4340fb5505cb,README.md,1
HIGH_HIM,resolved,present,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW/model_best.pt,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/local_atlas_v1/atlas_manifest.csv,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/pinn_subsonic/models/HIGH_HIM/model_state.pt,78d3fc3fee5570c350a6b8a298e256c84390486935c67b6ccb85059ced856107,README.md,1
