point_id,Mach,eta,alpha,ci_seed,ci_final,ci_blumen,pinn_blumen_abs,gep_blumen_abs,pinn_blumen_rel,gep_blumen_rel,inside_blumen_support
P000_M0020_eta0025,0.02,0.025,0.0249949994998999,0.9565068486456414,0.9562284713158048,,,,,,False
P001_M0020_eta0040,0.02,0.04,0.0399919991998399,0.9306570985636136,0.9310093166211754,,,,,,False
P002_M0020_eta0055,0.02,0.055,0.0549889988997799,0.9060407955780634,0.906446643103156,,,,,,False
P000_M0020_eta0060,0.02,0.06,0.0599879987997599,0.899133594502919,0.8983997335116688,,,,,,False
P001_M0020_eta0090,0.02,0.09,0.0899819981996399,0.85101004253057,0.8515214514808228,,,,,,False
P002_M0020_eta0120,0.02,0.12,0.1199759975995198,0.806384802769177,0.8068967879228098,,,,,,False
P000_M0020_eta0155,0.02,0.155,0.1549689968993798,0.7598468966261861,0.7572212092830393,,,,,,False
P001_M0020_eta0260,0.02,0.26,0.2599479947989597,0.6230680842578408,0.623103230134125,,,,,,False
P002_M0020_eta0365,0.02,0.365,0.3649269926985396,0.503886222549569,0.50624940302243,,,,,,False
P000_M0020_eta0375,0.02,0.375,0.3749249924984996,0.4969262206728946,0.4958625496511447,,,,,,False
P001_M0020_eta0450,0.02,0.45,0.4499099909981995,0.421576679615574,0.4214794454537478,,,,,,False
P002_M0020_eta0525,0.02,0.525,0.5248949894978995,0.3509823244126377,0.3525828258776424,,,,,,False
P000_M0020_eta0562,0.02,0.5625,0.5623874887477495,0.3203373724686483,0.3199171082566944,,,,,,False
P001_M0020_eta0600,0.02,0.6000000000000001,0.5998799879975995,0.2883026906032547,0.2883151249241544,,,,,,False
P002_M0020_eta0638,0.02,0.6375000000000001,0.6373724872474494,0.2571208879574698,0.2576947988077107,,,,,,False
P000_M0020_eta0669,0.02,0.6687500000000001,0.6686162366223244,0.2334080122865768,0.2328739767811458,,,,,,False
P001_M0020_eta0725,0.02,0.7250000000000001,0.7248549854970994,0.1898336171597261,0.1896609512395194,,,,,,False
P002_M0020_eta0781,0.02,0.78125,0.7810937343718742,0.1469394563399237,0.1481591685981758,,,,,,False
P000_M0020_eta0815,0.02,0.8150000000000001,0.8148369836967393,0.1241299498084771,0.1240044874597769,,,,,,False
P001_M0020_eta0860,0.02,0.8600000000000001,0.8598279827965593,0.092966736438723,0.0925971914702277,,,,,,False
P002_M0020_eta0905,0.02,0.905,0.9048189818963792,0.0606818123010148,0.0620346132238824,,,,,,False
P000_M0020_eta0928,0.02,0.9275,0.927314481446289,0.046891322428316,0.0470448976952081,,,,,,False
P001_M0020_eta0950,0.02,0.95,0.9498099809961992,0.032725955474719,0.0322325872568464,,,,,,False
P002_M0020_eta0972,0.02,0.9725,0.9723054805461092,0.0166124751264268,0.0172157296706536,,,,,,False
P003_M0040_eta0025,0.0399999999999999,0.025,0.0249799919935935,0.955493138371756,0.9551173194304576,,,,,,False
P004_M0040_eta0040,0.0399999999999999,0.04,0.0399679871897497,0.9296407859278556,0.9299464284263252,,,,,,False
P005_M0040_eta0055,0.0399999999999999,0.055,0.0549559823859059,0.9048571239877452,0.9054299512265264,,,,,,False
P003_M0040_eta0060,0.0399999999999999,0.06,0.0599519807846246,0.8982531935011483,0.8973979942803968,,,,,,False
P004_M0040_eta0090,0.0399999999999999,0.09,0.0899279711769369,0.850206672017718,0.8506049512794277,,,,,,False
P005_M0040_eta0120,0.0399999999999999,0.12,0.1199039615692492,0.8052337190593494,0.8060583099204788,,,,,,False
P003_M0040_eta0155,0.0399999999999999,0.155,0.1548759503602802,0.7589952806490712,0.7564655786146747,,,,,,False
P004_M0040_eta0260,0.0399999999999999,0.26,0.2597919167333734,0.6227389327979646,0.6225507238278152,,,,,,False
P005_M0040_eta0365,0.0399999999999999,0.365,0.3647078831064664,0.5032437946273143,0.5058477912962964,,,,,,False
P003_M0040_eta0375,0.0399999999999999,0.375,0.3746998799039038,0.4964549388322702,0.4954731762302034,,,,,,False
P004_M0040_eta0450,0.0399999999999999,0.45,0.4496398558846847,0.4213827164764962,0.421172239605261,,,,,,False
P005_M0040_eta0525,0.0399999999999999,0.525,0.5245798318654654,0.3507323562897522,0.3523434098454132,,,,,,False
P003_M0040_eta0562,0.0399999999999999,0.5625,0.5620498198558558,0.3200746046753344,0.3197071570901029,,,,,,False
P004_M0040_eta0600,0.0399999999999999,0.6000000000000001,0.5995198078462463,0.2881766938646537,0.2881321052717482,,,,,,False
P005_M0040_eta0638,0.0399999999999999,0.6375000000000001,0.6369897958366366,0.2568442987855859,0.2575364443641324,,,,,,False
P003_M0040_eta0669,0.0399999999999999,0.6687500000000001,0.6682147858286287,0.2332814029938969,0.2327346155307995,,,,,,False
P004_M0040_eta0725,0.0399999999999999,0.7250000000000001,0.7244197678142142,0.1897491080192025,0.1895526000393528,,,,,,False
P005_M0040_eta0781,0.0399999999999999,0.78125,0.7806247497997998,0.1469245714220664,0.1480782474593233,,,,,,False
P003_M0040_eta0815,0.0399999999999999,0.8150000000000001,0.8143477389911512,0.1241542859256014,0.1239385184850104,,,,,,False
