chart_id,family,mach_min,mach_max,eta_min,eta_max,n_anchor_mach,n_ci_anchors_new,status,reason
ETAEDGE_HM1,pQscaled,0.68,0.86,0.02,0.06,5,20,READY,
ETAEDGE_HM2A,pQscaled,0.84,0.93,0.02,0.06,5,20,READY,
ETAEDGE_HM2B,pQscaled,0.92,0.98,0.02,0.06,5,20,READY,
ETAEDGE_LM,pQscaled,0.05,0.35,0.02,0.06,5,20,READY,
ETAEDGE_MM,pQscaled,0.3,0.7,0.02,0.06,5,20,READY,
HIGH_HIM,pq_legacy,0.35,0.7,0.5,0.65,8,32,READY,
HIGH_LOWM_COMPACTY,pq_legacy,0.1,0.4,0.55,0.65,7,28,READY,
HM1_HIGH,pq_etaaware,0.7,0.85,0.55,0.65,4,16,READY,
HM1_LOW,pq_etaaware,0.7,0.85,0.25,0.4,4,16,READY,
HM1_MID,pq_etaaware,0.7,0.85,0.35,0.55,4,16,READY,
HM1_NEUTRAL1,pq_etaaware,0.7,0.85,0.65,0.8,4,16,READY,
HM1_NEUTRAL2,pq_etaaware,0.7,0.85,0.8,0.92,4,16,READY,
HM1_NEUTRAL3,pq_etaaware,0.7,0.85,0.92,0.98,4,16,READY,
HM1_VLOW_EXTREME,pQscaled,0.7,0.85,0.05,0.12,4,16,READY,
HM1_VLOW_MOD,pQscaled,0.7,0.85,0.12,0.25,4,16,READY,
HM2_HIGH,pq_etaaware,0.85,0.98,0.55,0.65,4,16,READY,
HM2_LOW,pq_etaaware,0.85,0.98,0.25,0.4,4,16,READY,
HM2_MID,pq_etaaware,0.85,0.98,0.35,0.55,4,16,READY,
HM2_NEUTRAL1,pq_etaaware,0.85,0.98,0.65,0.8,4,16,READY,
HM2_NEUTRAL2,pq_etaaware,0.85,0.98,0.8,0.92,4,16,READY,
HM2_NEUTRAL3,pq_etaaware,0.85,0.98,0.92,0.98,4,16,READY,
HM2_VLOW_EXTREME,pQscaled,0.85,0.98,0.05,0.12,4,16,READY,
HM2_VLOW_MOD,pQscaled,0.85,0.98,0.12,0.25,4,16,READY,
LMEDGE_HIGH,pq_etaaware,0.02,0.06,0.55,0.65,5,20,READY,
LMEDGE_LOW,pq_etaaware,0.02,0.06,0.12,0.4,5,20,READY,
LMEDGE_MID,pq_etaaware,0.02,0.06,0.35,0.55,5,20,READY,
LMEDGE_NEUTRAL1,pq_etaaware,0.02,0.06,0.65,0.8,5,20,READY,
LMEDGE_NEUTRAL2,pq_etaaware,0.02,0.06,0.8,0.92,5,20,READY,
LMEDGE_NEUTRAL3,pq_etaaware,0.02,0.06,0.92,0.98,5,20,READY,
LMEDGE_VLOW,pQscaled,0.02,0.06,0.05,0.13,5,20,READY,
LOW,pq_legacy,0.1,0.7,0.25,0.4,7,28,READY,
LOWM_EXT_HIGH,pq_etaaware,0.05,0.1,0.55,0.65,4,16,READY,
LOWM_EXT_LOW,pq_etaaware,0.05,0.1,0.25,0.4,4,16,READY,
LOWM_EXT_MID,pq_etaaware,0.05,0.1,0.35,0.55,4,16,READY,
LOWM_EXT_NEUTRAL1,pq_etaaware,0.05,0.1,0.65,0.8,4,16,READY,
LOWM_EXT_NEUTRAL2,pq_etaaware,0.05,0.1,0.8,0.92,4,16,READY,
LOWM_EXT_NEUTRAL3,pq_etaaware,0.05,0.1,0.92,0.98,4,16,READY,
LOWM_EXT_VLOW_EXTREME,pQscaled,0.05,0.1,0.05,0.12,4,16,READY,
LOWM_EXT_VLOW_MOD,pQscaled,0.05,0.1,0.12,0.25,4,16,READY,
MID,pq_legacy,0.1,0.7,0.35,0.55,7,28,COMPLETE,joint result already present
NEUTRAL1_HIM,pq_legacy,0.35,0.7,0.65,0.8,8,32,READY,
NEUTRAL1_LOWM,pq_legacy,0.1,0.4,0.65,0.8,7,28,READY,
NEUTRAL2_HIM,pq_legacy,0.35,0.7,0.8,0.92,8,32,READY,
NEUTRAL2_LOWM,pq_legacy,0.1,0.4,0.8,0.92,7,28,READY,
NEUTRAL3_HIM,pq_legacy,0.35,0.7,0.92,0.98,8,32,READY,
NEUTRAL3_LOWM,pq_legacy,0.1,0.4,0.92,0.98,7,28,READY,
ULTRALOW_M002_006_eta002_006,pQscaled,0.02,0.06,0.02,0.06,5,20,READY,
VLOW_EXTREME_CI_ONLY,pQscaled,0.1,0.7,0.05,0.12,7,28,READY,
VLOW_MOD_QSCALED,pQscaled,0.1,0.7,0.12,0.25,7,28,READY,
