source_path,proposed_destination,collision_group,experiment,chart,seed,anchor_budget,content_sha256,identical_content,proposed_unique_destination,action,reason
pinn_subsonic/assets/atlas/article/atlas/Fig_03_sparse_spectral_supervision.png,assets/article/misc/Fig_03_sparse_spectral_supervision.png,COLLISION_001,atlas,,,,9af485720d2aed2a33f968a4e5f1baa4c757933e30ab649a092b4cb73375c2ea,true,assets/article/misc/Fig_03_sparse_spectral_supervision.png,KEEP_CANONICAL,Byte-identical group; retain the highest-priority canonical source.
pinn_subsonic/assets/ci/article/atlas/Fig_03_sparse_spectral_supervision.png,assets/article/misc/Fig_03_sparse_spectral_supervision.png,COLLISION_001,atlas,,,,9af485720d2aed2a33f968a4e5f1baa4c757933e30ab649a092b4cb73375c2ea,true,assets/article/misc/Fig_03_sparse_spectral_supervision.png,DEDUPLICATE,Byte-identical duplicate of pinn_subsonic/assets/atlas/article/atlas/Fig_03_sparse_spectral_supervision.png; no extra copy required.
pinn_subsonic/assets/atlas/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,assets/article/misc/Fig_atlas_overlap_consistency.png,COLLISION_002,atlas_overlap,,,,34114c706a0dc78606a28531dae4732e62fe036cb768b19373d5703d955c7a84,true,assets/article/misc/Fig_atlas_overlap_consistency.png,KEEP_CANONICAL,Byte-identical group; retain the highest-priority canonical source.
pinn_subsonic/assets/modes/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,assets/article/misc/Fig_atlas_overlap_consistency.png,COLLISION_002,atlas_overlap,,,,34114c706a0dc78606a28531dae4732e62fe036cb768b19373d5703d955c7a84,true,assets/article/misc/Fig_atlas_overlap_consistency.png,DEDUPLICATE,Byte-identical duplicate of pinn_subsonic/assets/atlas/article/results_pinn/figures/Fig_atlas_overlap_consistency.png; no extra copy required.
pinn_subsonic/assets/modes/article/modes/Fig_mode_error_vs_alpha.png,assets/article/misc/Fig_mode_error_vs_alpha.png,COLLISION_003,subsonic_general,,,,b5f7b8b40c93c1ffb872929bdf6faccbfa68995ae3846d0d6489de42fb79319c,false,assets/article/misc/canonical_source/source_tree/pinn_subsonic/assets/modes/article/modes/Fig_mode_error_vs_alpha.png,KEEP_DISTINCT,Contents differ; preserve implementation/experiment/chart/seed/source-tree context.
pinn_subsonic/assets/modes/article/results_pinn/figures/single_case_ci4_vs_physics/Fig_mode_error_vs_alpha.png,assets/article/misc/Fig_mode_error_vs_alpha.png,COLLISION_003,subsonic_general,,,A4,709ec246f034396ec0aa661743a190768cfc9e362c7aba05d23aec88b2bc0dec,false,assets/article/misc/canonical_source/A4/source_tree/pinn_subsonic/assets/modes/article/results_pinn/figures/single_case_ci4_vs_physics/Fig_mode_error_vs_alpha.png,KEEP_DISTINCT,Contents differ; preserve implementation/experiment/chart/seed/source-tree context.
pinn_subsonic/assets/atlas/article/results_pinn/release_final/figures/Fig_sparse_ci_anchor_map_Mach_alpha.png,assets/article/misc/Fig_sparse_ci_anchor_map_Mach_alpha.png,COLLISION_004,atlas,,,,5316ed3494d30076583b3bdb24f9f3229c91fc00925156785667782e7f33cec2,true,assets/article/misc/Fig_sparse_ci_anchor_map_Mach_alpha.png,KEEP_CANONICAL,Byte-identical group; retain the highest-priority canonical source.
pinn_subsonic/assets/modes/article/results_pinn/release_final/figures/Fig_sparse_ci_anchor_map_Mach_alpha.png,assets/article/misc/Fig_sparse_ci_anchor_map_Mach_alpha.png,COLLISION_004,subsonic_general,,,,5316ed3494d30076583b3bdb24f9f3229c91fc00925156785667782e7f33cec2,true,assets/article/misc/Fig_sparse_ci_anchor_map_Mach_alpha.png,DEDUPLICATE,Byte-identical duplicate of pinn_subsonic/assets/atlas/article/results_pinn/release_final/figures/Fig_sparse_ci_anchor_map_Mach_alpha.png; no extra copy required.
pinn_subsonic/assets/atlas/article/modes/Fig_supp_modal_overlap_defect.png,assets/article/misc/Fig_supp_modal_overlap_defect.png,COLLISION_005,atlas_overlap,,,,906280243d1450dfe431b01cae7b4f469b7eb1eae08f081b11f824a5a59446f8,true,assets/article/misc/Fig_supp_modal_overlap_defect.png,KEEP_CANONICAL,Byte-identical group; retain the highest-priority canonical source.
pinn_subsonic/assets/modes/article/modes/Fig_supp_modal_overlap_defect.png,assets/article/misc/Fig_supp_modal_overlap_defect.png,COLLISION_005,atlas_overlap,,,,906280243d1450dfe431b01cae7b4f469b7eb1eae08f081b11f824a5a59446f8,true,assets/article/misc/Fig_supp_modal_overlap_defect.png,DEDUPLICATE,Byte-identical duplicate of pinn_subsonic/assets/atlas/article/modes/Fig_supp_modal_overlap_defect.png; no extra copy required.
assets/pinn_subsonic/baselines/baseline_pure_physics_singlecase_a065_m060_stabilized_epoch500_2026-06-21/README.md,assets/pinn_subsonic/csv/README.md,COLLISION_006,fixed_Mach,,,A0,079a1911be13a231d5f3f4b1ff47763e038a42f11cf20d52d92b2e1e3b289168,false,assets/pinn_subsonic/csv/canonical_source/A0/source_tree/assets/pinn_subsonic/baselines/baseline_pure_physics_singlecase_a065_m060_stabilized_epoch500_2026-06-21/README.md,KEEP_DISTINCT,Contents differ; preserve implementation/experiment/chart/seed/source-tree context.
