chart_id,field_family,n_interior,n_active,active_fraction,active_threshold_fraction,ode_rms_abs,ode_term_qprime_rms,ode_term_Pq_rms,ode_term_alpha2Rp_rms,ode_scale_rms_sum,ode_norm,compat_rms_abs,compat_term_pprime_rms,compat_term_q_rms,compat_scale_rms_sum,compat_norm,checkpoint,best_epoch
ETAEDGE_HM1,pQscaled,4096,3475,0.848388671875,0.05,0.0003885691819454069,0.00013986800673724165,3.690609202579391e-05,0.0003333465243783568,0.0005101206231413924,0.761720197769196,7.453942285448043e-06,0.005148151038238013,0.005147873897178856,0.01029602493541687,0.0007239631151054748,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM1/model_best.pt,41361
ETAEDGE_HM2A,pQscaled,4096,3609,0.881103515625,0.05,0.00021302016687870548,7.175388250981432e-05,1.3328671520328642e-05,0.00019030901911561862,0.0002753915731457616,0.7735173754425534,5.845566397799666e-06,0.003573747140040411,0.0035744851976330944,0.0071482323376735055,0.0008177639060487211,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2A/model_best.pt,41361
ETAEDGE_HM2B,pQscaled,4096,3757,0.917236328125,0.05,9.929605663888796e-05,2.1181795097751723e-05,2.4731242787192985e-06,9.512784244824251e-05,0.00011878276182471353,0.8359466905258366,4.3178828459507065e-06,0.0017705097931979795,0.0017701518785447272,0.0035406616717427067,0.001219512974202207,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B/model_best.pt,44207
ETAEDGE_LM,pQscaled,4096,3135,0.765380859375,0.05,0.0010699542166080474,0.0005358501027142119,0.00037762240263600536,0.0008781714166947394,0.0017916439220449568,0.5971913299528943,1.7836639001824056e-05,0.009276005762100487,0.00927466998694126,0.018550675749041748,0.0009615088551556093,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_LM/model_best.pt,41361
ETAEDGE_MM,pQscaled,4096,3200,0.78125,0.05,0.0008040982392017416,0.00031808642707748024,0.000157474678810454,0.0006713253474266184,0.0011468864533145527,0.7011140787981774,1.3564199103850742e-05,0.007767198143955823,0.0077663173046698284,0.015533515448625652,0.000873221464176086,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM/model_best.pt,41361
HIGH_HIM,pq_legacy,4096,1032,0.251953125,0.05,0.010857622745955807,0.11115795977079103,0.18418660696346117,0.10101262778130762,0.39635719451555984,0.027393530119281254,0.0009130376834814589,0.1462635953850384,0.1462685295027686,0.292532124887807,0.003121153561618679,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM/model_best.pt,17920
HIGH_LOWM_COMPACTY,pq_legacy,4096,2056,0.501953125,0.05,0.008939239961303216,0.16343558240948505,0.2754233108792075,0.15895906232444962,0.5978179556131422,0.014953113865800217,0.0008454522817287788,0.18567377430914966,0.1856783642264969,0.3713521385356465,0.0022766861800302325,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_LOWM_COMPACTY/model_best.pt,21155
HM1_HIGH,pq_etaaware,4096,2047,0.499755859375,0.05,0.0032117905859711873,0.056787127918423795,0.09181625647706226,0.0461000045223133,0.19470338891779937,0.016495812444883295,0.0003003517659411109,0.0962287978597043,0.09622076761447572,0.19244956547418002,0.0015606778077210447,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_HIGH/model_best.pt,24811
HM1_LOW,pq_etaaware,4096,2217,0.541259765625,0.05,0.003990235448268039,0.03228979033717441,0.04203043522855355,0.015969757865550008,0.09028998343127796,0.044193556102544974,0.00018325617304719823,0.06835878642439289,0.06836112886898665,0.13671991529337954,0.001340376584157174,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_LOW/model_best.pt,24987
HM1_MID,pq_etaaware,4096,1882,0.45947265625,0.05,0.003972235976554214,0.04373482049169352,0.06336427033969452,0.02812782263587273,0.1352269134672608,0.02937459618580968,0.0002612917772705225,0.08210351244829256,0.08210345353646806,0.16420696598476062,0.0015912344260399522,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_MID/model_best.pt,24811
