epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_classic_mode_supervision,loss_classic_full_mode_supervision,loss_classic_balanced_full_mode_supervision,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_riccati_shooting_path,loss_riccati_ci_local_min,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_window,loss_ci_supervision,grad_norm_ci,grad_norm_mode,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_p_rel_weighted_mean,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,13.501786231994629,0.3385547995567322,9.970008850097656,0.7725114822387695,0.11224468052387238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035633582156151533,0.005540361162275076,0.7789597511291504,0.10606954991817474,0.0,0.0,0.0,0.0,0.0,0.031962230801582336,0.00409094151109457,0.0,0.08723641186952591,89.56520080566406,89.56520080566406,5.0,0.0,0.0,0,3.0000009536743164,0.19635920226573944,0.199042014088716,0.5124814009266787,0.8002249679398142,4.496098069892392,1.0073324362239156,1.3850359390172797,0.7224319043218013,1.364323319903874,0.2869035040658768,0.4475350075400009,0.5232405542173157,0.7555734481803,0.9866165219858701,0.6594677525293684,0.3230903189559912,0.5239851970842444,2.942429352165585,8,0.1,0.18571428571428572
2,4.446335792541504,0.19479843974113464,2.7922866344451904,0.1827927678823471,0.04821794480085373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007638976676389575,0.0,0.17988044023513794,0.0447806790471077,0.0,0.0,0.0,0.0,0.0,0.024952514097094536,0.015071072615683079,0.0,0.09607285261154175,54.74394989013672,54.74394989013672,5.0,0.0,0.0,0,3.0000009536743164,0.1930880844593048,,,,,,,,,,,,,,,,,4.446335792541504,0,,
3,2.045045852661133,0.13879670202732086,0.9440172910690308,0.05857330560684204,0.017914213240146637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008454688359051943,0.0,0.051998071372509,0.014648009091615677,0.0,0.0,0.0,0.0,0.0,0.02651382051408291,0.009000877849757671,0.0,0.09343715012073517,25.59346580505371,25.59346580505371,5.0,0.0,0.0,0,3.0000009536743164,0.18973812460899353,,,,,,,,,,,,,,,,,2.045045852661133,0,,
4,2.869210720062256,0.3703364133834839,1.4849979877471924,0.13496863842010498,0.00676557794213295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012839733390137553,0.0,0.1105431392788887,0.006674727890640497,0.0,0.0,0.0,0.0,0.0,0.025988612323999405,0.008024737238883972,0.0,0.09381476789712906,37.82232666015625,37.82232666015625,5.0,0.0,0.0,0,3.0000009536743164,0.18704865872859955,,,,,,,,,,,,,,,,,2.869210720062256,0,,
5,2.375516414642334,0.17838925123214722,1.1619194746017456,0.08054624497890472,0.01782285049557686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013284031301736832,0.0,0.06868009269237518,0.02051866240799427,0.0,0.0,0.0,0.0,0.0,0.02398078516125679,0.01054298970848322,0.0,0.09639537334442139,28.547534942626953,28.547534942626953,5.0,0.0,0.0,0,3.0000009536743164,0.18412797152996063,,,,,,,,,,,,,,,,,2.375516414642334,0,,
6,1.4800735712051392,0.04556359350681305,0.5386404991149902,0.02536727674305439,0.014248386025428772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002986951731145382,0.0,0.02983381785452366,0.014060745015740395,0.0,0.0,0.0,0.0,0.0,0.021954284980893135,0.013618920929729939,0.0,0.09917402267456055,18.65210723876953,18.65210723876953,5.0,0.0,0.0,0,3.0000009536743164,0.18107204139232635,,,,,,,,,,,,,,,,,1.4800735712051392,0,,
7,1.3598699569702148,0.10568308085203171,0.4172666370868683,0.03330866992473602,0.004208996891975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007824639324098825,0.0,0.03947507590055466,0.004377951845526695,0.0,0.0,0.0,0.0,0.0,0.02139153704047203,0.012820242904126644,0.0,0.09974171221256256,12.659085273742676,12.659085273742676,5.0,0.0,0.0,0,3.0000009536743164,0.17796388268470764,,,,,,,,,,,,,,,,,1.3598699569702148,0,,
8,1.885844111442566,0.20354150235652924,0.7528271079063416,0.04788632690906525,0.01369819138199091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003716558567248285,0.0,0.05279006063938141,0.013032150454819202,0.0,0.0,0.0,0.0,0.0,0.022483723238110542,0.00807467382401228,0.0,0.09778106957674026,22.69987678527832,22.69987678527832,5.0,0.0,0.0,0,3.0000009536743164,0.17488166689872742,,,,,,,,,,,,,,,,,1.885844111442566,0,,
9,1.5155909061431885,0.19390955567359924,0.4741710126399994,0.025051340460777283,0.011182880029082298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006986857624724507,0.0,0.022465618327260017,0.010379884392023087,0.0,0.0,0.0,0.0,0.0,0.022596320137381554,0.006177511997520924,0.0,0.09739893674850464,18.381807327270508,18.381807327270508,5.0,0.0,0.0,0,3.0000009536743164,0.17175745964050293,,,,,,,,,,,,,,,,,1.5155909061431885,0,,
10,1.3434807062149048,0.09834455698728561,0.42940816283226013,0.03632592037320137,0.0033074484672397375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006367616006173193,0.0,0.03721127659082413,0.0031364192254841328,0.0,0.0,0.0,0.0,0.0,0.021886546164751053,0.00586371636018157,0.0,0.09824660420417786,11.379684448242188,11.379684448242188,5.0,0.0,0.0,0,3.0000009536743164,0.16842308640480042,,,,,,,,,,,,,,,,,1.3434807062149048,0,,
11,1.274667739868164,0.07201853394508362,0.39447784423828125,0.02700149081647396,0.006223146338015795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020966585725545883,0.0,0.024829093366861343,0.005838276352733374,0.0,0.0,0.0,0.0,0.0,0.021537326276302338,0.0048836530186235905,0.0,0.0985887199640274,12.548686027526855,12.548686027526855,5.0,0.0,0.0,0,3.0000009536743164,0.1648981273174286,,,,,,,,,,,,,,,,,1.274667739868164,0,,
12,1.287532091140747,0.1275523453950882,0.34985899925231934,0.02415502816438675,0.005415435414761305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011910119792446494,0.0,0.02468157559633255,0.005792764015495777,0.0,0.0,0.0,0.0,0.0,0.02109845168888569,0.0040565188974142075,0.0,0.09908952564001083,13.159680366516113,13.159680366516113,5.0,0.0,0.0,0,3.0000009536743164,0.16129852831363678,,,,,,,,,,,,,,,,,1.287532091140747,0,,
13,1.1908371448516846,0.09259556233882904,0.320392906665802,0.027375437319278717,0.0023319267202168703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001080354122677818,0.0,0.02691272646188736,0.002293710596859455,0.0,0.0,0.0,0.0,0.0,0.020005932077765465,0.004208460450172424,0.0,0.10059396922588348,9.975981712341309,9.975981712341309,5.0,0.0,0.0,0,3.0000009536743164,0.15754541754722595,,,,,,,,,,,,,,,,,1.1908371448516846,0,,
14,1.1688902378082275,0.09899190813302994,0.3053317964076996,0.025475092232227325,0.002529044169932604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004913950688205659,0.0,0.021313022822141647,0.002242903457954526,0.0,0.0,0.0,0.0,0.0,0.018460363149642944,0.005109850782901049,0.0,0.10287635028362274,10.6820707321167,10.6820707321167,5.0,0.0,0.0,0,3.0000009536743164,0.1537235975265503,,,,,,,,,,,,,,,,,1.1688902378082275,0,,
