epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_classic_mode_supervision,loss_classic_full_mode_supervision,loss_classic_balanced_full_mode_supervision,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_riccati_shooting_path,loss_riccati_ci_local_min,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_window,loss_ci_supervision,grad_norm_ci,grad_norm_mode,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_p_rel_weighted_mean,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,13.065604209899902,0.3385547995567322,9.970008850097656,0.7725114822387695,0.11224468052387238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035633582156151533,0.005540361162275076,0.7789597511291504,0.10606954991817474,0.0,0.0,0.0,0.0,0.0,0.031962230801582336,0.00409094151109457,0.0,0.0,89.57976531982422,89.57976531982422,0.0,0.0,0.0,0,3.0000009536743164,0.19636008143424988,0.19904296584030193,0.5124806409674578,0.8002387779526121,4.496218225160443,1.0073324431861523,1.3850359460008772,0.7224319223091242,1.364323327252139,0.2869035040355361,0.44753500120168976,0.5232405542173157,0.7555734481803,0.9866165238010368,0.6594677669724612,0.32309031894212215,0.5239851970842444,2.9424388841176023,8,0.1,0.18571428571428572
2,4.030030727386475,0.19492563605308533,2.834897994995117,0.17714616656303406,0.05317180976271629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006629343843087554,0.0,0.180204376578331,0.047427453100681305,0.0,0.0,0.0,0.0,0.0,0.024952758103609085,0.015072883106768131,0.0,0.0,56.87736129760742,56.87736129760742,0.0,0.0,0.0,0,3.0000009536743164,0.19288283586502075,,,,,,,,,,,,,,,,,4.030030727386475,0,,
3,1.663996934890747,0.19550135731697083,0.9646425247192383,0.06320217996835709,0.01663103699684143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011146633187308908,0.0,0.07123761624097824,0.01763876900076866,0.0,0.0,0.0,0.0,0.0,0.0199468694627285,0.03045138344168663,0.0,0.0,28.87298583984375,28.87298583984375,0.0,0.0,0.0,0,3.0000009536743164,0.1893519014120102,,,,,,,,,,,,,,,,,1.663996934890747,0,,
4,2.697004556655884,0.29996347427368164,1.835221767425537,0.1730687916278839,0.005226692650467157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018910991493612528,0.0,0.16910630464553833,0.003800738602876663,0.0,0.0,0.0,0.0,0.0,0.015738487243652344,0.05272037163376808,0.0,0.0,39.84980773925781,39.84980773925781,0.0,0.0,0.0,0,3.0000009536743164,0.1860402673482895,,,,,,,,,,,,,,,,,2.697004556655884,0,,
5,2.192946672439575,0.2284540832042694,1.4633026123046875,0.09337925165891647,0.02647550217807293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019297428661957383,0.0,0.06981046497821808,0.023349817842245102,0.0,0.0,0.0,0.0,0.0,0.012417527846992016,0.0818929448723793,0.0,0.0,33.22882080078125,33.22882080078125,0.0,0.0,0.0,0,3.0000009536743164,0.1826765388250351,,,,,,,,,,,,,,,,,2.192946672439575,0,,
6,1.0149081945419312,0.08871875703334808,0.6025167107582092,0.029600724577903748,0.015325472690165043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001901562645798549,0.0,0.019736548885703087,0.015804069116711617,0.0,0.0,0.0,0.0,0.0,0.010066332295536995,0.11230593174695969,0.0,0.0,18.868677139282227,18.868677139282227,0.0,0.0,0.0,0,3.0000009536743164,0.1793115735054016,,,,,,,,,,,,,,,,,1.0149081945419312,0,,
7,0.9210673570632935,0.12831619381904602,0.5143623352050781,0.04268065094947815,0.0043777902610599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011572159128263593,0.0,0.04515513405203819,0.0037206762935966253,0.0,0.0,0.0,0.0,0.0,0.008981026709079742,0.12543363869190216,0.0,0.0,14.157679557800293,14.157679557800293,0.0,0.0,0.0,0,3.0000009536743164,0.17606975138187408,,,,,,,,,,,,,,,,,0.9210673570632935,0,,
8,1.424821376800537,0.24101591110229492,0.830278217792511,0.0582401305437088,0.012393847107887268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006471463129855692,0.0,0.05247308313846588,0.012347884476184845,0.0,0.0,0.0,0.0,0.0,0.009166132658720016,0.10980197787284851,0.0,0.0,22.413896560668945,22.413896560668945,0.0,0.0,0.0,0,3.0000009536743164,0.17289042472839355,,,,,,,,,,,,,,,,,1.424821376800537,0,,
9,1.272628903388977,0.20135962963104248,0.7479231953620911,0.04997280240058899,0.012409758754074574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007403045310638845,0.0,0.04875951632857323,0.010087930597364902,0.0,0.0,0.0,0.0,0.0,0.009341544471681118,0.09601324796676636,0.0,0.0,20.111064910888672,20.111064910888672,0.0,0.0,0.0,0,3.0000009536743164,0.16974292695522308,,,,,,,,,,,,,,,,,1.272628903388977,0,,
10,0.9892839789390564,0.09326503425836563,0.5925313830375671,0.04809023067355156,0.005581454373896122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024171729455702007,0.0,0.06047869473695755,0.005513207986950874,0.0,0.0,0.0,0.0,0.0,0.009693165309727192,0.08056850731372833,0.0,0.0,14.951573371887207,14.951573371887207,0.0,0.0,0.0,0,3.0000009536743164,0.16651979088783264,,,,,,,,,,,,,,,,,0.9892839789390564,0,,
