epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_classic_mode_supervision,loss_classic_full_mode_supervision,loss_classic_balanced_full_mode_supervision,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_riccati_shooting_path,loss_riccati_ci_local_min,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_window,loss_ci_supervision,grad_norm_ci,grad_norm_mode,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_p_rel_weighted_mean,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,8.730252265930176,1.270965814590454,5.589508056640625,0.4314325451850891,0.06375914067029953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008787132799625397,0.0018558214651420712,0.3884865939617157,0.06063057854771614,0.0,0.0,0.0,0.0,0.0,0.055557310581207275,0.00907947588711977,0.0,0.0,95.047119140625,95.047119140625,0.0,0.0,0.0,0,3.0000009536743164,0.20431356132030487,0.1712675383334859,0.45422566886719995,0.6394145249536985,3.3540225836383457,0.7185429477828655,0.8857464388378498,0.36378660317564343,0.7022117535618139,0.3074269709035249,0.44801276743328283,0.648736511858246,0.8764874012457966,0.7503353911419859,0.3482245505041435,0.34135467858511825,0.7206834859761159,2.4117481446255904,8,0.1,0.18571428571428572
2,4.159814834594727,0.3727836012840271,2.407832145690918,0.032828837633132935,0.10397719591856003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003742869943380356,0.0,0.027717474848031998,0.10462239384651184,0.0,0.0,0.0,0.0,0.0,0.046750813722610474,0.001124303205870092,0.0,0.0,82.71228790283203,82.71228790283203,0.0,0.0,0.0,0,3.0000009536743164,0.20198039710521698,,,,,,,,,,,,,,,,,4.159814834594727,0,,
3,4.994787693023682,0.26668745279312134,3.3472235202789307,0.18166673183441162,0.07652781158685684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007667112164199352,0.0,0.1910306066274643,0.07301364839076996,0.0,0.0,0.0,0.0,0.0,0.037610046565532684,0.0005406311829574406,0.0,0.0,77.87020111083984,77.87020111083984,0.0,0.0,0.0,0,3.0000009536743164,0.1988057792186737,,,,,,,,,,,,,,,,,4.994787693023682,0,,
4,4.877379894256592,0.15738120675086975,3.4123387336730957,0.20017790794372559,0.07052798569202423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007700556889176369,0.0,0.17281782627105713,0.08166466653347015,0.0,0.0,0.0,0.0,0.0,0.03019358217716217,0.005842297337949276,0.0,0.0,74.21207427978516,74.21207427978516,0.0,0.0,0.0,0,3.0000009536743164,0.19533424079418182,,,,,,,,,,,,,,,,,4.877379894256592,0,,
5,1.9712884426116943,0.2066553831100464,1.2274457216262817,0.0750933438539505,0.023825615644454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026178109692409635,0.0,0.05846985802054405,0.02092874050140381,0.0,0.0,0.0,0.0,0.0,0.024356944486498833,0.01587863638997078,0.0,0.0,38.510189056396484,38.510189056396484,0.0,0.0,0.0,0,3.0000009536743164,0.19166643917560577,,,,,,,,,,,,,,,,,1.9712884426116943,0,,
6,1.071711540222168,0.34055620431900024,0.3918406665325165,0.020432960242033005,0.009375552646815777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016716778045520186,0.0,0.025114864110946655,0.008823582902550697,0.0,0.0,0.0,0.0,0.0,0.01944742351770401,0.031327564269304276,0.0,0.0,26.219982147216797,26.219982147216797,0.0,0.0,0.0,0,3.0000009536743164,0.18792827427387238,,,,,,,,,,,,,,,,,1.071711540222168,0,,
7,1.63666832447052,0.3629741370677948,0.8364936113357544,0.050394363701343536,0.016627497971057892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010312410449841991,0.0,0.05881891027092934,0.017381232231855392,0.0,0.0,0.0,0.0,0.0,0.015328881330788136,0.05341682955622673,0.0,0.0,39.05129623413086,39.05129623413086,0.0,0.0,0.0,0,3.0000009536743164,0.18439951539039612,,,,,,,,,,,,,,,,,1.63666832447052,0,,
8,1.7003486156463623,0.12790320813655853,1.134864091873169,0.09763696789741516,0.007924720644950867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039138790452852845,0.0,0.10484478622674942,0.00787341594696045,0.0,0.0,0.0,0.0,0.0,0.012433947063982487,0.07721594721078873,0.0,0.0,26.047346115112305,26.047346115112305,0.0,0.0,0.0,0,3.0000009536743164,0.18079732358455658,,,,,,,,,,,,,,,,,1.7003486156463623,0,,
9,1.3280761241912842,0.09553469717502594,0.8543074131011963,0.06442989408969879,0.010500425472855568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019919029728043824,0.0,0.06900910288095474,0.010692328214645386,0.0,0.0,0.0,0.0,0.0,0.010406645946204662,0.09922964870929718,0.0,0.0,23.920095443725586,23.920095443725586,0.0,0.0,0.0,0,3.0000009536743164,0.17716094851493835,,,,,,,,,,,,,,,,,1.3280761241912842,0,,
10,0.9809988141059875,0.13878202438354492,0.5185753107070923,0.023466985672712326,0.014195272698998451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011888414155691862,0.0,0.025279060006141663,0.0155575480312109,0.0,0.0,0.0,0.0,0.0,0.009248938411474228,0.11107824742794037,0.0,0.0,25.55104637145996,25.55104637145996,0.0,0.0,0.0,0,3.0000009536743164,0.17345339059829712,,,,,,,,,,,,,,,,,0.9809988141059875,0,,
