benchmark_id,mach_index,alpha_index,Mach,alpha,primary_chart
100,5,0,1.198,0.05775,C00
101,5,1,1.198,0.07325000000000001,C00
102,5,2,1.198,0.08875,C00
103,5,3,1.198,0.10425000000000001,C00
104,5,4,1.198,0.11975,C01
105,5,5,1.198,0.13525,C01
106,5,6,1.198,0.15075,C01
107,5,7,1.198,0.16625,C01
108,5,8,1.198,0.18175,C01
109,5,9,1.198,0.19725,C01
110,5,10,1.198,0.21275,C02
111,5,11,1.198,0.22824999999999998,C02
112,5,12,1.198,0.24375,C02
113,5,13,1.198,0.25925,C02
114,5,14,1.198,0.27475,C02
115,5,15,1.198,0.29025,C02
116,5,16,1.198,0.30574999999999997,C02
117,5,17,1.198,0.32125000000000004,C02
118,5,18,1.198,0.33675,C02
119,5,19,1.198,0.35224999999999995,C02
120,6,0,1.234,0.05775,C10
121,6,1,1.234,0.07325000000000001,C10
122,6,2,1.234,0.08875,C10
123,6,3,1.234,0.10425000000000001,C10
124,6,4,1.234,0.11975,C11
125,6,5,1.234,0.13525,C11
126,6,6,1.234,0.15075,C11
127,6,7,1.234,0.16625,C11
128,6,8,1.234,0.18175,C11
129,6,9,1.234,0.19725,C11
130,6,10,1.234,0.21275,C12
131,6,11,1.234,0.22824999999999998,C12
132,6,12,1.234,0.24375,C12
133,6,13,1.234,0.25925,C12
134,6,14,1.234,0.27475,C12
135,6,15,1.234,0.29025,C12
136,6,16,1.234,0.30574999999999997,C12
137,6,17,1.234,0.32125000000000004,C12
138,6,18,1.234,0.33675,C12
139,6,19,1.234,0.35224999999999995,C02
140,7,0,1.27,0.05775,C10
141,7,1,1.27,0.07325000000000001,C10
142,7,2,1.27,0.08875,C10
143,7,3,1.27,0.10425000000000001,C10
144,7,4,1.27,0.11975,C11
145,7,5,1.27,0.13525,C11
146,7,6,1.27,0.15075,C11
147,7,7,1.27,0.16625,C11
148,7,8,1.27,0.18175,C11
149,7,9,1.27,0.19725,C11
150,7,10,1.27,0.21275,C12
151,7,11,1.27,0.22824999999999998,C12
152,7,12,1.27,0.24375,C12
153,7,13,1.27,0.25925,C12
154,7,14,1.27,0.27475,C12
155,7,15,1.27,0.29025,C12
156,7,16,1.27,0.30574999999999997,C12
157,7,17,1.27,0.32125000000000004,C12
158,7,18,1.27,0.33675,C12
159,7,19,1.27,0.35224999999999995,C12
160,8,0,1.306,0.05775,C10
161,8,1,1.306,0.07325000000000001,C10
162,8,2,1.306,0.08875,C10
163,8,3,1.306,0.10425000000000001,C10
164,8,4,1.306,0.11975,C11
165,8,5,1.306,0.13525,C11
166,8,6,1.306,0.15075,C11
167,8,7,1.306,0.16625,C11
168,8,8,1.306,0.18175,C11
169,8,9,1.306,0.19725,C11
170,8,10,1.306,0.21275,C12
171,8,11,1.306,0.22824999999999998,C12
172,8,12,1.306,0.24375,C12
173,8,13,1.306,0.25925,C12
174,8,14,1.306,0.27475,C12
175,8,15,1.306,0.29025,C12
176,8,16,1.306,0.30574999999999997,C12
177,8,17,1.306,0.32125000000000004,C12
178,8,18,1.306,0.33675,C12
179,8,19,1.306,0.35224999999999995,C12
180,9,0,1.3419999999999999,0.05775,C10
181,9,1,1.3419999999999999,0.07325000000000001,C10
182,9,2,1.3419999999999999,0.08875,C10
183,9,3,1.3419999999999999,0.10425000000000001,C10
184,9,4,1.3419999999999999,0.11975,C11
185,9,5,1.3419999999999999,0.13525,C11
186,9,6,1.3419999999999999,0.15075,C11
187,9,7,1.3419999999999999,0.16625,C11
188,9,8,1.3419999999999999,0.18175,C11
189,9,9,1.3419999999999999,0.19725,C11
190,9,10,1.3419999999999999,0.21275,C12
191,9,11,1.3419999999999999,0.22824999999999998,C12
192,9,12,1.3419999999999999,0.24375,C12
193,9,13,1.3419999999999999,0.25925,C12
194,9,14,1.3419999999999999,0.27475,C12
195,9,15,1.3419999999999999,0.29025,C12
196,9,16,1.3419999999999999,0.30574999999999997,C12
197,9,17,1.3419999999999999,0.32125000000000004,C12
198,9,18,1.3419999999999999,0.33675,C12
199,9,19,1.3419999999999999,0.35224999999999995,C12
