chart,n,total_seconds,total_hours,mean_seconds,median_seconds,p25_seconds,p75_seconds,p90_seconds,p95_seconds,p99_seconds,min_seconds,max_seconds
C00,25,6752.98092337721,1.8758280342714473,270.1192369350884,265.0452895000344,254.06172744906507,287.64814692595974,295.6791332401801,302.12756474460474,308.9017299804557,242.68654332496223,310.721621545963
C01,35,10538.356786843971,2.927321329678881,301.09590819554205,296.9273006799631,271.57432231953135,319.66624940751353,351.3627217569854,368.17484673131247,430.6010438756922,237.9817092239391,449.3475836169673
C02,61,14039.341360528488,3.899817044591247,230.15313705784405,223.27456935192453,211.47574140003417,244.6234806790017,291.4597515319474,300.8957744810032,307.515492069372,142.4784235340776,310.9017613240285
C10,21,5698.439809978241,1.582899947216178,271.35427666563055,266.99333086505067,263.0970743489452,279.6410245979205,289.57203722698614,299.05941486998927,308.15933863164395,246.4367386320373,310.4343195720576
C11,30,8978.50423193362,2.4940289533148947,299.28347439778736,294.66011304652784,278.67091602043365,317.301188342215,339.21797564955193,348.29930080116605,369.4023222997226,254.31459343002643,375.044614493032
C12,50,12390.478149116738,3.4417994858657606,247.80956298233477,248.34378569450928,221.76249612582612,289.6384388524748,299.46206255023134,308.44922262314356,320.48452022947487,144.18985586904455,325.75876752694603
C20,23,6673.382658122806,1.8537174050341128,290.1470720922959,289.8244176839944,272.3783462505089,307.9277487069485,321.7447535551852,323.7429904874181,340.3952662151074,239.06026640394705,345.0736246369779
C21,36,10497.279521402903,2.915910978167473,291.5910978167473,289.43371382699115,277.6612138977216,312.44024745351635,324.7213523275568,326.51592448423617,333.9618840167881,235.8835032540373,337.6914665700169
C22,60,15564.263990272419,4.323406663964561,259.40439983787365,264.9488504239707,233.43158815504287,279.49181869556196,294.45440770444696,310.3488200501189,346.02854844956306,155.403082346078,347.2077598189935
C30,33,9518.832437607809,2.644120121557725,288.44946780629726,289.1401488920674,275.4183063519886,304.98023172596004,317.6419799324358,325.56042908634987,330.18735857190563,209.08064775296955,330.281538866926
C31,48,13466.742529841606,3.7407618138448906,280.55713603836676,283.3848700449453,263.28209570024046,297.93936367100105,311.25052260620294,321.243899508944,327.04487998165774,222.95733918598853,330.69103663100395
C32,78,20499.70970271877,5.694363806310769,262.81679106049705,266.77488838200225,250.5708518216852,275.71402661595494,291.9337702799355,302.8747566757781,351.2333391929058,126.16876639705151,375.88417858991306
