final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40
M1.100000_a0.09000000,1.1,0.09,False,1.812993186489701e-09,0.1849919122211095,0.049267061054706573,0.17912395298480988,0.04926705924171339,0.005867959236299625,0.04961528062931188,0.31531793066602065,0.6262421800735254,0.05101390811008222,0.13108967160968787,0.4622838634242016,0.3444785856223202,1.0331016883373028,0.6751385000811368,0.6735574940416926,-0.23497462039235517,1601,3201
M1.100000_a0.09500000,1.1,0.095,False,0.0185431702825212,0.1439719750936911,0.05446435511112213,0.16922499239444733,0.03592118482860093,0.025253017300756214,0.04390952518853743,0.2926958231802799,0.5899010315197113,0.04379439706053889,0.11449242991449937,0.41266342803114064,0.3519999927940563,1.0307708509076796,0.6567622353846255,0.7036473022092532,-0.2393701282914153,1601,3201
M1.100000_a0.10000000,1.1,0.1,False,0.0456244875305594,0.1408594531338783,0.06065459921956062,0.1592959314584732,0.015030111689001223,0.018436478324594913,0.023786718781645972,0.27663684110651593,0.5783448747929427,0.03902546436307197,0.10817852996121013,0.43713762718597976,0.3102406709923922,1.0204780178397674,0.5685500227170598,0.7072900146027642,-0.21658879549503735,1601,3201
M1.100000_a0.10500000,1.1,0.105,False,0.0614720572586166,0.1377614529920954,0.06775382161140442,0.1495748907327652,0.006281764352787822,0.011813437740669785,0.01337975615011862,0.2707158519890331,0.5825748708711188,0.037340700204973154,0.10967500403298414,0.4575607187776031,0.28523081064276995,1.0116354093478932,0.5221398545469716,0.7060264313240425,-0.20094508084576063,1601,3201
M1.100000_a0.11000000,1.1,0.11,False,0.0737351788015254,0.1346775747592678,0.07560009509325027,0.14028432965278625,0.0018649162917248746,0.005606754893518445,0.0059087742562340196,0.27046891463132705,0.5938662707154733,0.03727129147503272,0.11535382036086284,0.4757013996872175,0.2687758319820669,1.0047745779377877,0.49351602193951916,0.7031421549672023,-0.18662593668451768,1601,3201
M1.100000_a0.11500000,1.1,0.115,True,0.0840064838857459,0.1316074319054831,0.08397088199853897,0.1316124051809311,3.560188720692914e-05,4.9732754479892005e-06,3.594757072983482e-05,0.2747911186801704,0.6097414666219131,0.038496052481062026,0.12417705114607025,0.49192871370625435,0.25948717734527094,0.9997128336368871,0.47661737942666754,0.6992631392557052,-0.1725854461963897,1601,3201
M1.100000_a0.12000000,1.1,0.12,False,0.0929554600078068,0.1285506661833083,0.09260944277048111,0.12370102107524872,0.0003460172373256909,0.004849645108059575,0.004861973426773605,0.2829027258445069,0.6286446688319446,0.04085139435552132,0.1354580740878928,0.5064224427807268,0.2566556752023081,0.9962051991298971,0.468056143801632,0.6946336952142995,-0.15847245729519574,1601,3201
M1.100000_a0.12500000,1.1,0.125,False,0.1009404428915874,0.1255069324594236,0.1012549102306366,0.11664072424173355,0.00031446733904919033,0.008866208217690047,0.008871783240519529,0.29408880673484034,0.649430742139,0.04422190140531124,0.14863811782869452,0.5193077465453805,0.2596104083335146,0.9940117188094456,0.46544651765285233,0.6893816293039051,-0.14416483948429432,1601,3201
M1.100000_a0.13000000,1.1,0.13,False,0.1081805050618824,0.122475903263755,0.10966996848583221,0.11047221720218658,0.0014894634239498161,0.012003686061568417,0.01209574224080425,0.30768206149481714,0.6712328857139492,0.04851077303297924,0.1632345940084332,0.5306902526174463,0.26760893560671395,0.9929106353242073,0.4669882057813658,0.6835846432755673,-0.12964246147656078,1601,3201
M1.100000_a0.13500000,1.1,0.135,False,0.114821536307718,0.1194572670812644,0.11766089498996735,0.10519277304410934,0.0028393586822493405,0.01426449403715506,0.014544337312593412,0.32307945424777973,0.6933953858492521,0.0536281564612372,0.17882445240235412,0.5406683828903057,0.2798671095232972,0.992698092128725,0.471305342577846,0.6772971867770007,-0.11493967743280735,1601,3201
M1.100000_a0.14000000,1.1,0.14,False,0.1209667013989745,0.1164507274034491,0.12508757412433624,0.10076605528593063,0.0041208727253617405,0.015684672117518464,0.016216982809779734,0.339751311681026,0.7154204949382718,0.05948469113415156,0.19503497078165455,0.5493385659336785,0.2956144369643546,0.9931867315753676,0.47734877971767964,0.6705694664483236,-0.10012641312467443,1601,3201
M1.100000_a0.14500000,1.1,0.145,False,0.1266922780688296,0.1134560016881082,0.1318640261888504,0.09713234752416611,0.005171748120020803,0.01632365416394209,0.01712333682086884,0.3572387816661282,0.7369223512921755,0.0659869096882526,0.2115353417628827,0.5567976757524101,0.3141290228990088,0.9942023143244186,0.4843179947268037,0.6634510845918629,-0.08529713125298317,1601,3201
M1.100000_a0.15000000,1.1,0.15,False,0.1320566414058153,0.1104728205019271,0.13795219361782074,0.0942181646823883,0.005895552212005439,0.01625465581953879,0.017290788637194906,0.37514220733976994,0.7575858664907182,0.07303272750746759,0.22802567640527283,0.5631446230179668,0.33473992472773445,0.9955812695115792,0.491594712379088,0.6560016892401465,-0.0705671316530383,1601,3201
M1.100000_a0.15500000,1.1,0.155,False,0.1371057085051619,0.1075009266966481,0.14335235953330994,0.09194312989711761,0.006246651028148031,0.015557796799530482,0.016765013877803495,0.393105972001368,0.7771317916265394,0.08050682722661795,0.2442234896037051,0.5684813425791109,0.3568065338240309,0.9971679723233696,0.4986869948178045,0.6482942587214383,-0.05606981497040115,1601,3201
M1.100000_a0.16000000,1.1,0.16,False,0.1418764142379207,0.1045400746294168,0.14809322357177734,0.09022476524114609,0.006216809333856654,0.014315309388270706,0.015606947208709287,0.4108024708730294,0.7952879970042771,0.088275628314887,0.25984782681664054,0.5729135537345923,0.37968565270371973,0.9988129676736838,0.5051844871951456,0.6404254892941923,-0.04195614887051478,1601,3201
M1.100000_a0.16500000,1.1,0.165,False,0.1463990255732808,0.1015900294887648,0.15222297608852386,0.08898071199655533,0.005823950515243065,0.012609317492209476,0.013889322777707337,0.42791689927058657,0.8117663175681286,0.0961819169110153,0.27460161157418517,0.5765513616286165,0.40269413994749165,1.0003720221293873,0.5107220644901985,0.6325180264520428,-0.02839411151907083,1601,3201
M1.100000_a0.17000000,1.1,0.17,False,0.1506987370978195,0.0986505663220147,0.1558024138212204,0.08812930434942245,0.005103676723400896,0.010521261972592247,0.01169377909800334,0.4441352883130856,0.8262465520658445,0.10404026559501423,0.28815533197664045,0.5795091174325979,0.4250751063460085,1.0017064661441935,0.5149533792866261,0.6247265401377655,-0.01556816259563932,1601,3201
M1.100000_a0.17500000,1.1,0.175,False,0.1547968043623869,0.0957214701503959,0.15889999270439148,0.08758900314569473,0.004103188342004571,0.00813246700470116,0.009108961200516515,0.45913510588913375,0.8383654771709546,0.11163354715513185,0.30013300086632455,0.5819048343792208,0.44596808931246895,1.0026859691998873,0.5175317869749109,0.617242678671135,-0.0036787918059811744,1601,3201
M1.100000_a0.18000000,1.1,0.18,False,0.1587113678144348,0.0928025345122517,0.1615886092185974,0.08727716654539108,0.0028772414041626226,0.005525367966860623,0.006229623525305297,0.47258186266703084,0.8477128701939621,0.11871322313439903,0.3101057991246595,0.5838584961578922,0.46439084209310116,1.0031935907923542,0.5181009642754274,0.6102919412275765,0.007059226938657918,1601,3201
M1.100000_a0.18500000,1.1,0.185,False,0.1624580667905106,0.0898935613408621,0.16394348442554474,0.0871088057756424,0.0014854176350341253,0.0027847555652197042,0.003156157332658258,0.4841325162637513,0.8538349222101317,0.12500531047546992,0.31759789645098513,0.5854892009795966,0.4792384068783444,1.0031333768170287,0.5162950833388567,0.6041299773166532,0.016419464326022423,1601,3201
M1.100000_a0.18750000,1.1,0.1875,False,0.1642727872469405,0.0884427509439601,0.16501961648464203,0.08705093711614609,0.0007468292377015295,0.0013918138278140174,0.0015795251316709574,0.4890901854744296,0.8555352300998063,0.12776677977011897,0.32025731354046283,0.586219472174773,0.4849472063592811,1.0028689221194087,0.5143875160153504,0.6014298511856162,0.020510084796803357,1601,3201
M1.100000_a0.19000000,1.1,0.19,True,0.1660505044719185,0.0869943604140983,0.16604095697402954,0.08699548989534378,9.547497888950929e-06,1.1294812454765157e-06,9.614075297365089e-06,0.4934485030735201,0.856245893100288,0.13022498609439093,0.3221097423357513,0.5869111597422014,0.48930508015353913,1.0024420162131282,0.511751839708851,0.5990285891395427,0.024168551301378936,1601,3201
M1.100000_a0.19500000,1.1,0.195,False,0.1695006064537406,0.0841047488496381,0.16795757412910461,0.08684513717889786,0.0015430323246359845,0.0027403883292597547,0.0031449446656522592,0.5002223014620372,0.8544549864987656,0.1341029800720971,0.32316681518043056,0.5882283533270212,0.49334323903794913,1.001102177532982,0.5041390993015304,0.5952480723193563,0.030072937568111247,1601,3201
M1.100000_a0.20000000,1.1,0.2,False,0.172818900945195,0.0812245506598016,0.1697693169116974,0.08656252920627594,0.0030495840334976154,0.005337978546474345,0.006147680679734753,0.5042185009388491,0.8480139611931583,0.1364238867876324,0.320395854630632,0.5895280482520898,0.4901628413521756,0.9991557480098264,0.4931960855710299,0.5930017378968739,0.033911300884918436,1601,3201
M1.100000_a0.20500000,1.1,0.205,False,0.176014741248715,0.0783535962323096,0.1715507060289383,0.08605121076107025,0.004464035219776702,0.007697614528760652,0.00889836388763653,0.5053304660636389,0.8365976616162307,0.13707409352372235,0.3136273383202447,0.5908732800672084,0.4787763836441667,0.9967136769592105,0.47878539216700833,0.5924106393089932,0.035493719649966414,1601,3201
M1.100000_a0.21000000,1.1,0.21,False,0.1790964847299399,0.0754917222519709,0.1733735352754593,0.08521643280982971,0.005722949454480597,0.009724710557858812,0.011283711530018411,0.5036457874384235,0.8201236027002556,0.13608974957144393,0.30300765277768416,0.5922948799973017,0.4585766211597137,0.9939560168620878,0.46094762414711193,0.593456355971376,0.03469092363205683,1601,3201
M1.100000_a0.21500000,1.1,0.215,False,0.1820716357575376,0.0726387709774911,0.17530523240566254,0.08396941423416138,0.006766403351875061,0.011330643256670284,0.013197260735857037,0.49950629123911294,0.7989042462039536,0.13368974090540375,0.28908925797640006,0.593785083890206,0.42952117379181387,0.9911182895690512,0.43994454109813946,0.5959491780153484,0.03147459486771869,1601,3201
M1.100000_a0.22000000,1.1,0.22,False,0.1849469655531981,0.0697945900466464,0.17740675806999207,0.08223260194063187,0.007540207483206024,0.012438011893985468,0.014545063381254827,0.49353839352129925,0.7737958953075583,0.13027598968384546,0.272854089895733,0.595296427679295,0.3922847352830294,0.9884628291848265,0.41627416449930577,0.5995246866747717,0.025963445442697953,1601,3201
M1.100000_a0.22500000,1.1,0.225,False,0.1877286098412757,0.0669590322340125,0.17972996830940247,0.07994566857814789,0.00799864153187324,0.012986636344135383,0.015252245404865,0.4866224426501105,0.7462665270266196,0.1263876155243453,0.25562657299898583,0.5967508889099954,0.3483293403845741,0.9862383608258711,0.39064208686814783,0.6036875010396999,0.01846097282361622,1601,3201
M1.100000_a0.23000000,1.1,0.23,False,0.1904221496469428,0.0641319550045144,0.1823146790266037,0.0770721286535263,0.008107470620339091,0.012940173649011913,0.0152702054316975,0.4797824343857203,0.7182937979673422,0.12261250541456237,0.23886995601925975,0.5980615226163967,0.29986872562394823,0.984639487143536,0.3638874363161212,0.6078994545600971,0.00946468793586121,1601,3201
M1.100000_a0.23500000,1.1,0.235,False,0.1930326802611433,0.0613132204151196,0.18518531322479248,0.07360567152500153,0.007847367036350833,0.012292451109881926,0.01458374175896032,0.4740068977822062,0.6920455550856942,0.11947886972833521,0.2239129838300662,0.599161537116004,0.24974096187190192,0.9837774098880281,0.33687522417083704,0.6116837505409624,-0.00036669914901667515,1601,3201
M1.100000_a0.24000000,1.1,0.24,False,0.1955648684042731,0.0585026948235119,0.1883476972579956,0.06957554817199707,0.007217171146277485,0.011072853348485172,0.013217247846345303,0.47005173870283146,0.6694041843767329,0.1173611367368621,0.21169738663643478,0.6000295362985444,0.2012442522242478,0.9836717305242475,0.3103825918665036,0.614717015142427,-0.010292434914039356,1601,3201
M1.100000_a0.24500000,1.1,0.245,False,0.1980230022868483,0.0557002486180792,0.19178633391857147,0.06504999846220016,0.0062366683682768265,0.009349749844120965,0.011238943655144142,0.4683034106555098,0.6515257854112985,0.11643228014576212,0.20264139065577114,0.6006985013862502,0.15803891253739194,0.9842626868179315,0.2850116374677468,0.6168734304965573,-0.019589203955409307,1601,3201
M1.100000_a0.25000000,1.1,0.25,False,0.200411032708281,0.0529057559191424,0.1954624354839325,0.0601360946893692,0.004948597224348511,0.007230338770226802,0.008761644435896415,0.46875513005903524,0.6386387870171913,0.11667184577681611,0.19665591603493926,0.6012450233119186,0.12408157493775698,0.9854372675058811,0.26114947291603846,0.618212893275307,-0.02764284853634106,1601,3201
M1.100000_a0.25500000,1.1,0.255,False,0.2027326097584077,0.0501190946120559,0.19931405782699585,0.054974429309368134,0.003418551931411856,0.004855334697312232,0.005938078168118351,0.4710947923410703,0.6301644649421241,0.11791740940594175,0.19328376644393996,0.6017652070268341,0.1029415996428054,0.987058123415527,0.23897946137183085,0.6189226571465214,-0.03400467897356508,1601,3201
M1.100000_a0.26000000,1.1,0.26,False,0.2049911138976746,0.0473401459935351,0.20325830578804016,0.04972834885120392,0.0017328081096344428,0.002388202857668817,0.002950616348187679,0.4748508153494263,0.6250585932108835,0.11993369388324748,0.1918895542079062,0.6023493938357194,0.09524497567310311,0.9889869916803844,0.21852975132509103,0.6192445094820561,-0.038403429851900824,1601,3201
M1.100000_a0.26500000,1.1,0.265,True,0.2071896831590645,0.0445687947481188,0.2071961760520935,0.044568195939064026,6.492893029008684e-06,5.988090547720537e-07,6.52044723697896e-06,0.47953115323381695,0.6221831339381134,0.12247514389719683,0.19182971444741126,0.6030648967901729,0.0966204404319281,0.9910988788560207,0.19973583541629664,0.6194183981723554,-0.040724185783601055,1601,3201
M1.100000_a0.27000000,1.1,0.27,False,0.2093312368277515,0.0418049284949206,0.21101996302604675,0.039652880281209946,0.0016887261982952428,0.002152048213710657,0.0027355269486780665,0.48471669011133406,0.6205692315894044,0.1253287872991855,0.19256482602486513,0.6039498432323719,0.10086017711580647,0.9932879608951329,0.18249897697219525,0.6196360200271437,-0.04096859691680494,1601,3201
M1.100000_a0.27500000,1.1,0.275,False,0.2114184963433446,0.0390484380561166,0.21462205052375793,0.035112883895635605,0.0032035541804133483,0.003935554160480997,0.005074578399918867,0.4901023435021074,0.6195352251792384,0.12833510286708105,0.19370918006686844,0.605016056913707,0.10367725551939969,0.9954680158078185,0.16672855013059393,0.6200280161088961,-0.039212342100649514,1601,3201
M1.100000_a0.28000000,1.1,0.28,False,0.2134540034479028,0.0362992172070976,0.21790385246276855,0.0310383103787899,0.004449849014865753,0.005260906828307696,0.006890449688607867,0.49549946454288085,0.618694922287815,0.1313917565221253,0.19503307744593734,0.6062564936967562,0.10305462954174939,0.9975698022188688,0.15236730704651658,0.6206638251651725,-0.035570412023855434,1601,3201
M1.100000_a0.28500000,1.1,0.285,False,0.2154401364406462,0.0335571621878426,0.22078382968902588,0.02747482620179653,0.005343693248379688,0.0060823359860460655,0.008096287333088521,0.5008176150343425,0.6179084600980476,0.13444716136372536,0.1964385648694914,0.607653745295844,0.09838861591760568,0.9995380552979388,0.13940285367235541,0.6215584193563327,-0.03017131580477943,1601,3201
M1.100000_a0.29000000,1.1,0.29,False,0.2173791244470361,0.0308221720963001,0.2232031375169754,0.024427184835076332,0.005824013069939293,0.00639498726122377,0.00864956590298253,0.5060395782524086,0.6172154491053135,0.13748974194962493,0.19792547151138717,0.6091874571249547,0.08990317651509755,1.0013285632607818,0.1278689740797025,0.6226856552971735,-0.023140868433548026,1601,3201
M1.100000_a0.29500000,1.1,0.295,False,0.2192730602272913,0.0280941487707899,0.2251298576593399,0.02186833694577217,0.005856797432048616,0.006225811825017729,0.008547678576115379,0.5111975735210584,0.6167721856376197,0.14053677168468626,0.19955849340399534,0.6108397275454442,0.07850349950011795,1.0029064493964457,0.1178406881824414,0.6239903320779556,-0.014594004459870457,1601,3201
M1.100000_a0.30000000,1.1,0.3,False,0.2211239117409991,0.0253729963228432,0.2265605628490448,0.01975078508257866,0.005436651108045698,0.005622211240264539,0.007820897295117195,0.5163540356655593,0.6168005691920211,0.14362478442455462,0.20144010721528838,0.6125986070571555,0.0661365744877127,1.0042447209653917,0.10942258594755652,0.6253963990793538,-0.0046308689739915435,1601,3201
M1.100000_a0.30500000,1.1,0.305,False,0.222933531423503,0.0226586211744938,0.22751978039741516,0.018017329275608063,0.00458624897391216,0.004641291898885739,0.006524972807711364,0.5215875052723372,0.6175499790651885,0.1468022067868554,0.20369075386630864,0.6144600762179054,0.05690920167663592,1.0053232667993972,0.10273020369468948,0.6268138243524387,0.0066637284195241,1601,3201
