final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,cr_pinn_original,ci_pinn_original
M1.250000_a0.05000000,1.25,0.05,False,0.1201816977923283,0.124879699478062,0.1201816961288793,0.1248797032441208,0.0244192747408977,0.0143626664782444,0.0283299694182103,0.3254593665553772,0.583035598683154,0.0544439727222012,0.1384387908157867,0.1970765465349403,0.5537336474594755,1.1898590891092145,0.9405728415811614,0.7864640194287575,-0.3307991607128119,1601,3201,0.1201816961288793,0.1248797032441208,4.1170695332041676e-09,1.9748045719605067e-10,13.486781363375483,80,False,Maximum number of function evaluations has been exceeded.,0.144600972533226,0.1392423659563064
M1.250000_a0.05500000,1.25,0.055,False,0.1315006710691934,0.1227178308038424,0.1315006622421312,0.1227178358067915,0.0162901781396384,0.0116415587396909,0.020022382318566,0.3046501736262499,0.5600905613193689,0.0475356848104511,0.1195092869386981,0.2211799470833185,0.5112931634632203,1.1449643158549918,0.8235257560423375,0.7858116498939463,-0.3249933068786667,1601,3201,0.1315006622421312,0.1227178358067915,1.0146256795175846e-08,3.3615838634643156e-10,13.592872033827009,80,False,Maximum number of function evaluations has been exceeded.,0.1477908492088318,0.1343593895435333
M1.250000_a0.06000000,1.25,0.06,False,0.1415835703820256,0.1205332173435139,0.1415835608414967,0.1205332026093881,0.0100371752768489,0.0087557093771053,0.0133194344562566,0.2870839320338304,0.545098401585761,0.0420945683586527,0.1061906311258381,0.2447521936806736,0.4745927427922201,1.1110629362517852,0.7317531948600542,0.784543757570706,-0.317511713340976,1601,3201,0.1415835608414967,0.1205332026093881,1.7553237706679758e-08,8.978730168929373e-10,13.68657557014376,80,False,Maximum number of function evaluations has been exceeded.,0.1516207456588745,0.1292889267206192
M1.250000_a0.06500000,1.25,0.065,False,0.1506951271590784,0.1183283201500585,0.1506951146861655,0.1183283047985549,0.0053860724869176,0.0057920494035074,0.0079093370851799,0.2732145993132939,0.5378974452376792,0.0380468916199314,0.0980669374639954,0.2675128252553664,0.443479066616764,1.085360656275618,0.659440496262047,0.782710529932937,-0.3084467337695144,1601,3201,0.1506951146861655,0.1183283047985549,1.9779843685934797e-08,1.1315707113775931e-09,13.770298182033002,80,False,Maximum number of function evaluations has been exceeded.,0.1560811996459961,0.1241203695535659
M1.250000_a0.07000000,1.25,0.07,False,0.1590167354190658,0.1161052740495865,0.1590167118910419,0.1161052652546507,0.0021103848373581,0.002843140872174,0.0035407872261374,0.2634254311092674,0.5378561661562631,0.0353202385014509,0.0946711504982695,0.2892917468187725,0.4177628686123992,1.065882759295712,0.6023775102009932,0.7803438350052441,-0.2979036137247738,1601,3201,0.1590167118910419,0.1161052652546507,2.5118097056044135e-08,1.6364193125348526e-09,13.880564901046457,80,False,Maximum number of function evaluations has been exceeded.,0.1611271202564239,0.1189484149217605
M1.250000_a0.07500000,1.25,0.075,True,0.1666794103673964,0.1138659433849943,0.1666794197462689,0.1138659411098396,3.1561467134233474e-08,1.0861626970476437e-06,1.08662115323855e-06,0.2579561901909741,0.543993828621998,0.0338433853964678,0.0955015964643433,0.3099864186097385,0.3972205132926231,1.051196925619734,0.5574081111227522,0.7774645826606852,-0.2859976130583631,1601,3201,0.1666794197462689,0.1138659411098396,9.650884864209665e-09,7.236459796759895e-10,13.235319378785787,76,True,Optimization terminated successfully.,0.1666794419288635,0.1138670295476913
M1.250000_a0.08000000,1.25,0.08,False,0.1737816116443685,0.1116119624209407,0.1737816192558423,0.1116119681597291,0.0011514505973866,0.0026477948856356,0.0028873268319711,0.2568403117828983,0.5551504510562285,0.0335461447936258,0.1000374502795555,0.3295378804696706,0.3815981718641578,1.0402377789195538,0.5220955677335638,0.7740831210994916,-0.2728500180134226,1601,3201,0.1737816192558423,0.1116119681597291,9.532482651742907e-09,7.80619121960522e-10,14.016043311916292,80,False,Maximum number of function evaluations has been exceeded.,0.1726301610469818,0.108964167535305
M1.250000_a0.08500000,1.25,0.085,False,0.1803996647081534,0.1093447708499076,0.1803996592896209,0.1093447554005953,0.0015486860952536,0.0050273367178084,0.0052604698550468,0.2598809649667103,0.5701510061305785,0.0343593401021419,0.1077534102849477,0.3479165944172414,0.3706197925393379,1.0321946247054887,0.4945160543657397,0.7702007468044124,-0.2585872728124723,1601,3201,0.1803996592896209,0.1093447554005953,1.6371980458806973e-08,1.501910823114305e-09,14.074082845821977,80,False,Maximum number of function evaluations has been exceeded.,0.1788509786128997,0.1043174341320991
M1.250000_a0.09000000,1.25,0.09,False,0.1865942290233666,0.1070656426164781,0.1865942445338181,0.1070656481030856,0.001390080730825,0.0070751853201066,0.0072104487899203,0.266678719112715,0.587923285830743,0.0362145151682344,0.1181325526756087,0.3651138154197416,0.3639960564271461,1.0264378883443497,0.4731265937749458,0.7658166368511865,-0.2433417098335821,1601,3201,0.1865942445338181,0.1070656481030856,1.6452263326789452e-08,1.6408029680741159e-09,14.16966104786843,80,False,Maximum number of function evaluations has been exceeded.,0.1852041482925415,0.0999904572963714
M1.250000_a0.09500000,1.25,0.095,False,0.1924145092150188,0.1047757098421646,0.1924145040820436,0.1047810520519327,0.0008604396959758,0.0087453404411865,0.0087875671208055,0.2766997374311832,0.607560016195487,0.0390435726290635,0.1306774671280527,0.3811360192534143,0.3614331959127702,1.0224677447516737,0.4566793252261533,0.7609255707479846,-0.2272510177249734,1601,3201,0.1924145040820436,0.1047810520519327,5.342212234078264e-06,5.838647682401328e-07,14.2680828217417,80,False,Maximum number of function evaluations has been exceeded.,0.1915540695190429,0.096030369400978
