final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,cr_pinn_original,ci_pinn_original
M1.650000_a0.05000000,1.65,0.05,False,0.3621555514026959,0.036495669112601,0.3621550307205007,0.0368578969170608,0.0053587310622851,0.0250727698942044,0.0256390286236749,0.2269807406650038,0.3055662342589029,0.0261007529691961,0.0326478154317873,0.1325719373603245,0.2687121768040155,1.9045115182226409,0.4063970451002048,0.8694082863948718,-0.372997165204011,1601,3201,0.3621550307205007,0.0368578969170608,0.0003622281786854,2.2283748492643523e-05,16.601115614175797,80,False,Maximum number of function evaluations has been exceeded.,0.3675142824649811,0.0615684390068054
M1.650000_a0.05500000,1.65,0.055,False,0.3662279081708821,0.0374926077708714,0.3662278435067047,0.0376300710755946,0.0027754175298778,0.0170197365298755,0.0172445462106583,0.2329349244606365,0.3355944704371299,0.0275076756259111,0.0390378553266365,0.1484598314026375,0.2853696194818642,1.691154261204843,0.3677966109085843,0.8654310548662958,-0.3608292140475586,1601,3201,0.3662278435067047,0.0376300710755946,0.0001374633199326,9.685011144286572e-06,17.01554412394762,80,False,Maximum number of function evaluations has been exceeded.,0.3690033257007599,0.0545123443007469
M1.650000_a0.06000000,1.65,0.06,False,0.3701372371305052,0.0382282042683652,0.3701372293214049,0.0382281981672757,0.0011345817457612,0.0101464299677321,0.0102096678118295,0.2423659100564996,0.3724245881281532,0.0298150868816375,0.0489981048550567,0.1644960644113227,0.3083197097252895,1.536496368443922,0.3388891998005358,0.8609087700165728,-0.3472440337718989,1601,3201,0.3701372293214049,0.0382281981672757,9.909860715322228e-09,8.002542447094772e-10,17.733182252850384,80,False,Maximum number of function evaluations has been exceeded.,0.3712718188762665,0.0483746342360973
M1.650000_a0.06500000,1.65,0.065,False,0.3738879864066226,0.0387347851787765,0.3738879735840411,0.0387347944364153,0.0002687866837399,0.0044873851443569,0.0044954278678621,0.2544394478707161,0.4124029618077816,0.032911292917116,0.0619748558810748,0.1805848360837812,0.3343167111259513,1.4227315695579013,0.3170903319648958,0.8559294614055185,-0.3323678423452911,1601,3201,0.3738879735840411,0.0387347944364153,1.5815260727838573e-08,1.3896375000018694e-09,17.57099589984864,80,False,Maximum number of function evaluations has been exceeded.,0.3741567730903625,0.0432221703231334
M1.650000_a0.07000000,1.65,0.07,True,0.3774860384044758,0.0390396543196021,0.3774860276649712,0.0390396487665992,1.919073093770152e-06,3.4027150450643973e-06,3.906572822454503e-06,0.2684161284226729,0.4530951631165791,0.036696941766204,0.0774261736417517,0.1966493124469386,0.3611488501963413,1.338090128274036,0.3005222784131634,0.8505561119252523,-0.316325789898776,1601,3201,0.3774860276649712,0.0390396487665992,1.2090194338489791e-08,1.2020067295981943e-09,17.78470685519278,80,False,Maximum number of function evaluations has been exceeded.,0.3774879574775696,0.039036251604557
M1.650000_a0.07500000,1.65,0.075,False,0.3809380418563458,0.0391659824628922,0.3809380430797082,0.0391643577844916,0.0001554303860095,0.0034191435654255,0.0034226745866187,0.2836952358401051,0.4929830852426456,0.04108550268461,0.0948348894748472,0.212620400704676,0.3874602734842765,1.2745118161866775,0.2878142754834346,0.8448289158411765,-0.2992449107859924,1601,3201,0.3809380430797082,0.0391643577844916,1.6246788611309491e-06,1.7827881825064878e-07,17.99212674004957,80,False,Maximum number of function evaluations has been exceeded.,0.3810934722423553,0.0357468388974666
M1.650000_a0.08000000,1.65,0.08,False,0.384250981694077,0.0391335349544385,0.3842509791167,0.0391249403374394,0.0005563963595881,0.0058759201332428,0.0059022041917585,0.2998170419143132,0.5311683812208824,0.0460032802059802,0.1137188062771326,0.2284298801276692,0.4125054293457527,1.226319467156899,0.277970718697682,0.8387654302619315,-0.2812569063973431,1601,3201,0.3842509791167,0.0391249403374394,8.594617385525927e-06,1.0332621380901294e-06,18.28402002202347,80,False,Maximum number of function evaluations has been exceeded.,0.3848073780536651,0.0332576148211956
M1.650000_a0.08500000,1.65,0.085,False,0.3874319042628995,0.0389592637888102,0.3874319030656215,0.0389431984170904,0.0010512326294192,0.0074955178073553,0.0075688755599188,0.3164432979958087,0.5671593135759323,0.0513885731483433,0.1336366599791622,0.2440061838257903,0.4359531135180572,1.1894206786716202,0.270276707804941,0.8323652973470298,-0.2625028424752967,1601,3201,0.3874319030656215,0.0389431984170904,1.606537176439636e-05,2.10316904898833e-06,18.675402210094035,80,False,Maximum number of function evaluations has been exceeded.,0.3884831368923187,0.0314637459814548
M1.650000_a0.09000000,1.65,0.09,False,0.3904877446843208,0.0386577878381246,0.3904877292950833,0.0386410250748076,0.0015187121676384,0.0083938982571595,0.0085301825654366,0.3333307499431725,0.6007268029713421,0.0571900450555676,0.1541891929445746,0.259271671123075,0.4577482757013315,1.1608101542845355,0.2642273781321905,0.8256120195149134,-0.2431402001747112,1601,3201,0.3904877292950833,0.0386410250748076,1.676277038106802e-05,2.3759992865140668e-06,18.448715252336115,80,False,Maximum number of function evaluations has been exceeded.,0.3920064568519592,0.030263889580965
M1.650000_a0.09500000,1.65,0.095,False,0.3934252208541309,0.0382417808850598,0.3934252195570256,0.038233229102147,0.0018754655052746,0.0086748856683563,0.0088753035001925,0.350301698334178,0.6317994719912335,0.0633630798734282,0.1750121453813262,0.2741411222614032,0.4780074567266048,1.1382419822979892,0.2594707603595375,0.8184781043851795,-0.2233503324290261,1601,3201,0.3934252195570256,0.038233229102147,8.551783011121251e-06,1.3055534069981913e-06,18.75003639375791,80,False,Maximum number of function evaluations has been exceeded.,0.3953006863594055,0.0295668952167034
