Mach,n_points,residual_median,residual_p95,residual_max,n_residual_above_1e8
1.0,63,4.720442890700721e-12,1.6100447545469983e-10,2.675991931448228e-09,0
1.05,62,1.4793633822706145e-12,1.7557472509051814e-10,8.04947810233612e-10,0
1.1,53,7.614472527316583e-13,2.2548108782017477e-10,1.5096746018751327e-09,0
1.15,57,5.064035729569155e-13,2.380202752716077e-10,9.536208903643116e-09,0
1.2,57,3.477977005154756e-13,1.5714619658597037e-10,1.047885677896171e-09,0
1.25,55,3.164160309841579e-13,1.2041184014194988e-10,3.1955901826624925e-10,0
1.3,52,5.493603549547686e-13,1.7967296661440952e-10,3.1174456868512253e-10,0
1.35,50,3.890725519946867e-13,1.1556826287794028e-10,2.353500991449322e-10,0
1.4,48,2.953262123285717e-13,3.9275888887304045e-11,1.8175476919123663e-10,0
1.45,46,2.7326889808976963e-13,4.680773015563297e-11,3.4650207341738463e-10,0
1.5,45,1.9462162443674454e-13,8.410060605751298e-11,2.2295730576823848e-10,0
1.55,43,1.998920860115633e-13,6.290499566779085e-11,3.6988859422221727e-10,0
1.6,42,2.254427619120184e-13,1.2088015139378677e-10,5.891854140971548e-10,0
1.65,40,2.4526625269868733e-13,4.607531242209634e-11,2.8453590863845705e-10,0
1.7,39,2.3684304752524597e-13,8.240847649657989e-11,3.83349402017156e-10,0
1.75,38,3.4775323810741296e-13,1.0385610310253245e-10,4.87994392282881e-10,0
1.8,36,2.668425253494269e-13,1.0140331603221386e-10,5.848383094194352e-10,0
1.85,35,4.0577064271960813e-13,1.1670791061197887e-10,6.585269993667955e-10,0
1.9,34,4.956075239298978e-13,1.27336408232134e-10,6.95871303455502e-10,0
