cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status,_source_file,_technical_success,mach_index,alpha_index,primary_chart
0,1.018,0.05775,True,3.671068216285564e-10,0.0132062703085101,0.0007626621103164,6.126533856861292e-10,6.118604256068193e-10,-3.116072157249849e-11,linear_ci,nominal,3,0.1,0.002,6,1,37,3163,0,250.1465803750325,COMPLETED,classical_COST500_chunk_000.csv,True,0,0,C00
1,1.018,0.07325,True,4.3003896549682214e-10,0.0177333953504069,0.0012989712094173,3.734908737169666e-12,1.8788382308287943e-12,-3.2279266065637917e-12,linear_ci,nominal,3,0.1,0.002,6,1,37,3533,0,275.0630903629353,COMPLETED,classical_COST500_chunk_000.csv,True,0,1,C00
2,1.018,0.08875,True,9.856090898556547e-10,0.0230556560184707,0.0020461894716392,9.680829569867194e-10,9.067932368531095e-10,-3.3898471529791863e-10,linear_ci,nominal,3,0.1,0.002,6,1,37,3916,0,292.0735376540106,COMPLETED,classical_COST500_chunk_000.csv,True,0,2,C00
3,1.018,0.10425,True,5.47992011934969e-10,0.0295174790301711,0.0030771971888953,4.0036754059498397e-10,3.4535605451802004e-10,-2.0254225033267126e-10,linear_ci,nominal,3,0.1,0.002,6,2,37,3635,0,291.9548273460241,COMPLETED,classical_COST500_chunk_000.csv,True,0,3,C00
4,1.018,0.11975,True,1.529594456974921e-11,0.0376856519610544,0.0045128568223362,4.248208041019843e-13,4.245839790861794e-13,-1.4183099139586376e-14,linear_ci,nominal,3,0.1,0.002,6,1,37,3619,0,298.08286363095976,COMPLETED,classical_COST500_chunk_000.csv,True,0,4,C00
5,1.018,0.13525,True,-1.0400849888592986e-10,0.0486617782665812,0.0065815055105551,2.399505656498567e-12,1.8175495830607961e-12,-1.5665697905564713e-12,linear_ci,nominal,3,0.1,0.002,6,1,37,4157,0,357.01662303402554,COMPLETED,classical_COST500_chunk_001.csv,True,0,5,C01
6,1.018,0.15075,True,-4.682207683022856e-10,0.1860155894387146,0.0280418501078862,5.43735253824824e-12,4.620956395307019e-12,-2.865582771072184e-12,log_ci,nominal,3,0.1,0.002,6,1,36,3247,0,283.3320858000079,COMPLETED,classical_COST500_chunk_001.csv,True,0,6,C01
7,1.018,0.16625,True,0.0119307543085754,0.1154849647526308,0.0191993753901248,2.1181494423426603e-10,-1.9390460764823203e-10,8.524420058719784e-11,log_ci,nominal,3,0.1,0.002,6,1,36,4008,0,350.2755102489609,COMPLETED,classical_COST500_chunk_001.csv,True,0,7,C01
8,1.018,0.18175,True,0.0610563112385991,0.1054711195658456,0.0191693759810924,8.948953766324462e-14,-9.908740494779522e-15,-8.89392726133309e-14,log_ci,nominal,3,0.1,0.002,6,2,33,3731,0,305.2079068060266,COMPLETED,classical_COST500_chunk_001.csv,True,0,8,C01
9,1.018,0.19725,True,0.0844495609235054,0.0956259793065067,0.0188622244182084,3.964896363218188e-16,3.3306690738754696e-16,2.1510571102112408e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3898,0,347.77895017398987,COMPLETED,classical_COST500_chunk_001.csv,True,0,9,C01
10,1.018,0.21275,True,0.1018227602884324,0.0859391788685281,0.0182835603042793,1.9370453959326358e-15,3.3306690738754696e-16,1.908195823574488e-15,log_ci,nominal,3,0.1,0.002,6,1,36,3481,0,300.6411006799899,COMPLETED,classical_COST500_chunk_002.csv,True,0,10,C02
11,1.018,0.2282499999999999,True,0.1159689682091159,0.0764007680987883,0.0174384753185484,1.751332868510077e-14,-1.6653345369377348e-15,1.743397093356691e-14,log_ci,nominal,3,0.1,0.002,6,1,36,3055,0,252.49012974801008,COMPLETED,classical_COST500_chunk_002.csv,True,0,11,C02
12,1.018,0.24375,True,0.1280068734379138,0.0670012412335276,0.0163315525506723,2.98569812841067e-13,-3.1780134079895106e-14,2.968736367847669e-13,log_ci,nominal,3,0.1,0.002,6,2,28,2166,0,171.50420247402508,COMPLETED,classical_COST500_chunk_002.csv,True,0,12,C02
13,1.018,0.25925,True,0.1385241897552438,0.057731557156047,0.0149669061927052,4.232160611057051e-12,-5.860173457605812e-13,4.19139202512131e-12,log_ci,nominal,3,0.1,0.002,6,1,36,2747,0,230.282782437047,COMPLETED,classical_COST500_chunk_002.csv,True,0,13,C02
14,1.018,0.27475,True,0.1478772683130732,0.0485831470936458,0.0133482196639791,4.613998082842354e-11,-8.330849898818826e-12,4.5381656765819394e-11,log_ci,nominal,3,0.1,0.002,6,1,36,2739,0,234.1899643350625,COMPLETED,classical_COST500_chunk_002.csv,True,0,14,C02
15,1.018,0.29025,True,0.1563026306120595,0.0395479150816007,0.0114787823524346,5.36663476097875e-15,-4.066191827689636e-15,-3.5024066979971735e-15,log_ci,nominal,3,0.1,0.002,6,1,36,3001,0,249.56015737599228,COMPLETED,classical_COST500_chunk_003.csv,True,0,15,C02
16,1.018,0.3057499999999999,True,0.1639674270217796,0.0306182332377128,0.0093615248124307,7.685450726627404e-15,-5.551115123125783e-15,5.315192730392937e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2644,0,224.0754964489024,COMPLETED,classical_COST500_chunk_003.csv,True,0,16,C02
17,1.018,0.32125,True,0.1709953781753047,0.021786932251398,0.0069990519857616,1.9536429465986085e-14,-1.85268467234323e-14,-6.19903434140312e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2507,0,213.2290846699616,COMPLETED,classical_COST500_chunk_003.csv,True,0,17,C02
18,1.018,0.33675,True,0.177481376950996,0.0130472864455923,0.0043936737105532,2.6170106213520365e-13,-1.0613732115416497e-13,2.392118621241668e-13,log_ci,nominal,3,0.1,0.002,6,2,36,2614,0,222.92098112695385,COMPLETED,classical_COST500_chunk_003.csv,True,0,18,C02
19,1.018,0.3522499999999999,True,0.1835003033837956,0.0043929996505128,0.0015474341268931,6.376820394175924e-13,2.224054274080345e-13,-5.976405351507119e-13,linear_ci,nominal,0,0.1,0.0001,6,3,32,2355,0,245.3959454150172,COMPLETED,classical_COST500_chunk_003.csv,True,0,19,C02
