benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error,cost_id,cost_chunk
0,C00,1.018,0.05775,0.0,0.0,-0.012604296,0.0042007715,0.0132858857006534,COMPLETED,,0.0,0.0132052300717773,2.78761568944826e-07,1.8357978528003042e-22,2.7876156894482614e-07,True,True,0,0.015,0.008,12,260.1905075239483,0.0132052300717773,0,0
1,C00,1.018,0.07325,0.0,0.0,-0.021458328,0.013150664,0.0251674353917215,COMPLETED,,0.0,0.0177321068307291,3.8675810238583537e-07,4.830704264169869e-22,3.867581023858359e-07,True,True,0,0.015,0.015,12,294.7971918070107,0.0177321068307291,1,0
2,C00,1.018,0.08875,0.0,0.0,-0.01257053,0.025557214,0.0284813871137396,COMPLETED,,0.0,0.0230520056666666,1.1379880315529997e-06,1.023386352490531e-21,1.1379880315530003e-06,True,True,0,0.015,0.008,12,333.9173088570242,0.0230520056666666,2,0
3,C00,1.018,0.10425,0.0,0.0,-0.010922492,0.029335085,0.0313025245538964,COMPLETED,,0.0,0.0295173766666666,3.0904362177467e-08,1.8915819734304432e-21,3.0904362177468893e-08,True,True,0,0.015,0.008,12,334.83695753704524,0.0295173766666666,3,0
4,C00,1.018,0.11975,0.0,0.0,-0.0045665205,0.028551636,0.0289145124073261,COMPLETED,,0.0,0.037682495375,8.842781824566722e-07,3.0007222018158213e-21,8.842781824566752e-07,True,True,0,0.015,0.015,12,340.98080610798206,0.037682495375,4,0
5,C00,1.054,0.05775,0.0,0.0,-0.013326347,0.008691498,0.0159101747900019,COMPLETED,,0.0,0.0272471176529947,1.0625395705290964e-07,2.876939504736872e-22,1.0625395705290994e-07,True,True,0,0.015,0.015,12,328.59240443300223,0.0272471176529947,5,0
6,C00,1.054,0.07325,0.0,0.0,-0.015992403,0.027853549,0.032118174692996,COMPLETED,,0.0,0.0367337573333333,5.306232114375892e-08,7.957221018302622e-22,5.30623211437597e-08,True,True,0,0.015,0.008,12,332.6507814649958,0.0367337573333333,6,0
7,C00,1.054,0.08875,0.0,0.0,0.0012616813,0.048552036,0.0485684263637197,COMPLETED,,0.0,0.048239536,2.2737790066722715e-08,1.74040691484924e-21,2.2737790066724452e-08,True,True,0,0.015,0.03,12,216.21809155098163,0.048239536,7,0
8,C00,1.054,0.10425,0.0,0.0,0.012895733,0.05540386,0.0568848629470695,COMPLETED,,0.0,0.0633674016666666,5.798680783499303e-08,3.020166301590288e-21,5.798680783499604e-08,True,True,0,0.015,0.008,12,332.69127999199554,0.0633674016666666,8,0
9,C00,1.09,0.05775,0.0,0.0,-0.0059984922,0.026622325,0.0272897434410638,COMPLETED,,0.0,0.043663340625,4.1530652041197634e-07,4.941430894973915e-22,4.153065204119768e-07,True,True,0,0.015,0.015,12,324.70164094294887,0.043663340625,9,0
10,C00,1.09,0.07325,0.0,0.0,0.0020121038,0.06676909,0.0667994007542738,COMPLETED,,0.0,0.060878465,2.434307472311092e-07,1.3648429817242249e-21,2.434307472311105e-07,True,True,0,0.015,0.008,12,325.03714268899057,0.060878465,10,0
11,C00,1.09,0.08875,0.0,0.0,0.03290522,0.08893112,0.094823507674536,COMPLETED,,0.0,0.08583737,8.470009408747613e-08,2.920693017132175e-21,8.470009408747904e-08,True,True,0,0.03,0.008,12,317.7116654640413,0.08583737,11,0
12,C00,1.09,0.10425,0.0,0.0,0.053283334,0.091667734,0.1060287090313294,COMPLETED,,0.0337813808749999,0.1407888277499999,3.5877830335596245e-07,2.057141262371903e-21,3.587783033559645e-07,True,True,0,0.015,0.03,12,326.759893585986,0.1447849291640569,12,0
13,C00,1.126,0.05775,0.0,0.0,0.009267181,0.07314746,0.0737321608807063,COMPLETED,,0.0,0.0673089183333333,1.3425750742409325e-07,8.9792301111605e-22,1.3425750742409417e-07,True,True,0,0.015,0.008,12,320.0360742239864,0.0673089183333333,13,0
14,C00,1.126,0.07325,0.0,0.0,0.02970171,0.12638575,0.1298289235108517,COMPLETED,,0.0,0.10605371875,8.22918145232508e-08,2.6546890047179577e-21,8.229181452325346e-08,True,True,0,0.015,0.015,12,306.6566852509859,0.10605371875,14,0
15,C00,1.126,0.08875,0.0,0.0,0.073488325,0.13336931,0.1522757589414077,COMPLETED,,0.0642988718749999,0.140791185,1.2905740500363708e-07,3.890529084364467e-21,1.2905740500364097e-07,True,True,0,0.015,0.008,12,306.4937092490145,0.1547788832434899,15,0
16,C00,1.126,0.10425,0.0,0.0,0.093032435,0.118881695,0.1509565876936222,COMPLETED,,0.098803919375,0.1315327366666666,3.730287552222042e-07,3.333757790387303e-21,3.730287552222075e-07,True,True,0,0.015,0.008,12,320.58226927003125,0.1645085873104628,16,0
17,C00,1.162,0.05775,0.0,0.0,0.03439367,0.1191206,0.1239864584558688,COMPLETED,,0.0,0.1195112249999999,2.7850782074292193e-08,2.0730842014170637e-21,2.7850782074294265e-08,True,True,0,0.03,0.015,12,260.5220740099903,0.1195112249999999,17,0
18,C00,1.162,0.07325,0.0,0.0,0.07030174,0.15526721,0.1704413129150667,COMPLETED,,0.0784755681249999,0.139720335,2.396259936238236e-07,4.158011048194999e-21,2.3962599362382775e-07,True,True,0,0.015,0.008,12,317.92534060700564,0.1602503878468122,18,0
19,C00,1.162,0.08875,0.0,0.0,0.11908217,0.1477756,0.1897845914906394,COMPLETED,,0.112216935625,0.13095919375,4.624855950216564e-07,4.5318530431143226e-21,4.62485595021661e-07,True,True,0,0.015,0.03,12,331.418062273995,0.1724614480651123,19,0
20,C00,1.162,0.10425,0.0,0.0,0.13649018,0.119721465,0.1815565983878818,COMPLETED,,0.136109320625,0.1222702931249999,3.9715734611903333e-07,4.132164355112457e-21,3.9715734611903756e-07,True,True,0,0.015,0.015,12,334.6557522189687,0.1829638536483981,20,0
21,C00,1.198,0.05775,0.0,0.0,0.07167441,0.1356484,0.1534200426000726,COMPLETED,,0.0837544881249999,0.13742574375,1.3815366566144944e-07,3.1982400578440677e-21,1.3815366566145264e-07,True,True,0,0.015,0.03,12,319.28559667698573,0.1609367867403889,21,0
22,C00,1.198,0.07325,0.0,0.0,0.11726084,0.14842324,0.1891548645147758,COMPLETED,,0.1202393556249999,0.129331443125,3.366283163624459e-07,4.420791974532293e-21,3.366283163624504e-07,True,True,0,0.015,0.015,12,330.9573527769535,0.1765902738598882,22,0
23,C00,1.198,0.08875,0.0,0.0,0.16324906,0.13265017,0.2103481000435052,COMPLETED,,0.145817419375,0.1212387116666666,3.923089516331973e-07,5.081769677772559e-21,3.9230895163320245e-07,True,True,0,0.015,0.008,12,342.04341198300244,0.189635294710077,23,0
24,C00,1.198,0.10425,0.0,0.0,0.18582301,0.108549565,0.215205016454425,COMPLETED,,0.16584254125,0.113168705625,5.350449093445324e-07,4.708429947436145e-21,5.35044909344537e-07,True,True,0,0.03,0.015,12,355.6959641790017,0.2007757565571497,24,0
25,C01,1.018,0.13525,0.0,0.0,0.014175117,0.046930596,0.0490246344492124,COMPLETED,,0.0,0.0486591116249999,6.291950278771798e-07,3.416418120434979e-21,6.291950278771832e-07,True,True,0,0.015,0.015,12,278.06240566202905,0.0486591116249999,25,0
26,C01,1.018,0.15075,0.0,0.0,0.022813529,0.08002309,0.0832114898231124,COMPLETED,,0.0,0.0653407983333333,1.6927990985319974e-08,1.3959938871810522e-21,1.692799098532137e-08,True,True,0,0.015,0.008,12,278.78637025196804,0.0653407983333333,26,0
27,C01,1.018,0.16625,0.0,0.0,0.024344474,0.09386,0.0969657311339252,COMPLETED,,0.0119295813649088,0.1154810937499999,1.1848813045524556e-07,1.0301016685235668e-20,1.1848813045525585e-07,True,True,0,0.06,0.03,12,280.61663147603394,0.1160956412844094,27,0
28,C01,1.018,0.18175,0.0,0.0,0.024928331,0.08797091,0.0914346908600541,COMPLETED,,0.06106127941569,0.105480675625,1.548086226183348e-06,1.8336624261746528e-20,1.5480862261833664e-06,True,True,0,0.03,0.015,12,304.08213202201296,0.1218796651381494,28,0
29,C01,1.018,0.19725,0.0,0.0,0.038622335,0.080747984,0.0895093385123389,COMPLETED,,0.08446217875,0.0956281923333333,2.5884097887183818e-06,2.280029296941823e-20,2.5884097887184046e-06,True,True,0,0.03,0.008,12,310.7835396430455,0.1275876593097386,29,0
30,C01,1.054,0.11975,0.0,0.0,0.039531782,0.064052805,0.0752696726209404,COMPLETED,,0.0,0.087226633125,3.585960009913019e-07,3.022509672862676e-21,3.5859600099130494e-07,True,True,0,0.03,0.015,12,274.5826019970118,0.087226633125,30,0
31,C01,1.054,0.13525,0.0,0.0,0.056891322,0.1020749,0.1168584944662461,COMPLETED,,0.04109054075,0.129487009375,1.2360973999309185e-07,2.0554888228119618e-22,1.236097399930921e-07,True,True,0,0.03,0.015,12,283.67560204298934,0.1358503519907429,31,0
32,C01,1.054,0.15075,0.0,0.0,0.0749456,0.12489062,0.1456520165440369,COMPLETED,,0.076420209375,0.119607416875,6.52714298279842e-07,1.210804070122839e-21,6.527142982798432e-07,True,True,0,0.015,0.015,12,353.6650492069893,0.141936544175307,32,0
33,C01,1.054,0.16625,0.0,0.0,0.08425897,0.12050725,0.1470427534019388,COMPLETED,,0.09873162625,0.109872484375,3.811554921604778e-07,3.4900091517358784e-21,3.811554921604813e-07,True,True,0,0.03,0.015,12,336.59859102300834,0.1477155944533423,33,0
34,C01,1.054,0.18175,0.0,0.0,0.08730221,0.09572208,0.1295545926256977,COMPLETED,,0.115886194375,0.100268955,1.8738208891770689e-06,6.84929459145666e-21,1.873820889177076e-06,True,True,0,0.015,0.008,12,383.4932985980413,0.1532431838076731,34,0
35,C01,1.054,0.19725,0.0,0.0,0.10189901,0.082024306,0.1308105309742367,COMPLETED,,0.1300435412499999,0.0908003476666666,1.215814837269663e-06,1.0960933160721412e-20,1.2158148372696743e-06,True,True,0,0.03,0.008,12,391.7447343340027,0.158606512341795,35,0
36,C01,1.09,0.11975,0.0,0.0,0.08261451,0.109655395,0.1372933462158531,COMPLETED,,0.078151619375,0.131110473125,4.376939034656852e-07,1.0540142597332758e-21,4.376939034656863e-07,True,True,0,0.015,0.015,12,337.5641661109985,0.1526356176454114,36,0
37,C01,1.09,0.13525,0.0,0.0,0.10584268,0.13352978,0.1703903608084412,COMPLETED,,0.10363564875,0.1215766549999999,8.018502977208172e-07,2.016960351329988e-22,8.018502977208174e-07,True,True,0,0.03,0.008,12,350.9731793399551,0.1597536563989143,37,0
38,C01,1.09,0.15075,0.0,0.0,0.13059989,0.13947776,0.1910768871492041,COMPLETED,,0.1227776243749999,0.112163306875,1.816347923040504e-06,8.079869976124285e-23,1.816347923040504e-06,True,True,0,0.015,0.015,12,370.7948814560077,0.1662977824756061,38,0
39,C01,1.09,0.16625,0.0,0.0,0.14011693,0.11659956,0.1822860704080772,COMPLETED,,0.1383493518749999,0.102878856875,7.422322179408589e-07,9.634577193669224e-22,7.422322179408599e-07,True,True,0,0.015,0.015,12,386.1519466319587,0.172408243295207,39,0
40,C01,1.09,0.18175,0.0,0.0,0.13921905,0.08287136,0.1620173021351488,COMPLETED,,0.1515237374999999,0.0936890683333333,1.4488356267626008e-06,2.816141333903265e-21,1.4488356267626035e-06,True,True,0,0.06,0.008,12,394.7069763719919,0.1781490515022095,40,0
41,C01,1.09,0.19725,0.0,0.0,0.15289596,0.07656681,0.1709960554454333,COMPLETED,,0.16295455375,0.084613685,1.0891907366090948e-06,5.6963689765538865e-21,1.0891907366091005e-06,True,True,0,0.03,0.008,12,401.6366972820251,0.1836128053190759,41,0
