Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,is_target,status,requested_alpha,seed_alpha,alpha_step,anchor_source_path,anchor_source_Mach,anchor_source_alpha,neutral_alpha_estimate,neutral_fit_r2,timestamp,trial_alpha,trial_step
1.1,0.05,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.05,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.485517+00:00,,
1.1,0.055,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.055,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.463132+00:00,,
1.1,0.06,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.06,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.442432+00:00,,
1.1,0.065,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.065,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.420970+00:00,,
1.1,0.07,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.07,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.399550+00:00,,
1.1,0.075,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.075,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.374625+00:00,,
1.1,0.08,,,,,,,False,,,,,,,,False,,Direction stopped after an unrecoverable continuation failure.,0,0,0,False,False,,,,,,,,,,,,,,low,True,not_reached_after_failure,0.08,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.353803+00:00,,
1.1,0.085,,,,,,,False,,,,,,,,False,,Continuation could not reach target above minimum bridge step. Last residual=3.0110098503966715e-06,0,0,0,False,False,,,,,,,,,,,,,,low,True,rejected,0.085,,,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:30.322750+00:00,,
1.1,0.08682373046875,-6.55897924210619e-10,0.1999749697176857,0.0173625728712647,4.4463391302151933e-13,2.190608805463512e-13,4.95668221691255e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,2,11,0,False,False,0.0019997515405905,0.2,-7.105089184501176e-10,0.1999751540590523,2026-07-23T11:42:18.954987+00:00,continuation,,,,,,,,low,False,converged,0.085,0.0868457031249999,-2.1972656249999898e-05,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:18.970740+00:00,0.08682373046875,-2.1972656249999898e-05
1.1,0.0868457031249999,-6.35921866260118e-10,0.1998821057220584,0.0173589020135377,-4.792943819609263e-12,4.186370000658357e-12,6.3638042270596975e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,2,11,0,False,False,0.0019988539570333,0.2,-5.618216549703567e-10,0.1998853957033392,2026-07-23T11:42:14.279878+00:00,continuation,,,,,,,,low,False,converged,0.085,0.086875,-2.9296874999999863e-05,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,,,2026-07-23T11:42:14.294105+00:00,0.0868457031249999,-2.9296874999999863e-05
