Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,requested_alpha,seed_alpha,trial_alpha,trial_step
1.2,0.1875,0.2331693643567388,0.0698662503663249,0.0130999219436859,1.7393725348924254e-13,-2.331572435121388e-13,2.90889099750334e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,2,11,0,False,False,0.0006986588448643,0.2,0.2331694872807306,0.0698658844864319,2026-07-23T11:40:54.158615+00:00,anchor,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0,61.75339919169751,,,,,
1.2,0.185,0.2317684249564779,0.0711414505629227,0.0131611683541407,-4.0245584642661925e-16,-5.0133508455729725e-16,6.428900180676621e-16,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,4,21,0,False,False,0.0006986625036632,0.2,0.2331693643567388,0.0698662503663249,2026-07-23T11:40:55.025076+00:00,continuation,,,,,,,,low,0.185,0.1875,0.185,-0.0025
1.2,0.18,0.2288940030156143,0.0736938845202286,0.0132648992136411,7.271960811294775e-15,1.240327285323417e-15,7.376979450677949e-15,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0007376210070985,0.2,0.2289665461559562,0.0737621007098527,2026-07-23T11:40:55.689729+00:00,continuation,,,,,,,,low,0.18,0.185,0.18,-0.005
1.2,0.175,0.2259178475800821,0.0762490007480093,0.0133435751309016,2.8345381597461028e-14,5.953570969552402e-15,2.896386827057428e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0007633789545628,0.2,0.2260195810747506,0.076337895456284,2026-07-23T11:40:56.355814+00:00,continuation,,,,,,,,low,0.175,0.18,0.175,-0.005
1.2,0.17,0.2228334640401218,0.0788067637074469,0.0133971498302659,3.3112401709445294e-14,5.486930354514641e-15,3.3563932303634654e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0007889270803025,0.2,0.2229416921445501,0.0788927080302577,2026-07-23T11:40:57.003165+00:00,continuation,,,,,,,,low,0.17,0.175,0.17,-0.0049999999999999
1.2,0.165,0.2196337386512064,0.0813671371952737,0.0134255776372201,4.2618686357798197e-14,5.233660727022027e-15,4.293883593519912e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.000814503264976,0.2,0.2197490805001615,0.0814503264976036,2026-07-23T11:40:57.642871+00:00,continuation,,,,,,,,low,0.165,0.17,0.165,-0.005
1.2,0.16,0.2163108523694062,0.0839300841651744,0.0134288134664279,5.570544026056724e-14,5.9865307155959605e-15,5.6026195878645904e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0008401069532473,0.2,0.2164340132622909,0.0840106953247322,2026-07-23T11:40:58.287293+00:00,continuation,,,,,,,,low,0.16,0.165,0.16,-0.005
1.2,0.155,0.2128561788956414,0.0864955663967861,0.0134068127915018,7.292083603616106e-14,6.616235337375542e-15,7.322037215319397e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0008657376025246,0.2,0.2129879660876061,0.0865737602524676,2026-07-23T11:40:58.919333+00:00,continuation,,,,,,,,low,0.155,0.16,0.155,-0.005
1.2,0.15,0.2092601600195139,0.089063544049155,0.0133595316073732,9.783146515118801e-14,7.289308046054543e-15,9.810264820797853e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0008913946745933,0.2,0.2094015054218767,0.0891394674593353,2026-07-23T11:40:59.541158+00:00,continuation,,,,,,,,low,0.15,0.155,0.15,-0.005
1.2,0.145,0.2055121596598169,0.091633975727477,0.0132869264804841,1.3210960103648972e-13,7.813194535799539e-15,1.323404424009333e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0009170776271014,0.2,0.2056641411433863,0.0917077627101418,2026-07-23T11:41:00.160579+00:00,continuation,,,,,,,,low,0.145,0.15,0.145,-0.005
