final_reference_id,Mach,alpha,cr,ci,omega_i,reference_subset,mode_npz_path,mode_index_in_npz,n_coordinates,y_min,y_max,display_limit,min_abs_U_minus_c
M1.000000_a0.05000000,1.0,0.05,-2.1381009935921505e-07,0.0025771484770576,0.0001288574238528,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,0,3801,-5439.826832090098,5440.276963579937,3911.9584167086673,0.0025771484859268517
M1.000000_a0.05500000,1.0,0.055,-1.963662682691355e-07,0.0031382028597574,0.0001726011572866,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,1,3801,-4481.022144530114,4481.301610945522,3224.9484740813723,0.0031382028659009977
M1.000000_a0.06000000,1.0,0.06,-5.2656520336501e-08,0.0037616026999093,0.0002256961619945,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,2,3801,-3751.4456191154713,3751.497918100739,2702.1171085273695,0.0037616027002778537
M1.000000_a0.06500000,1.0,0.065,5.318523598496773e-08,0.0044499855836279,0.0002892490629358,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,3,3801,-3183.3848132377493,3183.346945666378,2295.1208802035235,0.0044499855839457295
M1.000000_a0.07000000,1.0,0.07,2.448412287104524e-08,0.0052061575793201,0.0003644310305524,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,4,3801,-2732.4822328295495,2732.469454863711,1962.4013355609031,0.005206157579377674
M1.000000_a0.07500000,1.0,0.075,-9.544762484683384e-09,0.0060334923763868,0.000452511928229,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,5,3801,-2368.615227024165,2368.618950525158,1703.039587934333,0.006033492376394349
M1.000000_a0.08000000,1.0,0.08,-9.711206350131143e-09,0.0069360107429715,0.0005548808594377,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,6,3801,-2070.6948689486535,2070.6977467149086,1490.681353858387,0.006936010742978298
M1.000000_a0.08500000,1.0,0.085,-3.258289311069424e-09,0.0079182452555799,0.0006730508467242,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,7,3801,-1823.649673941591,1823.6504179205308,1314.5860178937544,0.00791824525558057
M1.000000_a0.09000000,1.0,0.09,1.4646562006685288e-10,0.0089853661922371,0.0008086829573013,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,8,3801,-1616.4806116379737,1616.4805854812025,1161.240049773651,0.0089853661922371
M1.000000_a0.09500000,1.0,0.095,8.092975981496505e-10,0.0101433175874361,0.0009636151708064,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,9,3801,-1441.0036824780157,1441.0035687272282,1036.7918116134088,0.010143317587436132
