Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated
1.7,0.05,300,0.0318734709789904,0.3840001105701379,-4.118333278568809e-12,-2.1163960341186172e-11,-4616.928238803581,1691.0063908182306,-0.10649313977832131,0.0029928276303384273,2.1560934263539427e-11,-0.017351306100559558,-0.008175525441959914,4576.928238803581,1.0000000000000004e-06,0.8890931548973038,1.0,0.025,0.0029928276303384273,0.008175525441959914,3801,40.0,0.0015936735489495198,1651.0063908182306,1.0000000000000004e-06,0.7278459902708754,-0.20011254219469343,1e-06,2026-07-23T12:05:46.110371+00:00,converged,,2026-07-23T12:05:46.121143+00:00
1.7,0.055,300,0.0328730981616968,0.3876068789766883,-1.4227353670182019e-11,-3.855852356154932e-11,-4072.0380779465722,1440.5929611994363,-0.11751535282795318,0.0033934049861329744,4.109960257354073e-11,-0.01833673736291961,-0.009597808873596353,4032.0380779465722,1.0000000000000004e-06,0.875314139939198,1.0,0.025,0.0033934049861329744,0.009597808873596353,3801,40.0,0.001808020398893324,1400.5929611994363,1.0000000000000004e-06,0.6887430518198622,-0.23971456668536947,1e-06,2026-07-23T12:05:46.372802+00:00,converged,,2026-07-23T12:05:46.383174+00:00
1.7,0.06,300,0.0336318199900653,0.3910915486397204,-5.7206869449877296e-12,-3.257283158475399e-11,-3650.6161059612073,1246.4189993420316,-0.1285912593282606,0.003785253555038355,3.30713715556416e-11,-0.019204275604360336,-0.011094424659566214,3610.6161059612073,1.0000000000000004e-06,0.8620749121949929,1.0,0.025,0.003785253555038355,0.011094424659566214,3801,40.0,0.002017909199403918,1206.4189993420316,1.0000000000000004e-06,0.6498680986133172,-0.28257275489896827,1e-06,2026-07-23T12:05:46.535662+00:00,converged,,2026-07-23T12:05:46.546070+00:00
1.7,0.065,300,0.0341765236862786,0.3944539587741758,-2.9987358082794735e-12,-3.076534773466255e-11,-3317.9465371590795,1092.3610539671831,-0.13971735096783305,0.004164916304393834,3.091114746628736e-11,-0.019958995996864015,-0.01266079334190091,3277.9465371590795,1.0000000000000004e-06,0.8494743093431332,1.0,0.025,0.004164916304393834,0.01266079334190091,3801,40.0,0.0022214740396081087,1052.3610539671831,1.0000000000000004e-06,0.6115339949846003,-0.32864715220162233,1e-06,2026-07-23T12:05:46.710539+00:00,converged,,2026-07-23T12:05:46.720867+00:00
1.7,0.07,300,0.0345304998550194,0.3976958604626479,-7.39306879604662e-12,-3.2162612850772376e-11,-3051.0066294360363,967.7504976688905,-0.15089037547179152,0.004529475632702239,3.3001380753110115e-11,-0.020605727455714033,-0.01429304248627327,3011.0066294360363,1.0000000000000004e-06,0.8375876198583899,1.0,0.025,0.004529475632702239,0.01429304248627327,3801,40.0,0.0024171349898513585,927.7504976688905,1.0000000000000004e-06,0.5739957550221839,-0.3779038780928058,1e-06,2026-07-23T12:05:46.873618+00:00,converged,,2026-07-23T12:05:46.883959+00:00
1.7,0.075,300,0.0347139445851855,0.4008202608716605,-8.916593158270203e-12,-3.405937858136365e-11,-2834.022477597913,865.2884165832703,-0.1621073324612598,0.004876453537055697,3.520719958898697e-11,-0.02114904437809529,-0.015987873613461177,2794.022477597913,1.0000000000000004e-06,0.8264715666180815,1.0,0.025,0.004876453537055697,0.015987873613461177,3801,40.0,0.0026035458438889124,825.2884165832703,1.0000000000000004e-06,0.5374585388507187,-0.43031389450864377,1e-06,2026-07-23T12:05:47.033991+00:00,converged,,2026-07-23T12:05:47.044339+00:00
1.7,0.08,300,0.0347444091807322,0.4038309634965792,-1.4327303232697375e-11,-4.061620484385742e-11,-2655.886862237066,779.8369131259536,-0.17336546195700833,0.005203732744159417,4.306910393588248e-11,-0.02159327020120831,-0.017742456318645,2615.886862237066,1.0000000000000004e-06,0.8161685100489526,1.0,0.025,0.005203732744159417,0.017742456318645,3801,40.0,0.002779552734458576,739.8369131259536,1.0000000000000004e-06,0.5020847022681166,-0.4858520059810678,1e-06,2026-07-23T12:05:47.195853+00:00,converged,,2026-07-23T12:05:47.206218+00:00
1.7,0.085,300,0.0346371917969951,0.4067322472926893,-7.61437267404741e-12,-3.153417717921547e-11,-2508.5967228337668,707.6891563549054,-0.18466222931758502,0.005509494292910019,3.244045316559918e-11,-0.021942487447747978,-0.019554344078760076,2468.5967228337668,1.0000000000000004e-06,0.8067100233290898,1.0,0.025,0.005509494292910019,0.019554344078760076,3801,40.0,0.0029441613027445836,667.6891563549054,1.0000000000000004e-06,0.4679999654246637,-0.5444960549281577,1e-06,2026-07-23T12:05:47.356582+00:00,converged,,2026-07-23T12:05:47.367062+00:00
1.7,0.09,300,0.0344056712495281,0.4095286433248272,-6.824318887765912e-12,-1.7150165836088416e-11,-2386.2742375544494,646.1127474568228,-0.19599530874829243,0.005792167683233905,1.8458047472234242e-11,-0.022200550788654832,-0.021421406508802678,2346.2742375544494,1.0000000000000004e-06,0.7981196597620636,1.0,0.025,0.005792167683233905,0.021421406508802678,3801,40.0,0.003096510412457529,606.1127474568228,1.0000000000000004e-06,0.4352986183162324,-0.606226261327293,1e-06,2026-07-23T12:05:47.518916+00:00,converged,,2026-07-23T12:05:47.529238+00:00
1.7,0.095,300,0.0340615906188966,0.4122247805750896,-5.6746152915509995e-12,-1.768873502533408e-11,-2284.5347386316075,593.0551178146441,-0.20736256672049092,0.006050391067745021,1.8576668310103e-11,-0.02237110149740943,-0.023341775210736094,2244.5347386316075,1.0000000000000004e-06,0.7904146292097478,1.0,0.025,0.006050391067745021,0.023341775210736094,3801,40.0,0.0032358511087951774,553.0551178146441,1.0000000000000004e-06,0.40404770803893386,-0.6710246946834968,1e-06,2026-07-23T12:05:47.685275+00:00,converged,,2026-07-23T12:05:47.695665+00:00
