Mach,alpha,n_rows,y_min,y_max,p_left_tail_samples_per_period,p_right_tail_samples_per_period,p_left_tail_n,p_right_tail_n,rho_left_tail_samples_per_period,rho_right_tail_samples_per_period,rho_left_tail_n,rho_right_tail_n,u_left_tail_samples_per_period,u_right_tail_samples_per_period,u_left_tail_n,u_right_tail_n,v_left_tail_samples_per_period,v_right_tail_samples_per_period,v_left_tail_n,v_right_tail_n,worst_tail_samples_per_period,tail_resolution_flag
1.9,0.145,4418,-1999.9999999999343,1999.9999999999343,,117.24174315377752,0,17,,117.24174315375808,0,17,,259.20189603072293,0,36,,192.86513272571653,0,27,117.24174315375808,ok
1.8,0.15,4418,-1751.7084035026462,1751.7084035026462,,118.75364507534766,0,19,,118.75364507535265,0,19,,261.46040404404704,0,38,,189.67181182901095,0,29,118.75364507534766,ok
1.9,0.1475,4418,-1999.9999999999343,1999.9999999999343,,123.8864237867081,0,18,,123.88642378677046,0,18,,276.61819582985026,0,36,,207.18458339239686,0,29,123.8864237867081,ok
1.8,0.1525,4418,-1769.1208047819391,1769.1208047819391,,128.31262683795353,0,19,,128.31262683795208,0,19,,277.38589400475325,0,38,,202.557849409209,0,29,128.31262683795208,ok
1.9,0.15,4418,-1999.9999999999343,1999.9999999999343,,134.94144722808207,0,18,,134.94144722807368,0,18,,301.2780215347859,0,37,,222.6176871413931,0,29,134.94144722807368,ok
1.8,0.155,4418,-1789.0522703555546,1789.0522703555546,,138.59416838053477,0,19,,138.59416838048793,0,19,,294.4417623369657,0,40,,221.2825050025805,0,30,138.59416838048793,ok
1.9,0.1525,4418,-1999.9999999999343,1999.9999999999343,,146.96408545370184,0,18,,146.9640854537194,0,18,,315.6321659084104,0,38,,244.92073611423862,0,30,146.96408545370184,ok
1.9,0.155,4418,-1999.9999999999343,1999.9999999999343,,155.5029223963119,0,19,,155.5029223962521,0,19,,337.6796424525312,0,38,,263.41054303191385,0,30,155.5029223962521,ok
1.9,0.1575,4418,-1999.9999999999343,1999.9999999999343,,174.38057214549937,0,20,,174.38057214570892,0,20,,368.3779682006804,0,39,,277.27214569106815,0,31,174.38057214549937,ok
1.8,0.1625,4418,-1869.2395111779003,1869.2395111779003,,174.53678151526944,0,21,,174.53678151532165,0,21,,359.9235983382589,0,41,,270.0467128323695,0,32,174.53678151526944,ok
1.8,0.165,4418,-1903.385147770212,1903.385147770212,,183.9250384944915,0,22,,183.92503849450225,0,22,,383.09250846054607,0,41,,294.7158953873249,0,33,183.9250384944915,ok
1.9,0.16,4418,-1999.9999999999343,1999.9999999999343,,190.04483999397408,0,20,,190.04483999387708,0,20,,387.5997570833797,0,40,,305.35611470199035,0,32,190.04483999387708,ok
