benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
3,C12,1.3,0.26,0.3169259784739802,0.0210510400997556,0.31747517,0.019312885,0.0018228533904454157,COMPLETED,,0.3169185293749999,0.021047259999999998,3.7516470413652136e-06,1.51739301322753e-21,3.7516470413652153e-06,True,True,0,0.015,0.008,12,395.6954688219703,8.353336445997231e-06
22,C20,1.45,0.055,0.265108862663616,0.0684112391288648,0.27041993,0.064833544,0.006403697266947254,COMPLETED,,0.26511719562499997,0.06841166900000002,4.633937767411989e-07,1.8445956130017286e-21,4.6339377674120074e-07,True,True,0,0.015,0.008,12,293.0577561390237,8.344041863489409e-06
32,C20,1.5,0.1,0.3332980185827091,0.0545024471140046,0.32033077,0.059081893,0.013752122033654703,COMPLETED,,0.333289754375,0.054501814875,1.2070301684295145e-06,5.633464011861216e-21,1.2070301684295202e-06,True,True,0,0.015,0.015,12,323.947443289042,8.28835660534086e-06
42,C20,1.6,0.07,0.3559247173858385,0.0444157003676643,0.35498932,0.040637653,0.0038921215527972096,COMPLETED,,0.35591705437499993,0.044416949875,7.331922132849664e-07,2.381707395126405e-21,7.331922132849687e-07,True,True,0,0.015,0.015,12,317.1620324429823,7.76421301186468e-06
16,C12,1.4,0.22,0.3487239191776812,0.0275396213065948,0.34780097,0.028749067,0.0015213790027073493,COMPLETED,,0.348728704375,0.027535525333333324,2.4024577663768617e-06,6.322820506342163e-22,2.402457766376862e-06,True,True,0,0.015,0.008,12,392.91341364599066,6.298818169971656e-06
45,C20,1.6,0.105,0.3794689505346765,0.0417841166306905,0.37836826,0.040575847,0.0016344525547030647,COMPLETED,,0.37947177562500006,0.04177897199999999,9.896075447560704e-07,5.71548986739371e-21,9.89607544756076e-07,True,True,0,0.015,0.008,12,333.4317565439851,5.86927255101239e-06
21,C12,1.4,0.285,0.3684256005207542,0.001253626453456,0.36921108,0.0019612527,0.0010572194271362358,COMPLETED,,0.368420064375,0.001254775517203776,2.833677615988101e-06,1.1578365913570724e-22,2.833677615988101e-06,True,True,0,0.015,0.008,12,444.5277245279867,5.654136300775519e-06
31,C20,1.5,0.09,0.3258504254289729,0.0562632320216114,0.3184838,0.06032676,0.00841305116125758,COMPLETED,,0.32584708125,0.05625905166666667,6.671487986627134e-07,4.745190325249724e-21,6.671487986627182e-07,True,True,0,0.03,0.008,12,318.7351080639637,5.353400831881897e-06
23,C20,1.45,0.065,0.2771685946141995,0.0679358880480178,0.28664368,0.06059165,0.011988122270571087,COMPLETED,,0.27717102374999997,0.06794060833333333,3.831900386954835e-07,2.6837355091280615e-21,3.831900386954862e-07,True,True,0,0.03,0.008,12,299.1203884560382,5.308652766671913e-06
26,C20,1.45,0.1,0.3096778641115483,0.0619587369313397,0.29710528,0.07127952,0.015650778519133816,COMPLETED,,0.309673639375,0.06196181166666667,7.312081631229983e-07,5.739150065238921e-21,7.312081631230041e-07,True,True,0,0.015,0.008,12,317.7359105949872,5.225169493292416e-06
