t401_id,Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,is_target,status,requested_alpha,seed_alpha,alpha_step,anchor_source_path,anchor_source_Mach,anchor_source_alpha,neutral_alpha_estimate,neutral_fit_r2,timestamp,trial_alpha,trial_step,mach_directory,mode_status,mode_gamma_mismatch_at_match,mode_numerical_extent,mode_tail_tolerance,mode_far_left,mode_far_right,mode_mu_left,mode_mu_right,mode_n_coordinates,mode_available,freeze_id,reference_status,reference_subset,reference_source_path,neutral_alpha_lower,neutral_alpha_upper,neutral_alpha_uncertainty,neutral_last_positive_ci,neutral_estimate_method,final_reference_id,test_id,primary_chart,test_source,point_role,mach_split,cr_pred,ci_pred,cr_abs_error,ci_abs_error,spectral_error,omega_i_ref,omega_i_pred,omega_i_abs_error,atlas_chart,atlas_budget,spectral_relative_error,validation_id
301,1.6,0.255,0.4347990673571785,0.0002641241639164,6.73516617987011e-05,1.0054488491784142e-10,7.112901341191228e-11,1.2316091276088356e-10,True,linear_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,4,21,0,False,False,1e-12,0.0277561962558125,0.4348195791930018,0.0002775619625581,2026-07-23T11:46:10.458403+00:00,continuation,,,,,,,,high,True,converged,0.255,0.25,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:46:10.471708+00:00,0.255,0.005,M1p600000,converged,3.023462822459524e-06,40.0,1e-06,-115405.03171106456,127.8323025783438,0.000119717686939,0.1088475553990503,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.600000_a0.25500000,301,C22,geometry_extension,validation,validation,0.44059986,0.0019620336,0.0058007914036552,0.001697909402171,0.0060441771356158,6.7351661798682e-05,0.0005003185593523,0.0004329668975536,C22,76,0.0139010786227554,301
302,1.65,0.06,0.3701372371305052,0.0382282042683652,0.0022936922561019,5.75112873990591e-13,8.821910216227917e-13,1.0530981988692134e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003843229682729,0.2,0.3702899344087694,0.0384322968272956,2026-07-23T11:46:50.115596+00:00,continuation,,,,,,,,low,True,converged,0.06,0.065,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:50.128787+00:00,0.06,-0.005,M1p650000,converged,3.517550162250937e-11,40.0,1e-06,-3274.97054181718,1186.336262470213,0.0042193780290909,0.0116566473970454,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.06000000,302,C30,geometry_extension,validation,validation,0.37055212,0.038019568,0.0004148854624207,0.0002086365403225,0.0004643911636604,0.0022936922561019,0.0022811740636825,1.2518192419355614e-05,C30,76,0.0012480073013956,302
303,1.65,0.065,0.3738879864066226,0.0387347851787765,0.0025177610366204,3.426824796148864e-13,5.743678102576588e-13,6.688270802645367e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003891373364214,0.2,0.3740340349526058,0.038913733642148,2026-07-23T11:46:49.554718+00:00,continuation,,,,,,,,low,True,converged,0.065,0.07,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:49.567457+00:00,0.065,-0.005,M1p650000,converged,2.7625746613738797e-11,40.0,1e-06,-2985.5854448406367,1043.1678129411223,0.0046284898374377,0.0132582448621705,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.06500000,303,C30,existing_T128,validation,validation,0.37510425,0.038695537,0.0012162621170895,3.92486249167906e-05,0.0012168952263958,0.0025177610366204,0.0025152098760008,2.551160619591354e-06,C30,76,0.0032373783922939,303
304,1.65,0.07,0.3774860384044758,0.0390396543196021,0.0027327758023721,2.128410295232364e-13,3.867774156507409e-13,4.414726187499935e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003919845687514,0.2,0.3776251020186146,0.0391984568751461,2026-07-23T11:46:48.977578+00:00,continuation,,,,,,,,low,True,converged,0.07,0.075,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:48.989798+00:00,0.07,-0.0049999999999999,M1p650000,converged,2.866752137435684e-11,40.0,1e-06,-2752.500468326185,926.9559444613088,0.0050205941955372,0.014922528580919,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.07000000,304,C30,geometry_extension,validation,validation,0.3796029,0.0391675,0.0021168706836589,0.0001278467127503,0.002120727769728,0.0027327758023721,0.0027417250722646,8.949269892524411e-06,C30,76,0.005588224123666,304
305,1.65,0.075,0.3809380418563458,0.0391659824628922,0.0029374486847169,1.3761908279619206e-13,2.6713527223609645e-13,3.005000259938733e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003930858566352,0.2,0.3810700591252546,0.0393085856635236,2026-07-23T11:46:48.387842+00:00,continuation,,,,,,,,low,True,converged,0.075,0.08,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:48.399951+00:00,0.075,-0.005,M1p650000,converged,2.933664567449379e-11,40.0,1e-06,-2562.3316608681994,831.0835741322127,0.0053933870979585,0.0166464082414207,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.07500000,305,C30,geometry_extension,validation,validation,0.38376993,0.039292924,0.0028318875526813,0.0001269416432288,0.0028347312556602,0.0029374486847169,0.002946969307959,9.520623242164747e-06,C30,76,0.007402427569933,305
306,1.65,0.08,0.384250981694077,0.0391335349544385,0.003130682796355,9.247290433389569e-14,1.8878822116708002e-13,2.1021948170275778e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003926309082459,0.2,0.3843760638414782,0.0392630908245921,2026-07-23T11:46:47.822832+00:00,continuation,,,,,,,,low,True,converged,0.08,0.085,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:47.834621+00:00,0.08,-0.005,M1p650000,converged,3.165047423028813e-11,40.0,1e-06,-2405.628217223651,750.8802160607761,0.0057449140813304,0.0184272537497058,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.08000000,306,C30,geometry_extension,validation,validation,0.38755417,0.03893052,0.0033031870070948,0.0002030145391324,0.0033094197840315,0.003130682796355,0.0031144416332244,1.624116313059254e-05,C30,76,0.0085683301632208,306
307,1.65,0.085,0.3874319042628995,0.0389592637888102,0.0033115374220488,6.581714340203605e-14,1.3688876421280582e-13,1.5188953266539905e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003907832025472,0.2,0.3875502685145106,0.0390783202547267,2026-07-23T11:46:47.251871+00:00,continuation,,,,,,,,low,True,converged,0.085,0.09,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:47.264541+00:00,0.085,-0.0049999999999999,M1p650000,converged,4.665871034090575e-11,40.0,1e-06,-2275.560738794145,682.9673211144978,0.0060735054691293,0.0202628072173198,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.08500000,307,C30,geometry_extension,validation,validation,0.39139032,0.038027003,0.0039584193760165,0.0009322603813318,0.0040667177643677,0.0033115374220488,0.0032322952896356,7.924213241320864e-05,C30,76,0.0104439291785005,307
308,1.65,0.09,0.3904877446843208,0.0386577878381246,0.0034792009054312,4.785581653177218e-14,1.0143275108731586e-13,1.1215517005053325e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0003876842759762,0.2,0.3905996696081613,0.0387684275976227,2026-07-23T11:46:46.653057+00:00,continuation,,,,,,,,low,True,converged,0.09,0.095,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:46.665168+00:00,0.09,-0.005,M1p650000,converged,3.715127217945183e-11,40.0,1e-06,-2167.0977481608693,624.847950737896,0.0063777260903059,0.0221511142636037,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.09000000,308,C30,geometry_extension,validation,validation,0.3957215,0.036713324,0.0052337504671989,0.0019444633509152,0.0055832859210287,0.0034792009054312,0.0033041992038488,0.0001750017015823,C30,76,0.0142286801424773,308
309,1.65,0.095,0.3934252208541309,0.0382417808850598,0.0036329691840806,1.5498019534376795e-14,2.5738092213067887e-14,3.004393450026661e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,4,21,0,False,False,0.0003772228836411,0.2,0.3962507721001005,0.0377222883641173,2026-07-23T11:46:46.073410+00:00,continuation,,,,,,,,low,True,converged,0.095,0.1,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:46.085753+00:00,0.095,-0.005,M1p650000,converged,3.335361619181136e-11,40.0,1e-06,-2076.473279748293,574.641665034809,0.0066563356002571,0.0240904692709714,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.09500000,309,C30,geometry_extension,validation,validation,0.4003709,0.035301782,0.0069456750084484,0.00293999869426,0.0075422804008626,0.0036329691840806,0.0033536693081259,0.0002792998759547,C30,76,0.0190808819704248,309
310,1.65,0.105,0.3989705265231846,0.0371089849032892,0.0038964434148453,9.447304050169691e-15,1.087671619437458e-14,1.4406752201288222e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,4,21,0,False,False,0.0003772228836411,0.2,0.3962507721001005,0.0377222883641173,2026-07-23T11:46:52.017711+00:00,continuation,,,,,,,,high,True,converged,0.105,0.1,0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:52.030949+00:00,0.105,0.0049999999999999,M1p650000,converged,1.587529426219769e-11,40.0,1e-06,-1937.9964974576585,492.52918264693193,0.0071325527286399,0.0281164942901201,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.10500000,310,C30,existing_T128,validation,validation,0.40712005,0.03354196,0.0081495224766017,0.0035670261241925,0.0088959761671954,0.0038964434148453,0.0035219056718051,0.0003745377430402,C30,76,0.0222014986546631,310
