Mach,alpha,cr,ci,omega_i,residual_norm
1.0,0.05,-2.1381009935921505e-07,0.0025771484770576,0.0001288574238528,5.991391589085264e-11
1.0,0.055,-1.963662682691355e-07,0.0031382028597574,0.0001726011572866,8.451015664533825e-12
1.0,0.06,-5.2656520336501e-08,0.0037616026999093,0.0002256961619945,1.5563677929210545e-12
1.0,0.065,5.318523598496773e-08,0.0044499855836279,0.0002892490629358,2.481842215517575e-12
1.0,0.07,2.448412287104524e-08,0.0052061575793201,0.0003644310305524,7.350451494504428e-12
1.0,0.075,-9.544762484683384e-09,0.0060334923763868,0.000452511928229,5.999854428294575e-11
1.0,0.08,-9.711206350131143e-09,0.0069360107429715,0.0005548808594377,1.0902922807405409e-11
1.0,0.085,-3.258289311069424e-09,0.0079182452555799,0.0006730508467242,1.6572616475014307e-11
1.0,0.09,1.4646562006685288e-10,0.0089853661922371,0.0008086829573013,3.5123839076440813e-12
1.0,0.095,8.092975981496505e-10,0.0101433175874361,0.0009636151708064,5.721895031739986e-12
1.0,0.1,5.334085810194177e-10,0.0113989626576282,0.0011398962657628,3.924747755713501e-12
1.0,0.105,2.340442123779967e-10,0.012760261732706,0.0013398274819341,2.6984004860318984e-12
1.0,0.11,4.635943253909663e-11,0.0142365019789538,0.0015660152176849,1.0020495313857886e-11
1.0,0.115,-1.3681579423593154e-11,0.0158385965300184,0.0018214386009521,2.2907875654115328e-12
1.0,0.12,-4.034584077683783e-11,0.0175794785598835,0.002109537427186,4.361576371316479e-12
1.0,0.125,-2.4879102619033463e-11,0.0194746295545811,0.0024343286943226,1.1154318453945023e-11
1.0,0.13,-5.1686894434190026e-11,0.0215428006593863,0.0028005640857202,4.720442890700721e-12
1.0,0.135,4.486303830662882e-11,0.0238070220816896,0.0032139479810281,9.22129494124252e-12
1.0,0.14,-1.3824653512991852e-11,0.026296053046404,0.0036814474264965,4.552757349613427e-12
1.0,0.145,-5.6069094750228085e-11,0.0290465325718309,0.0042117472229154,7.743189015978955e-12
1.0,0.15,-8.405645788231906e-11,0.0321062949597958,0.0048159442439693,5.797247790669094e-12
1.0,0.155,-1.1093810174199796e-10,0.0355397248680497,0.0055086573545477,5.010930994860127e-12
1.0,0.16,-8.877935056053396e-11,0.0394369303198964,0.0063099088511834,7.988446252239749e-13
1.0,0.165,-1.5719701197920907e-10,0.0439306948164425,0.007248564644713,3.0300697586392844e-12
1.0,0.17,-2.0811513141572367e-10,0.0492311866975815,0.0083693017385888,1.7488282028394386e-11
1.0,0.175,-7.090404905498365e-11,0.0557083229229324,0.0097489565115131,1.1578643529410288e-10
1.0,0.18,-4.0809311066342696e-10,0.0641392460321991,0.0115450642857958,3.416905445485184e-12
1.0,0.185,-5.547851828880535e-10,0.0769056941994695,0.0142275534269018,6.078031508081249e-12
1.0,0.19,0.0191129885284331,0.1010233002787392,0.0191944270529604,2.675991931448228e-09
1.0,0.195,0.0382070565534107,0.0978340054927779,0.0190776310710917,1.2640802453738308e-10
1.0,0.2,0.050369431044004,0.0946633168869308,0.0189326633773861,2.970688867171385e-10
1.0,0.205,0.059979811826426,0.0915107939103272,0.018759712751617,7.871738145851432e-14
1.0,0.21,0.068129548844677,0.0883759719063646,0.0185589541003365,8.754632250591985e-16
1.0,0.215,0.0752967720188064,0.0852583958304331,0.0183305551035431,1.0694003932003861e-15
1.0,0.22,0.0817424379261732,0.082157624353902,0.0180746773578584,1.5193859583637366e-10
1.0,0.225,0.0876278286687524,0.0790732279991764,0.0177914762998146,5.2266074754247135e-11
1.0,0.23,0.0930610599734061,0.0760047899975906,0.0174811016994458,2.10852050946776e-11
1.0,0.235,0.0981188972948216,0.0729519045736324,0.0171436975748036,9.56490634109472e-12
1.0,0.24,0.1028582442907003,0.0699141772819918,0.016779402547678,4.748384317733981e-12
1.0,0.245,0.1073227166314896,0.0668912242537501,0.0163883499421687,2.532547800755604e-12
1.0,0.25,0.111546652099929,0.0638826719697617,0.0159706679924404,1.4336345447168554e-12
1.0,0.255,0.1155576834965087,0.0608881568885657,0.0155264800065842,8.574171269587102e-13
1.0,0.26,0.1193784584953749,0.0579073250083236,0.0150559045021641,5.410778251628773e-13
1.0,0.265,0.1230278287323319,0.0549398320238557,0.0145590554863217,3.632567263539199e-13
1.0,0.27,0.1265216952031328,0.051985341826045,0.0140360422930321,3.293907644392459e-13
1.0,0.275,0.1298736305102899,0.0490435280560056,0.0134869702154015,3.857238896699837e-13
1.0,0.28,0.1330953299345456,0.0461140721276878,0.0129119401957525,5.471943408622458e-13
1.0,0.285,0.1361969665986558,0.0431966635770222,0.0123110491194513,8.689975824063213e-13
1.0,0.29,0.1391874590368678,0.040290999984792,0.0116843899955896,1.4657637443694257e-12
1.0,0.295,0.1420746815122738,0.0373967867420934,0.0110320520889175,2.525448998704468e-12
1.0,0.3,0.1448656309735745,0.0345137362903051,0.0103541208870915,4.506013263002472e-12
1.0,0.305,0.1475665612791113,0.0316415687502149,0.0096506784688155,8.325677808192933e-12
1.0,0.31,0.1501830911082068,0.0287800107969297,0.0089218033470482,1.6052319285014127e-11
1.0,0.315,0.1527202937243574,0.0259287963122211,0.0081675708383496,3.246287779574924e-11
1.0,0.32,0.1551827691540694,0.0230876654706422,0.0073880529506055,6.984322839717852e-11
1.0,0.325,0.1575747050177987,0.0202563643575863,0.0065833184162155,1.6201179541229163e-10
1.0,0.33,0.1598999343016857,0.0174346473149311,0.0057534336139272,4.7968250462257877e-14
1.0,0.335,0.1621619650587023,0.0146222731676132,0.0048984615111504,2.7202670973692526e-14
1.0,0.34,0.1643640295114108,0.0118190064873413,0.004018462205696,2.5345926992890992e-14
1.0,0.345,0.1665091101224234,0.0090246176943539,0.0031134931045521,1.8877601000123085e-13
1.0,0.35,0.1685999676593348,0.0062388836682454,0.0021836092838859,2.490449375262248e-12
1.0,0.355,0.1706391613231045,0.0034615899609482,0.0012288644361366,6.526712171309388e-10
1.0,0.36,0.1726277897845503,0.0006922200572213,0.0002491992205996,2.0409885189527007e-11
1.05,0.05,3.9623304327421566e-10,0.0216720758392142,0.0010836037919607,1.1523976692166596e-12
1.05,0.055,4.874110988424948e-10,0.0242070753369968,0.0013313891435348,7.92007514601098e-13
1.05,0.06,4.818920439745717e-10,0.026850382922755,0.0016110229753653,3.4976151177404426e-12
1.05,0.065,5.69640621572975e-10,0.0296177538519902,0.0019251540003793,1.978383743921245e-12
1.05,0.07,4.743779014405197e-10,0.0325278215395402,0.0022769475077678,4.148321732601729e-13
1.05,0.075,3.8536165476661847e-10,0.0356029301043054,0.0026702197578229,8.955367278271904e-13
1.05,0.08,3.0085735893864327e-10,0.03887030128094,0.0031096241024752,1.173419578801942e-12
1.05,0.085,2.2233667796181407e-10,0.0423637176862112,0.0036009160033279,6.10986532475651e-13
1.05,0.09,1.56395609562825e-10,0.0461260301076705,0.0041513427096903,1.2773650702232152e-12
1.05,0.095,4.0200318217775485e-10,0.0502130418038415,0.0047702389713649,1.0830664129354712e-10
1.05,0.1,3.017815208068885e-10,0.0546998175409827,0.0054699817540982,2.5425350903394127e-12
1.05,0.105,1.861849458323276e-10,0.0596915838649033,0.0062676163058148,2.7378018364255588e-12
1.05,0.11,1.3408725151546628e-10,0.0653440616983339,0.0071878467868167,2.2886385828129816e-12
1.05,0.115,1.2100138419185254e-10,0.0719056899252925,0.0082691543414086,1.1678395965249008e-11
1.05,0.12,6.803041450145497e-10,0.0798199008171065,0.0095783880980527,1.88979532809243e-10
1.05,0.125,1.9696640297120387e-10,0.0900435605323562,0.0112554450665445,1.5381661708409282e-11
1.05,0.13,5.561380768025613e-10,0.1057320985786008,0.0137451728152181,5.4475954118759115e-11
1.05,0.135,0.0246424871987254,0.1304782261154136,0.0176145605255808,1.4678518270929626e-14
1.05,0.14,0.0443825798422026,0.1272560731093161,0.0178158502353042,3.891523945165033e-12
1.05,0.145,0.0574927471084788,0.1240499420403578,0.0179872415958518,1.2864651137025452e-10
1.05,0.15,0.0679330273204825,0.1208595246198709,0.0181289286929806,7.361062707117837e-14
1.05,0.155,0.0768053285639184,0.1176845235712699,0.0182411011535468,1.158545953552156e-15
1.05,0.16,0.0846089596558761,0.1145246495812782,0.0183239439330045,5.7215822177396e-10
1.05,0.165,0.0916214499019698,0.1113796189415974,0.0183776371253635,1.6652898264474467e-10
1.05,0.17,0.0980164090081825,0.1082491587696718,0.0184023569908442,6.007661226145289e-11
1.05,0.175,0.1039112225827462,0.1051330012128099,0.0183982752122417,2.5191201269123795e-11
1.05,0.18,0.1093898015648453,0.1020308850845139,0.0183655593152125,1.1807160777364702e-11
1.05,0.185,0.1145146832193396,0.0989425552723295,0.0183043727253809,6.029041615441304e-12
1.05,0.19,0.1193340156875175,0.0958677623501994,0.0182148748465378,3.2957241472405388e-12
1.05,0.195,0.123885847670916,0.0928062622620242,0.0180972211410947,1.9074423847221853e-12
1.05,0.2,0.1282008959116724,0.0897578157381898,0.0179515631476379,1.1544543713576018e-12
1.05,0.205,0.1323044050267023,0.08672218899306,0.0177780487435773,7.236701725638031e-13
1.05,0.21,0.1362174367641526,0.0836991521051234,0.0175768219420759,4.778707965211702e-13
1.05,0.215,0.1399577929819498,0.0806884797267323,0.0173480231412474,3.19074125918836e-13
1.05,0.22,0.1435406899321354,0.0776899506702274,0.01709178914745,2.217312417429293e-13
1.05,0.225,0.1469792621771554,0.0747033476696535,0.016808253225672,1.5916337523927906e-13
1.05,0.23,0.1502849463910669,0.0717284575596431,0.0164975452387179,1.1701170714736906e-13
1.05,0.235,0.1534677774511452,0.0687650704883522,0.0161597915647627,9.106204919213713e-14
1.05,0.24,0.1565366214422875,0.0658129804207034,0.0157951153009688,7.488228055869435e-14
1.05,0.245,0.1594993604264298,0.0628719847849637,0.0154036362723161,6.688654377621423e-14
1.05,0.25,0.1623630410048334,0.0599418843900432,0.0149854710975108,7.637624476146309e-14
1.05,0.255,0.1651339951439308,0.0570224832728613,0.0145407332345796,1.0307435252516498e-13
1.05,0.26,0.1678179387392793,0.0541135887170267,0.0140695330664269,1.4836016587144154e-13
1.05,0.265,0.1704200556118148,0.0512150114879134,0.013571978044297,2.357013176263528e-13
1.05,0.27,0.1729450620904541,0.0483265652104133,0.0130481726068116,3.657026431389554e-13
1.05,0.275,0.1753972671823849,0.0454480664815938,0.0124982182824383,6.100920573891355e-13
1.05,0.28,0.1777806205260977,0.0425793352053555,0.0119222138574995,9.99672310307603e-13
1.05,0.285,0.1800987533442254,0.0397201940322222,0.0113202552991833,1.681361694318014e-12
1.05,0.29,0.1823550141389138,0.0368704687375015,0.0106924359338754,2.892170654651401e-12
1.05,0.295,0.184552498864206,0.0340299881358211,0.0100388465000672,5.131143515814001e-12
1.05,0.3,0.1866940773048012,0.0311985836818802,0.009359575104564,9.395862163624276e-12
1.05,0.305,0.1887824160524999,0.0283760898874536,0.0086547074156733,1.7914024166293546e-11
1.05,0.31,0.1908199984534699,0.0255623444256405,0.0079243267719485,3.590858163437617e-11
1.05,0.315,0.1928091417506186,0.0227571871880615,0.0071685139642393,7.651800775738985e-11
1.05,0.32,0.1947520134031705,0.0199604617242692,0.0063873477517661,1.7605081679819047e-10
1.05,0.325,0.1966506428787071,0.0171720129635716,0.0055809042131607,1.8734977525928848e-14
1.05,0.33,0.198506936805944,0.0143916908889867,0.0047492579933656,1.7500325224229487e-14
1.05,0.335,0.2003226862203569,0.0116193463291404,0.003892481020262,1.3215175614805154e-14
1.05,0.34,0.2020995788393004,0.0088548349733682,0.0030106438909452,5.1607780869614175e-14
1.05,0.345,0.2038392058013355,0.0060980138143092,0.0021038147659367,2.895768056222787e-12
1.05,0.35,0.2055430635370356,0.0033487427887457,0.001172059976061,8.04947810233612e-10
1.05,0.355,0.207214037919543,0.0006067672856304,0.0002154023863988,1.580539900469916e-11
1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.0166492720998998,1.5096746018751327e-09
1.1,0.095,0.0185431702825212,0.1439719750936911,0.0136773376339006,5.895369412795194e-12
1.1,0.1,0.0456244875305594,0.1408594531338783,0.0140859453133878,1.5584876838092769e-12
1.1,0.105,0.0614720572586166,0.1377614529920954,0.01446495256417,8.055034497148186e-15
1.1,0.11,0.0737351788015254,0.1346775747592678,0.0148145332235194,1.024407610949529e-09
1.1,0.115,0.0840064838857459,0.1316074319054831,0.0151348546691305,2.8566149187488116e-10
1.1,0.12,0.0929554600078068,0.1285506661833083,0.015426079941997,1.0108875232655303e-10
1.1,0.125,0.1009404428915874,0.1255069324594236,0.0156883665574279,4.2028250845898805e-11
1.1,0.13,0.1081805050618824,0.122475903263755,0.0159218674242881,1.9621081779773208e-11
1.1,0.135,0.114821536307718,0.1194572670812644,0.0161267310559707,9.995122488817944e-12
1.1,0.14,0.1209667013989745,0.1164507274034491,0.0163031018364828,5.4491928999439074e-12
1.1,0.145,0.1266922780688296,0.1134560016881082,0.0164511202447757,3.1371270645373506e-12
1.1,0.15,0.1320566414058153,0.1104728205019271,0.016570923075289,1.8871718756862826e-12
1.1,0.155,0.1371057085051619,0.1075009266966481,0.0166626436379804,1.179435810465444e-12
1.1,0.16,0.1418764142379207,0.1045400746294168,0.0167264119407066,7.614472527316583e-13
1.1,0.165,0.1463990255732808,0.1015900294887648,0.0167623548656462,5.043180415326808e-13
1.1,0.17,0.1506987370978195,0.0986505663220147,0.0167705962747425,3.4330497438141133e-13
1.1,0.175,0.1547968043623869,0.0957214701503959,0.0167512572763192,2.398537172560877e-13
1.1,0.18,0.1587113678144348,0.0928025345122517,0.0167044562122053,5.6481799869855634e-14
1.1,0.185,0.1624580667905106,0.0898935613408621,0.0166303088480594,7.2247848630775895e-16
1.1,0.1875,0.1642727872469405,0.0884427509439601,0.0165830158019925,1.7258551617797053e-12
1.1,0.19,0.1660505044719185,0.0869943604140983,0.0165289284786786,9.086308689299251e-16
1.1,0.195,0.1695006064537406,0.0841047488496381,0.0164004260256794,3.575074705432927e-14
1.1,0.2,0.172818900945195,0.0812245506598016,0.0162449101319603,7.675943142950832e-14
1.1,0.205,0.176014741248715,0.0783535962323096,0.0160624872276234,7.441219385342644e-14
1.1,0.21,0.1790964847299399,0.0754917222519709,0.0158532616729139,8.87414682901162e-14
1.1,0.215,0.1820716357575376,0.0726387709774911,0.0156173357601605,4.696592430855946e-14
1.1,0.22,0.1849469655531981,0.0697945900466464,0.0153548098102622,3.8703179844554905e-14
1.1,0.225,0.1877286098412757,0.0669590322340125,0.0150657822526528,3.503488692441572e-14
1.1,0.23,0.1904221496469428,0.0641319550045144,0.0147503496510383,4.7785209423109007e-14
1.1,0.235,0.1930326802611433,0.0613132204151196,0.0144086067975531,4.2466870302529814e-14
1.1,0.24,0.1955648684042731,0.0585026948235119,0.0140406467576428,5.817029181715209e-14
1.1,0.245,0.1980230022868483,0.0557002486180792,0.0136465609114294,8.8160615163461e-14
1.1,0.25,0.200411032708281,0.0529057559191424,0.0132264389797856,1.314760385077784e-13
1.1,0.255,0.2027326097584077,0.0501190946120559,0.0127803691260742,2.083775797068479e-13
1.1,0.26,0.2049911138976746,0.0473401459935351,0.0123084379583191,3.339328102649632e-13
1.1,0.265,0.2071896831590645,0.0445687947481188,0.0118107306082514,5.437049076368516e-13
1.1,0.27,0.2093312368277515,0.0418049284949206,0.0112873306936285,8.92510623892733e-13
1.1,0.275,0.2114184963433446,0.0390484380561166,0.010738320465432,1.475045642553908e-12
1.1,0.28,0.2134540034479028,0.0362992172070976,0.0101637808179873,2.5219402730867997e-12
1.1,0.285,0.2154401364406462,0.0335571621878426,0.0095637912235351,4.41898943562347e-12
1.1,0.29,0.2173791244470361,0.0308221720963001,0.008938429907927,8.000821987817052e-12
1.1,0.295,0.2192730602272913,0.0280941487707899,0.008287773887383,1.5070540767644702e-11
1.1,0.3,0.2211239117409991,0.0253729963228432,0.0076118988968529,2.977021322489805e-11
1.1,0.305,0.222933531423503,0.0226586211744938,0.0069108794582206,6.237342039800839e-11
1.1,0.31,0.2247036667495888,0.0199509324746749,0.0061847890671492,1.4056330422070246e-10
1.1,0.315,0.2264359667445679,0.0172498403916324,0.0054336997233642,1.7057538370547736e-14
1.1,0.32,0.2281319917527765,0.0145552597941017,0.0046576831341125,3.7881109794647005e-14
1.1,0.325,0.2297932172060339,0.0118671046042683,0.0038568089963872,1.858291786191104e-14
1.1,0.33,0.2314210424037635,0.0091852939187754,0.0030311469931959,9.561274521840165e-14
1.1,0.335,0.2330167931103344,0.0065097464852899,0.0021807650725721,1.0661078234230316e-12
1.1,0.34,0.2345817288351911,0.0038403842641137,0.0013057306497986,1.8536081845037075e-10
1.1,0.345,0.2361168831795016,0.0011771278177396,0.0004061090971201,8.124561207589337e-12
1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.011990833469017,9.536208903643116e-09
1.15,0.065,-2.7143269989556902e-09,0.1599190568707925,0.0103947386966015,1.4619077359992105e-11
1.15,0.07,0.0452428893063274,0.1450959349017018,0.0101567154431191,1.2699612239899806e-11
1.15,0.075,0.0646325378753453,0.1421829713450822,0.0106637228508811,3.7089625732086965e-14
1.15,0.08,0.0790689509372673,0.1392808657517153,0.0111424692601372,1.6169183814995147e-09
1.15,0.085,0.090953586929427,0.1363892725254269,0.0115930881646612,4.3942138506862144e-10
1.15,0.09,0.1011993184208567,0.1335078749432744,0.0120157087448947,1.5477097319711175e-10
1.15,0.095,0.1102724452969259,0.1306363663726639,0.012410454805403,6.467316276370996e-11
1.15,0.1,0.118450325820652,0.1277744569464649,0.0127774456946464,3.0481981270223544e-11
1.15,0.105,0.1259143515352406,0.124921872190643,0.0131167965800175,1.5701634506373696e-11
1.15,0.11,0.132791163489221,0.1220783521564731,0.013428618737212,8.656951219429461e-12
1.15,0.115,0.1391735170370881,0.1192436508743323,0.0137130198505482,5.0340882213792655e-12
1.15,0.12,0.1451318869386702,0.1164175356042111,0.0139701042725053,3.056081004771008e-12
1.15,0.125,0.1507213948393332,0.1135997862286294,0.0141999732785786,1.921701704220586e-12
1.15,0.13,0.1559861792264185,0.1107901946633786,0.0144027253062392,1.2446339192605994e-12
1.15,0.135,0.1609622771307044,0.1079885641008672,0.014578456153617,8.25316471012303e-13
1.15,0.14,0.1656795952978949,0.1051947086301248,0.0147272592082174,5.577729610398204e-13
1.15,0.145,0.1701633002107831,0.1024084525397898,0.0148492256182695,3.8791830083165473e-13
1.15,0.15,0.1744348245057917,0.0996296300519795,0.0149444445077969,2.671790881218127e-13
1.15,0.155,0.1785126112675655,0.0968580842660088,0.0150130030612313,1.9567506204015466e-13
1.15,0.16,0.182412678439002,0.0940936670254569,0.0150549867240731,1.4149581340477096e-13
1.15,0.165,0.186149047302406,0.0913362385162638,0.0150704793551835,1.0468122633335321e-13
1.15,0.17,0.1897340820397551,0.0885856665308793,0.0150595633102494,6.28640298601489e-14
1.15,0.175,0.193178755219419,0.0858418261519786,0.0150223195765962,5.9617887465607e-14
1.15,0.18,0.1964928606786852,0.0831045993477835,0.014958827882601,3.2540190805491125e-14
1.15,0.185,0.1996851855588252,0.0803738745892947,0.0148691667990195,3.8299693034661643e-16
1.15,0.1875,0.2012381863031565,0.0790109172963611,0.0148145469930677,6.268691572357415e-16
1.15,0.19,0.2027636515624523,0.0776495464050718,0.0147534138169636,1.4567600853928306e-14
1.15,0.195,0.2057354310669795,0.074931515120691,0.0146116454485347,1.1469311566209195e-14
1.15,0.2,0.2086070430962784,0.0722196863696432,0.0144439372739286,3.1679318974458546e-14
1.15,0.205,0.211384435185444,0.0695139708760752,0.0142503640295954,2.7605032455099782e-14
1.15,0.21,0.2140730510339401,0.0668142840877893,0.0140309996584357,2.546002343360249e-14
1.15,0.215,0.2166778886745832,0.064120546034354,0.0137859173973861,2.2601122602477023e-14
1.15,0.22,0.2192035498773293,0.061432680827112,0.0135151897819646,2.6584816287676724e-14
1.15,0.225,0.2216542831076967,0.0587506164605508,0.0132188887036239,3.6246783687015184e-14
1.15,0.23,0.2240340200598721,0.0560742848095208,0.0128970855061898,5.22236120037712e-14
1.15,0.235,0.2263464076646834,0.0534036211135766,0.0125498509616905,8.023484067453836e-14
1.15,0.24,0.2285948360142919,0.0507385639093399,0.0121772553382415,1.2568991742156e-13
1.15,0.245,0.2307824625023916,0.048079054596058,0.0117793683760342,1.967302864732395e-13
1.15,0.25,0.2329122345254112,0.0454250379131812,0.0113562594782953,3.172613473953234e-13
1.15,0.255,0.2349869062470309,0.0427764608549247,0.0109079975180058,5.064035729569155e-13
1.15,0.26,0.2370090573496407,0.0401332732490241,0.0104346510447462,8.300701274232296e-13
1.15,0.265,0.2389811070218755,0.0374954270052493,0.009936288156391,1.390568555640915e-12
1.15,0.27,0.2409053276374326,0.0348628766548256,0.0094129766968029,2.369392788459818e-12
1.15,0.275,0.2427838565218639,0.032235578489867,0.0088647840847134,4.1589985572232056e-12
1.15,0.28,0.2446187068139639,0.0296134911601608,0.008291777524845,7.536323782268564e-12
1.15,0.285,0.246411776793946,0.0269965748646317,0.00769402383642,1.421163375540032e-11
1.15,0.29,0.2481648590786716,0.0243847919214007,0.0070715896572062,2.8143884387498424e-11
1.15,0.295,0.2498796478668118,0.0217781061290199,0.0064245413080608,5.899261297393697e-11
1.15,0.3,0.2515577466091791,0.0191764832750002,0.0057529449825,1.3315249945787588e-10
1.15,0.305,0.2532006740129504,0.0165798894695289,0.0050568662882063,2.8268182463976523e-14
1.15,0.31,0.2548098695477486,0.0139882940338707,0.0043363711504999,1.4143506467943264e-14
