status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40,powell_pass,pinn_spectral_error,corrected_spectral_error,corrected_mismatch,nfev_reported,optimizer_success,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,initial_optimization_seconds,retry_optimization_seconds,retry_used,adaptive_optimization_seconds,adaptive_total_seconds,modal_max,oracle_modal_max
COMPLETED,,pinn,all,1.0,0.05,False,-2.1381009935921505e-07,0.0025771484770576,2.7696601761406785e-08,0.0025765435361143,2.415067011206219e-07,6.049409433002417e-07,6.513670482662995e-07,-5.000032664105852,,2.4938414098733768e-20,,0.8959775911644101,0.1484448928385973,1.0444224840030074,0.9999972369143456,0.0006005092933883,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.848623747788567e-06,8.448256891198807e-06,3.848623747788567e-06,8.448256891198807e-06,3.715913407074884e-05,2.790134390067559e-05,0.0001246236567041,0.0001225700520188,7.40629779727442e-12,3.105615764553704e-11,retry_wide_240,0.0135721699071776,6.513670482562301e-07,4.1615898360799124e-08,240,False,2.7643254912812715e-06,0.0004342764199288,4.0246875652217633e-05,12.407335940748451,36.8707727920264,True,49.278108732774854,50.32253121677786,0.0001225700520188,0.0004342764199288
COMPLETED,,pinn,all,1.0,0.055,False,-1.963662682691355e-07,0.0031382028597574,1.3703308525837107e-09,0.0031380924461477,1.977365991217192e-07,1.104136097000892e-07,2.264750048884581e-07,-5.000001608724503,,2.326355442131733e-21,,0.904419019818306,0.151863838545978,1.056282858364284,0.9999992667536018,0.0007283901535868,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.3310767476042825e-06,2.9172278368574637e-06,1.3310767476042825e-06,2.9172278368574637e-06,1.3061237211095207e-05,9.840802995070204e-06,3.558132849078804e-05,3.484547352640677e-05,8.860689959533374e-13,3.714584195790849e-12,retry_wide_240,0.0114421928699505,2.264750048535717e-07,7.318622970902068e-09,240,False,2.5148686860337995e-06,0.0002959106878039,3.022979436800595e-05,12.77509131282568,37.80333741847426,True,50.57842873129994,51.63471158966422,3.484547352640677e-05,0.0002959106878039
COMPLETED,,pinn,all,1.0,0.06,False,-5.2656520336501e-08,0.0037616026999093,2.590241114904464e-09,0.0037616530715828,5.5246761451405475e-08,5.037167349983968e-08,7.476302657091239e-08,-5.000003035717848,,1.1117479140614665e-19,,0.9364362191408871,0.1592354401946067,1.095671659335494,0.9999998339170209,0.0008694725834288,-1199.9999999999932,1199.9999999999932,4517,1601,3201,4.342471887706573e-07,9.158539848780864e-07,4.342471887706573e-07,9.158539848780864e-07,7.333160019418695e-06,5.415558859333174e-06,9.78801782444333e-06,9.546801666062838e-06,9.459100169806335e-14,3.635980405647388e-13,retry_wide_240,0.0092713852576631,7.47630266173711e-08,1.597783740896456e-08,240,False,6.670389849636522e-07,6.079729669174557e-05,6.738619873139018e-06,13.36752171255648,39.70023235213012,True,53.0677540646866,54.1634257240221,9.546801666062838e-06,6.079729669174557e-05
COMPLETED,,pinn,all,1.0,0.065,False,5.318523598496773e-08,0.0044499855836279,3.4547877151539673e-09,0.0044499995223172,4.973044826981376e-08,1.3938689299997088e-08,5.1646921926853266e-08,-5.000004026013504,,3.799543498073711e-19,,1.0357978651300073,0.1828919248655438,1.218689789995551,0.9999995331934284,0.0010233392678209,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.009737985732557e-07,6.476746617215188e-07,3.009737985732557e-07,6.476746617215188e-07,6.410356035990411e-06,4.743971924281241e-06,5.721629505806176e-06,5.542478002093865e-06,4.596323321948149e-14,1.8141044222375058e-13,retry_wide_240,0.0070450684678164,5.1646921938089456e-08,8.687185068424554e-09,240,False,1.0340575359872565e-07,4.488860030126586e-06,1.176139457458695e-07,14.298894837498665,47.90583173092455,True,62.20472656842321,63.42341635841876,5.542478002093865e-06,4.488860030126586e-06
COMPLETED,,pinn,all,1.0,0.07,False,2.448412287104524e-08,0.0052061575793201,3.536676497847251e-09,0.0052061224872791,2.094744637319799e-08,3.509204099961388e-08,4.086865364893474e-08,-5.000004098677238,,2.570413423532463e-19,,1.0006141746416688,0.1725314892828464,1.1731456639245152,0.9999991454595606,0.0011897549472315,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.470365257627851e-07,5.97719522709295e-07,2.470365257627851e-07,5.97719522709295e-07,5.601724202348806e-06,4.177307184281393e-06,3.881099749466647e-06,3.74952454416674e-06,3.064215547965432e-14,1.617594946878853e-13,retry_wide_240,0.0047547825854823,4.086865362659184e-08,3.390591477885607e-09,240,False,1.372718269643871e-07,3.937562660009216e-06,1.4596386572701453e-07,13.926616674289107,42.20611608866602,True,56.13273276295513,57.305878426879644,4.177307184281393e-06,3.937562660009216e-06
COMPLETED,,pinn,all,1.0,0.075,False,-9.544762484683384e-09,0.0060334923763868,1.886394458402197e-09,0.0060334750877401,1.143115694308558e-08,1.7288646700017174e-08,2.072603806267537e-08,-5.000002173318396,,6.967779369619671e-20,,0.9957371903583409,0.1690027974545955,1.1647399878129363,0.9999989898504136,0.0013694908073314,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.3706519091032684e-07,3.7430287884468473e-07,1.3706519091032684e-07,3.7430287884468473e-07,4.72050146688595e-06,3.5315741710444576e-06,1.7012490527682855e-06,1.6618721355264538e-06,9.325873406851317e-15,6.683542608243442e-14,retry_wide_240,0.0024005184168163,2.0726038056163785e-08,6.604321421915751e-10,240,False,2.054167249724511e-07,6.385312647612493e-06,7.824022445767656e-07,13.847697239369154,41.35618726722896,True,55.203884506598115,56.36862449441105,3.5315741710444576e-06,6.385312647612493e-06
COMPLETED,,pinn,all,1.0,0.08,True,-9.711206350131143e-09,0.0069360107429715,5.62771113746928e-08,0.0069360041658839,6.598831772482394e-08,6.577087599372866e-09,6.631527846161952e-08,-5.000064479590511,,3.452124034187436e-21,,1.0040795896202326,0.1676232516765594,1.171702841296792,0.9999987506709448,0.0015627296382182,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.791840186288093e-07,8.283349257889336e-07,3.791840186288093e-07,8.283349257889336e-07,4.25881134286704e-06,3.2803949322966595e-06,4.707140318010647e-06,4.529838602803264e-06,7.227551890309769e-14,3.099742684753437e-13,initial_80,6.837467764391657e-06,6.631527845413544e-08,2.8364777741509107e-08,80,False,2.488389797752023e-07,5.261457135998624e-06,7.139184476516314e-07,13.729856708087029,0.0,False,13.729856708087029,14.90155954938382,4.529838602803264e-06,5.261457135998624e-06
COMPLETED,,pinn,all,1.0,0.085,False,-3.258289311069424e-09,0.0079182452555799,8.878719805441248e-10,0.0079182488456147,4.146161291613549e-09,3.590034800687869e-09,5.484432817185795e-09,-5.000001009274588,,3.468634100917363e-23,,1.0005117235705256,0.1676708748564124,1.168182598426938,0.999998445428375,0.0017703057342146,-1199.9999999999932,1199.9999999999932,4517,1601,3201,7.333164378213847e-08,2.651206871394569e-07,7.333164378213847e-08,2.651206871394569e-07,3.654597900691543e-06,2.7750007834858764e-06,3.369469239207872e-07,4.263623369264844e-07,2.4424906541753444e-15,3.4638958368304884e-14,retry_wide_240,0.0024438993743238,5.484432860335795e-09,1.2408995428196232e-10,240,False,2.892798450073311e-07,3.071594155021661e-06,3.5953221300410374e-07,13.688842518255116,40.83455697819591,True,54.52339949645103,55.691582094877965,2.7750007834858764e-06,3.071594155021661e-06
COMPLETED,,pinn,all,1.0,0.09,False,1.4646562006685288e-10,0.0089853661922371,8.62487031481099e-10,0.0089853685418515,7.160214114142462e-10,2.349614400612432e-09,2.4562928353860757e-09,-5.000000948553844,,1.634192016023208e-22,,1.0060511846095324,0.1668402347713709,1.1728914193809032,0.9999980231155102,0.0019918208052187,-1169.5370733546158,1169.5370733546158,4517,1601,3201,8.084882070758576e-08,3.4491398944627265e-07,8.084882070758576e-08,3.4491398944627265e-07,3.425607625178708e-06,2.6333590678397594e-06,1.392015712624819e-07,3.696704509710324e-07,2.4424906541753444e-15,5.928590951498336e-14,retry_wide_240,0.0048748744772188,2.456292865254975e-09,1.95961151437134e-11,240,False,3.621990741008113e-07,2.6402263932337054e-06,3.634091528965256e-07,13.815677165985107,41.06733904033899,True,54.8830162063241,56.055907625705004,2.6333590678397594e-06,2.6402263932337054e-06
COMPLETED,,pinn,all,1.0,0.095,False,8.092975981496505e-10,0.0101433175874361,6.89336259248516e-10,0.0101433184101307,1.1996133890113444e-10,8.226945999445511e-10,8.313946882250801e-10,-5.000000669565184,,1.1171059278834748e-22,,1.0093580475077033,0.1676835576072335,1.1770416051149368,0.999997517098118,0.0022278619315136,-1042.5216624316326,1042.5216624316326,4517,1601,3201,9.439406985595329e-08,4.4058402880912123e-07,9.439406985595329e-08,4.4058402880912123e-07,3.570852700596884e-06,2.780030339116211e-06,7.649027754115825e-08,4.429387073244013e-07,4.884981308350689e-15,9.681144774731365e-14,retry_wide_240,0.0072523723019355,8.31394741438767e-10,1.8555137748423595e-11,240,False,4.463471487206252e-07,2.7828970967365707e-06,4.478082917054172e-07,13.813538561575117,41.13981836196035,True,54.953356923535466,56.1303985286504,2.780030339116211e-06,2.7828970967365707e-06
