status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn,all,1.0,0.05,False,-2.1381009935921505e-07,0.0025771484770576,4.4485875922239334e-07,0.0025741747598585,6.586688585816084e-07,2.9737171990998866e-06,3.0457903154169484e-06,-5.000525185526522,,2.5046320580644377e-20,,0.9208714496344328,0.1604281421750784,1.0812995918095112,0.9999871178204647,0.0005987181343609707,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.7989482212004085e-05,3.943741503414818e-05,1.7989482212004085e-05,3.943741503414818e-05,0.00016286046007104793,0.00012290047856840063,0.000582727534450361,0.0005731883151503034,1.61810786991623e-10,6.762994608777717e-10
COMPLETED,,pinn,all,1.0,0.055,False,-1.963662682691355e-07,0.0031382028597574,2.68553510623166e-07,0.0031364153859928,4.649197788923015e-07,1.7874737646000893e-06,1.846946902306312e-06,-5.0003158585630185,,2.2903186459480885e-21,,0.9275996945798397,0.15530419908463955,1.0829038936644793,0.999992151131082,0.0007272490572438289,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.0845588837611805e-05,2.371736813846893e-05,1.0845588837611805e-05,2.371736813846893e-05,8.236671010471745e-05,6.35176968199393e-05,0.0002900821522447963,0.00028410541345319485,5.881373166261028e-11,2.4505253382045566e-10
COMPLETED,,pinn,all,1.0,0.06,False,-5.2656520336501e-08,0.0037616026999093,1.8472143519371905e-07,0.0037606215365903,2.3737795553022004e-07,9.81163318999976e-07,1.009470035376363e-06,-5.000216324519437,,1.1097661119494155e-19,,0.9720156732946634,0.1646047905087471,1.1366204638034105,0.9999954899432724,0.000868700175930647,-1199.9999999999932,1199.9999999999932,4517,1601,3201,5.8922553061574784e-06,1.2861858253333314e-05,5.8922553061574784e-06,1.2861858253333314e-05,3.880411537544917e-05,3.0617339812559746e-05,0.0001322424267493299,0.00012893541090760007,1.7359669257643873e-11,7.224332243538356e-11
COMPLETED,,pinn,all,1.0,0.065,False,5.318523598496773e-08,0.0044499855836279,9.804609984686249e-08,0.004449461340081,4.4860863861894756e-08,5.242435469005394e-07,5.261594754190915e-07,-5.0001142933464795,,3.8003548339510416e-19,,1.0759057262912393,0.1891437415033579,1.2650494677945971,0.9999972853316579,0.00102294090352834,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.053920986100367e-06,6.672095737822087e-06,3.053920986100367e-06,6.672095737822087e-06,1.8411912423810945e-05,1.4804300295502575e-05,5.825907240202768e-05,5.654201824310516e-05,4.662825681123195e-12,1.95119476131822e-11
COMPLETED,,pinn,all,1.0,0.07,False,2.448412287104524e-08,0.0052061575793201,3.939277485169781e-08,0.0052059055200723,1.490865198065257e-08,2.52059247800307e-07,2.524997669415494e-07,-5.000045692351668,,2.571165479118465e-19,,1.0349627239629626,0.17882789857685566,1.2137906225398183,0.9999982473040117,0.0011896050012412769,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.460151080716092e-06,3.220429012860433e-06,1.460151080716092e-06,3.220429012860433e-06,9.23556038932481e-06,7.42221258482816e-06,2.390162652613845e-05,2.3094105570484317e-05,1.0664802374549254e-12,4.5774495305295204e-12
COMPLETED,,pinn,all,1.0,0.075,False,-9.544762484683384e-09,0.0060334923763868,3.502947648467356e-07,0.0060334699643593,3.59839527331419e-07,2.241202749948823e-08,3.6053680035016793e-07,-5.0004037031277315,,6.973383814684203e-20,,1.0317326402291656,0.17519294377416372,1.2069255840033293,0.9999989715561864,0.0013680620369031272,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.054279754294413e-06,4.410698775356626e-06,2.054279754294413e-06,4.410698775356626e-06,9.589753638208493e-06,8.1661459770425e-06,2.9427459575583882e-05,2.8308301749524453e-05,2.10997885830011e-12,8.55993054216242e-12
COMPLETED,,pinn,all,1.0,0.08,True,-9.711206350131143e-09,0.0069360107429715,5.62771113746928e-08,0.0069360041658839,6.598831772482394e-08,6.577087599372866e-09,6.631527846161952e-08,-5.000064479590511,,3.452124034187436e-21,,1.0374420126900077,0.17338951397687197,1.2108315266668797,0.9999987506709448,0.001562729638218282,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.791840186288093e-07,8.283349257889336e-07,3.791840186288093e-07,8.283349257889336e-07,4.2588113428670395e-06,3.2803949322966595e-06,4.707140318010647e-06,4.529838602803264e-06,7.227551890309769e-14,3.099742684753437e-13
COMPLETED,,pinn,all,1.0,0.085,False,-3.258289311069424e-09,0.0079182452555799,2.940776499083019e-07,0.0079182485553654,2.9733593921937134e-07,3.2997855003991106e-09,2.973542488948398e-07,-5.000334810324711,,3.6391150678029474e-23,,1.0380022469908,0.17293719667941332,1.2109394436702132,0.9999984471453476,0.0017691294917673368,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.6613495911675576e-06,3.5194681813346348e-06,1.6613495911675576e-06,3.5194681813346348e-06,6.546905127609568e-06,5.865919430787891e-06,1.849311792767164e-05,1.7645617501245752e-05,1.379896197306607e-12,5.487610366117224e-12
COMPLETED,,pinn,all,1.0,0.09,False,1.4646562006685288e-10,0.0089853661922371,1.0175665673960118e-06,0.0089853669077826,1.017420101775945e-06,7.155455013230227e-10,1.0174203533953599e-06,-5.001121424442708,,1.5703371336246777e-22,,1.0392634514719248,0.17298822291195393,1.2122516743838787,0.9999980277892342,0.001987791742865109,-1169.6027566708567,1169.6027566708567,4517,1601,3201,5.62395473642626e-06,1.1862905734054285e-05,5.62395473642626e-06,1.1862905734054285e-05,1.7682644197312177e-05,1.714294933820457e-05,5.57746704074545e-05,5.296248016286315e-05,1.581357267355088e-11,6.235967298096057e-11
COMPLETED,,pinn,all,1.0,0.095,False,8.092975981496505e-10,0.0101433175874361,1.886761559808402e-06,0.0101433141641453,1.8859522622102523e-06,3.4232908001363693e-09,1.885955369104972e-06,-5.001839695199971,,1.0243045282085013e-22,,1.0521436212584376,0.1743061551824212,1.2264497764408588,0.999997523378568,0.0022204861612955063,-1042.6178312238374,1042.6178312238374,4517,1601,3201,1.030517863776241e-05,2.1601623802825335e-05,1.030517863776241e-05,2.1601623802825335e-05,2.9562028526377725e-05,2.9780159722701024e-05,9.160720834305648e-05,8.666495252674527e-05,5.3097970464932587e-11,2.0731649730265644e-10
COMPLETED,,pinn,all,1.0,0.1,False,5.334085810194177e-10,0.0113989626576282,2.5928005660977634e-06,0.011398956429212,2.592267157516744e-06,6.228416201195519e-09,2.592274639984798e-06,-5.002246598790026,,6.156235478920584e-23,,1.0503164008259773,0.1738173235207796,1.224133724346757,0.9999969309707794,0.002468828987964083,-934.0683688897036,934.0683688897036,4517,1601,3201,1.3987652030974076e-05,2.9112190289548775e-05,1.3987652030974076e-05,2.9112190289548775e-05,3.7090004201135403e-05,3.868718446662903e-05,0.00011208469200756424,0.00010571049632127637,9.782696874793828e-11,3.7772396321855695e-10
COMPLETED,,pinn,all,1.0,0.105,False,2.340442123779967e-10,0.012760261732706,2.832127626337733e-06,0.0127602544635402,2.8318935821253547e-06,7.269165800544153e-09,2.831902911692809e-06,-5.002188909759191,,3.683182810120856e-23,,1.0452352352440357,0.17457104567438364,1.2198062809184194,0.9999962388239895,0.0027340623403807702,-840.5106086023,840.5106086023,4517,1601,3201,1.5074428837414443e-05,3.112425340101579e-05,1.5074428837414443e-05,3.112425340101579e-05,3.724742048572721e-05,4.012848819310462e-05,0.0001094339957141075,0.00010296528334918823,1.1361933616171882e-10,4.3325798504412205e-10
COMPLETED,,pinn,all,1.0,0.11,False,4.635943253909663e-11,0.0142365019789538,2.453913948717911e-06,0.0142364960686441,2.4538675892853717e-06,5.9103096999857385e-09,2.4538747069697653e-06,-5.001697148970423,,1.818292910984314e-23,,1.0530524384230375,0.1735668983310461,1.2266193367540836,0.9999954304092588,0.0030177816301124893,-759.2712628581602,759.2712628581602,4517,1601,3201,1.2871137712636954e-05,2.6336041051011806e-05,1.2871137712636954e-05,2.6336041051011806e-05,2.9846161707436367e-05,3.311800894083081e-05,8.504521481555317e-05,7.989843470697788e-05,8.283318475577062e-11,3.1144531398297204e-10
COMPLETED,,pinn,all,1.0,0.115,False,-1.3681579423593154e-11,0.0158385965300184,1.5278897336349352e-06,0.015838593580109,1.5279034152143589e-06,2.9499094000851045e-09,1.5279062628934964e-06,-5.000948121490769,,7.72839140235973e-24,,1.062355987727642,0.17448680754750967,1.2368427952751517,0.9999944834794072,0.0033199139541670174,-688.2478038791896,688.2478038791896,4516,1601,3201,7.887411092052749e-06,1.5974935308930552e-05,7.887411092052749e-06,1.5974935308930552e-05,1.7283607447553603e-05,1.9685571558240537e-05,4.76342256215493e-05,4.474326774683481e-05,3.110556257013286e-11,1.1516787523646599e-10
COMPLETED,,pinn,all,1.0,0.12,False,-4.034584077683783e-11,0.0175794785598835,4.527596085273374e-07,0.0175794781692049,4.5279995436811424e-07,3.906786005813956e-10,4.5280012290803906e-07,-5.000252642378701,,8.079071629166679e-25,,1.0521903578191996,0.17505472246557474,1.2272450802847743,0.999993376043142,0.0036395679697460116,-625.7669416165327,625.7669416165327,4516,1601,3201,2.298898550834077e-06,4.6586306947475704e-06,2.298898550834077e-06,4.6586306947475704e-06,4.90304775338246e-06,5.689631452488239e-06,1.2731045892651584e-05,1.2043595206359024e-05,2.64266386551526e-12,9.936829137302539e-12
