status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn,all,1.5,0.05,False,0.2867884838082837,0.0578781158051297,0.2867880661706702,0.0582439129285863,4.1763761349233874e-07,0.00036579712345660015,0.00036579736186897164,-11.928998821693138,,1.414523730199918e-20,,1.2329549435526133,0.21988908387720585,1.452844027429819,2.250845307299454,0.005680919034509405,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0003013030101284235,0.0006996425068138642,0.00030130301012841525,0.0006996425068138681,0.0005621563493450394,0.0006069391077203425,0.0010019326558731868,0.000981475175295937,4.5391753245027644e-08,1.7704881394298155e-07
COMPLETED,,pinn,all,1.5,0.055,False,0.2927446492549135,0.0583866509164055,0.292744661634687,0.0583866400398278,1.2379773484116896e-08,1.0876577700991152e-08,1.6479039231816332e-08,-13.166910675524047,,1.2210850704613026e-20,,1.217130963690579,0.2090917369350791,1.426222700625658,2.2499942724148894,0.0056060929049241495,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.3954030902409982e-06,1.836840726134205e-05,1.3954030902413339e-06,1.8368407261343513e-05,2.569819173519694e-06,5.521781176798148e-06,1.605609987724321e-06,2.2707513886003586e-05,9.733325256888747e-13,1.455287002016803e-10
COMPLETED,,pinn,all,1.5,0.06,False,0.2983284136239438,0.0586268857628369,0.2983284293005326,0.0586268769578265,1.5676588804858227e-08,8.805010401347069e-09,1.7980090231265146e-08,-14.527381993613572,,3.3683290273015674e-20,,1.6376260882243514,0.2102498086169362,1.8478758968412876,2.2499943298581817,0.005682245534711393,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.6569006513431094e-06,2.2073614830415773e-05,1.6569006513474168e-06,2.2073614830414283e-05,2.7982288888781503e-06,6.838590038680385e-06,1.923834304740183e-06,2.7251719615131014e-05,1.3724577030416185e-12,2.1030643893027445e-10
COMPLETED,,pinn,all,1.5,0.065,False,0.3035789845194382,0.0586404622091123,0.303578980638876,0.0586404361550628,3.880562204905402e-09,2.605404950117851e-08,2.6341455131332445e-08,-14.99999335625205,,0.9599774132395213,,6.222640740685165,0.2037727851420641,6.426413525827229,2.249994601896979,0.005719778355235247,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.943292218071663e-06,2.6137796942121586e-05,1.943292218081562e-06,2.6137796942133983e-05,3.018654339258213e-06,8.355737329437947e-06,2.2744730283545866e-06,3.221364663262311e-05,1.8886003871898538e-12,2.9520819122552666e-10
COMPLETED,,pinn,all,1.5,0.07,True,0.3085296796468241,0.0584602672387943,0.3085296958577516,0.0584602765539002,1.6210927489268556e-08,9.315105901908094e-09,1.869666729730424e-08,-14.99999335625205,,6.3665325487767666,,6.200531234033406,0.2022396745160222,6.402770908549428,2.2499948468865165,0.005727799178305483,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.262064938720637e-06,3.061898011147281e-05,2.2620649387238477e-06,3.061898011147206e-05,3.2837383011988676e-06,1.0121345588838678e-05,2.667894126738447e-06,3.7643739562039225e-05,2.558064871038823e-12,4.0475245377535884e-10
COMPLETED,,pinn,all,1.5,0.075,False,0.3132090515913153,0.0581127147885543,0.3132090404741823,0.0581141764388411,1.1117132991955714e-08,1.4616502867978443e-06,1.4616925639621286e-06,-14.99999335625205,,17.280686650966754,,6.49807068798691,0.21081736963242292,6.708888057619333,2.25000006119115,0.005706037902564279,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.443933932053375e-06,3.7116653505963206e-05,3.443933932057449e-06,3.7116653505967665e-05,5.011291130090833e-06,1.3135313034145992e-05,6.1089259689173556e-06,4.5511558797642536e-05,5.930145263732811e-12,5.777255340788656e-10
COMPLETED,,pinn,all,1.5,0.08,False,0.3176417654238463,0.0576193324262716,0.317641758176102,0.0576189045679384,7.247744293614744e-09,4.27858333193476e-07,4.2791971569494803e-07,-14.99999335625205,,34.57431966855448,,6.57060668990016,0.21340407244861126,6.784010762348771,2.2499943134219085,0.005655154998733302,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.9422886837280052e-06,4.0249397199534325e-05,2.9422886837345964e-06,4.024939719954081e-05,3.713851952535253e-06,1.415700720880449e-05,3.49218874419676e-06,4.9180118870061404e-05,4.328870595315948e-12,7.050569017508224e-10
COMPLETED,,pinn,all,1.5,0.085,False,0.3218492869365933,0.0569978921594081,0.3218492936640883,0.0569907280238267,6.727495005520723e-09,7.1641355813972796e-06,7.164138740130009e-06,-14.99999335625205,,56.65643683048142,,6.643684190697968,0.21531766653060913,6.859001857228577,2.249970940691847,0.00557514166054196,-1188.8672721802934,1188.8672721802934,4517,1601,3201,1.0602487004749634e-05,4.296929835341233e-05,1.0602487004756708e-05,4.296929835340848e-05,1.5375134492342143e-05,2.2703653752324115e-05,2.310670025017501e-05,5.080412368776328e-05,5.6206594933883025e-11,8.916765104061142e-10
COMPLETED,,pinn,all,1.5,0.09,False,0.3258504254289729,0.0562632320216114,0.3258504183019032,0.0562492057195004,7.127069712176137e-09,1.4026302111003197e-05,1.4026303921712784e-05,-14.99999335625205,,73.79498062355984,,6.673237063921988,0.21654772758483887,6.889784791506827,2.249945841413118,0.005473727600358049,-1138.769814991409,1138.769814991409,4517,1601,3201,2.174707996594615e-05,5.377699265670169e-05,2.1747079965959192e-05,5.3776992656697524e-05,3.114018133706785e-05,3.956324494710073e-05,4.6336125614333996e-05,5.999381878692009e-05,2.364678453048441e-10,1.441660901768671e-09
COMPLETED,,pinn,all,1.5,0.095,False,0.3296617663816018,0.0554278666161298,0.3296617649270691,0.0554120303679735,1.4545326609827214e-09,1.5836248156299304e-05,1.5836248223097488e-05,-14.99999335625205,,94.29417442806695,,6.754529365338385,0.21983745601028204,6.974366821348667,2.249937562151015,0.005360697641813106,-1096.1743050114185,1096.1743050114185,4517,1601,3201,2.5894575365855627e-05,6.0926977809832356e-05,2.589457536586699e-05,6.0926977809833766e-05,3.626334380573443e-05,4.629886576053527e-05,5.301901568495984e-05,6.685374145439675e-05,3.352647048870949e-10,1.851083619719418e-09
