status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn,all,1.4,0.05,False,0.2284495959648327,0.0805532227768955,0.2284496021534435,0.0805532391758062,6.1886108182473976e-09,1.6398910701598268e-08,1.7527782976141703e-08,-12.229146483410533,,3.104688959080222e-20,,1.1468608006834984,0.19685567915439606,1.3437164798378944,1.9599915166426383,0.006026439715819844,-1199.9999999999932,1199.9999999999932,4517,1601,3201,8.788893928545058e-07,1.0590361369221946e-05,8.788893928649185e-07,1.059036136921909e-05,1.909157028914118e-06,3.4381406054749453e-06,9.453114899489011e-07,1.2703015816297851e-05,3.8613556796462944e-13,4.8557935450332934e-11
COMPLETED,,pinn,all,1.4,0.055,False,0.2358953607948584,0.080102566612191,0.2358953682231825,0.0801025877274603,7.428324094727046e-09,2.111526929693408e-08,2.2383802097462116e-08,-13.51686836507521,,1.5280539755128528e-19,,1.1573471552692354,0.19727629609405994,1.3546234513632953,1.959991303123425,0.006140343163505528,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.0536179265770975e-06,1.2981776095586629e-05,1.0536179265799937e-06,1.2981776095582416e-05,2.078419275886727e-06,4.287257241512714e-06,1.1549680936615187e-06,1.5598481711834693e-05,5.545564008002657e-13,7.310918537228872e-11
COMPLETED,,pinn,all,1.4,0.06,False,0.2427904346731541,0.0794784192111629,0.2427904400610708,0.0794784096357639,5.387916723886832e-09,9.57539900148241e-09,1.0987170366437837e-08,-14.895705144763744,,6.833132803660944e-23,,2.122470517642796,0.19663330586627126,2.3191038235090673,1.9599910659634086,0.006214039338470221,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.2421579638271046e-06,1.5610105306928706e-05,1.2421579638318217e-06,1.561010530692744e-05,2.247518943949929e-06,5.283151255976941e-06,1.3745169131721778e-06,1.8776897866562744e-05,7.718270467194088e-13,1.0601020061784538e-10
COMPLETED,,pinn,all,1.4,0.065,False,0.2492077677030013,0.0787065106241082,0.2492077566503601,0.078706509211055,1.1052641191167112e-08,1.4130532022260667e-09,1.1142602777313983e-08,-14.99999335625205,,0.7440805384714886,,6.135156219825149,0.20056831697002053,6.335724536795169,1.9599913683574364,0.00625250004529905,-1147.0679008015052,1147.0679008015052,4517,1601,3201,1.459930112156219e-06,1.8618046048420072e-05,1.4599301121574716e-06,1.861804604841072e-05,2.421449188991795e-06,6.475336902713558e-06,1.6433216164099113e-06,2.2403351556442095e-05,1.0654810367327627e-12,1.5101675465700737e-10
COMPLETED,,pinn,all,1.4,0.07,False,0.2552060077707218,0.0778073448700083,0.2552060080488463,0.077807358210343,2.781245234118046e-10,1.3340334698019873e-08,1.3343233607552408e-08,-14.99999335625205,,2.647160793416317,,6.142454846762121,0.20102105429396033,6.343475901056081,1.9599919570281377,0.006259743163632358,-1079.8594420634165,1079.8594420634165,4517,1601,3201,1.6941645560760366e-06,2.1930441314014092e-05,1.6941645560820237e-06,2.193044131401874e-05,2.6162657085027627e-06,7.859962091832658e-06,1.921557283178016e-06,2.637419742772423e-05,1.4350742816304773e-12,2.0962309665861767e-10
COMPLETED,,pinn,all,1.4,0.075,True,0.2608331471465684,0.0767975321674059,0.2608331417631015,0.0767975284956784,5.383466894492983e-09,3.6717274914943587e-09,6.516386926502859e-09,-14.99999335625205,,5.855055503412123,,6.154810284264386,0.20089375507086515,6.355704039335251,1.959991582336499,0.0062394283532656416,-1023.2268704863022,1023.2268704863022,4517,1601,3201,1.938362881314163e-06,2.5270085212331237e-05,1.9383628813156005e-06,2.527008521233841e-05,2.8048905775313595e-06,9.334349702266018e-06,2.209714030743241e-06,3.036218309008559e-05,1.87871940227069e-12,2.785558450568715e-10
COMPLETED,,pinn,all,1.4,0.08,False,0.2661290557451206,0.0756907205857265,0.2661290462198653,0.075690717261978,9.525255306730429e-09,3.3237484986514687e-09,1.008849804186352e-08,-14.99999335625205,,10.52263104880256,,6.09576989011839,0.19934237468987703,6.295112264808267,1.9599919700811246,0.00619030041380225,-975.1560032868334,975.1560032868334,4517,1601,3201,2.2160308115594162e-06,2.8924803789459077e-05,2.2160308115672034e-06,2.8924803789463136e-05,3.004971157862526e-06,1.1000557670059757e-05,2.5450519970081546e-06,3.470364712428878e-05,2.4552582189585337e-12,3.649385238446712e-10
COMPLETED,,pinn,all,1.4,0.085,False,0.2711272889364555,0.0744982632586794,0.2711272980051226,0.07449935585167,9.068667095046834e-09,1.0925929905952758e-06,1.0926306255184362e-06,-14.99999335625205,,16.830832913319185,,6.110062495339662,0.19926940789446235,6.309331903234124,1.9599955766734662,0.0061198436847325725,-934.1176743811503,934.1176743811503,4517,1601,3201,3.1106754119444663e-06,3.440944260174011e-05,3.1106754119493088e-06,3.440944260174602e-05,4.110080834090969e-06,1.3671299439846879e-05,4.799731679301621e-06,4.1201315354421864e-05,4.838129896711507e-12,5.066298491840371e-10
COMPLETED,,pinn,all,1.4,0.09,False,0.275856408505958,0.0732297072154944,0.2758564216326015,0.0732286876551883,1.3126643494398849e-08,1.019560306111944e-06,1.0196448041198023e-06,-14.99999335625205,,24.997177836676194,,6.278304866980761,0.2042543818242848,6.482559248805046,1.959990827558138,0.006031894146393049,-899.005832287442,899.005832287442,4517,1601,3201,2.885587113187831e-06,3.652003593278617e-05,2.8855871131985696e-06,3.6520035932780754e-05,3.6620083793637107e-06,1.4767032556932428e-05,3.8069314462937945e-06,4.360882129729981e-05,4.1634473646467995e-12,5.920265389036672e-10
COMPLETED,,pinn,all,1.4,0.095,False,0.2803409677479588,0.071893158111068,0.2803409719733082,0.071889543068657,4.22534940369701e-09,3.615042411003744e-06,3.615044880348423e-06,-14.99999335625205,,35.2692142811351,,6.300841984339058,0.20534430211409926,6.506186286453158,1.959983126566892,0.005920954472216861,-868.8862998626132,868.8862998626132,4517,1601,3201,5.442244919382482e-06,3.881100851188807e-05,5.442244919390448e-06,3.881100851189348e-05,7.511320721102141e-06,1.7562420799752677e-05,1.043675177431245e-05,4.601244262357694e-05,1.4808820836265113e-11,6.946245800776296e-10
COMPLETED,,pinn,all,1.4,0.1,False,0.2846022594703237,0.0704955574151523,0.2846022681624272,0.0704955596672293,8.692103481422464e-09,2.252076997111274e-09,8.979115420389374e-09,-14.99999335625205,,47.921591749411085,,6.329730329103768,0.20614332892000675,6.535873658023775,1.9599943338634265,0.005795259932247256,-842.9742929196791,842.9742929196791,4517,1601,3201,3.5266083896545554e-06,4.701575826738366e-05,3.5266083896613283e-06,4.7015758267401406e-05,3.943321946206453e-06,1.983942531236308e-05,4.090279274214295e-06,5.588413247936246e-05,6.218470183227964e-12,9.632119546409967e-10
COMPLETED,,pinn,all,1.4,0.105,False,0.2886588932905014,0.0690428962561614,0.2886588773133408,0.0690429058893978,1.597716059453802e-08,9.633236389139377e-09,1.865660483562584e-08,-14.99999335625205,,63.310913056468934,,6.3634792529046535,0.20619961712509394,6.5696788700297475,1.9599954592904738,0.0056578506058452905,-820.8304812103321,820.8304812103321,4517,1601,3201,3.9147771185592946e-06,5.218579589221285e-05,3.914777118567609e-06,5.218579589222256e-05,4.203517695211608e-06,2.252688548410497e-05,4.546979279738789e-06,6.185055134061109e-05,7.662648293660368e-12,1.1852560044545157e-09
COMPLETED,,pinn,all,1.4,0.11,False,0.2925272467867352,0.0675403818524317,0.2925272348564898,0.0675403868464056,1.1930245402691497e-08,4.993973901079585e-09,1.2933310894473451e-08,-14.99999335625205,,81.82539152379702,,6.375239249318838,0.2093507726676762,6.584590021986514,1.959996617471939,0.005508477780561829,-801.9679269578421,801.9679269578421,4517,1601,3201,4.333123617466077e-06,5.788888260744515e-05,4.333123617465926e-06,5.7888882607448375e-05,4.485055323042738e-06,2.5537964684246107e-05,5.038799406290486e-06,6.839427211257733e-05,9.387601807020474e-12,1.457216236566694e-09
COMPLETED,,pinn,all,1.4,0.115,False,0.2962218237406611,0.0659925696254854,0.2962218109680938,0.065992585131783,1.2772567281604807e-08,1.5506297593170792e-08,2.0089393719350915e-08,-14.99999335625205,,103.92709254281327,,6.454878234770149,0.20990737527608871,6.664785610046238,1.9599968885235457,0.005348862115147512,-786.0324532448315,786.0324532448315,4517,1601,3201,4.784330628346855e-06,6.408471606219935e-05,4.784330628342011e-06,6.408471606220521e-05,4.793898961631244e-06,2.8863440900148505e-05,5.56840029039337e-06,7.546612360715215e-05,1.1444734049348426e-11,1.7847722189046067e-09
COMPLETED,,pinn,all,1.4,0.12,False,0.2997555410841062,0.0644034686182358,0.299755549303503,0.0644034566460538,8.219396829822756e-09,1.1972181995778541e-08,1.4522108179811367e-08,-14.99999335625205,,130.15919633819857,,6.5029894462786615,0.21154267992824316,6.714532126206905,1.959997540145547,0.0051733304247895484,-772.7426815824589,772.7426815824589,4517,1601,3201,5.2311873794953144e-06,7.057760291958492e-05,5.231187379504033e-06,7.05776029195997e-05,5.1163208175843605e-06,3.2429186854219215e-05,6.067941472129072e-06,8.282475427675377e-05,1.3682721622387817e-11,2.162780732284375e-09
COMPLETED,,pinn,all,1.4,0.125,False,0.3031399613158659,0.0627766263558038,0.3031399518337522,0.0627766333781001,9.482113705328032e-09,7.022296300007724e-09,1.1799284963330273e-08,-14.99999335625205,,161.16017162255955,,6.284248268697411,0.20545442821457982,6.489702696911991,1.9599988851040127,0.004997123955767218,-761.8741547333138,761.8741547333138,4517,1601,3201,5.736627581210526e-06,7.74836259336071e-05,5.736627581207928e-06,7.748362593361552e-05,5.462207965158302e-06,3.628359048226784e-05,6.657235964602206e-06,9.06130775339459e-05,1.6454615447969445e-11,2.6041360179362982e-09
COMPLETED,,pinn,all,1.4,0.13,False,0.3063854824913954,0.0611151985503771,0.3063854832424071,0.0611152041358203,7.510116972753167e-10,5.585443198230511e-09,5.6357070798706194e-09,-14.99999335625205,,197.68648488841185,,6.619521100074053,0.2158000459894538,6.835321146063507,1.9599994782923444,0.004807038348824633,-753.2530152897542,753.2530152897542,4517,1601,3201,6.246683874163275e-06,8.463904735558355e-05,6.2466838741581525e-06,8.463904735559643e-05,5.841007641781985e-06,4.037093495044277e-05,7.2351604180648395e-06,9.862370143131027e-05,1.9511170457064964e-11,3.1034557146369934e-09
COMPLETED,,pinn,all,1.4,0.135,False,0.3095014954520465,0.0594220048865317,0.3095014934282191,0.0594219956421865,2.0238274389683397e-09,9.244345205994264e-09,9.463286732964943e-09,-14.99999335625205,,240.63471670731386,,6.6703455918468535,0.2165227667428553,6.886868358589709,1.9600006114735804,0.00461903107083301,-746.7460214247686,746.7460214247686,4517,1601,3201,6.774524348348885e-06,9.211431293901433e-05,6.774524348342492e-06,9.211431293902042e-05,6.230623487782564e-06,4.471972968147743e-05,7.820607521765438e-06,0.00010694161256293963,2.294675560676751e-11,3.6693620364403046e-09
COMPLETED,,pinn,all,1.4,0.14,False,0.3124965138531316,0.0576995769025146,0.3124964986681687,0.0576995680081567,1.5184962898207033e-08,8.894357902966554e-09,1.759808798494847e-08,-14.99999335625205,,291.07342868940856,,6.704182717949152,0.2182700908742845,6.9224528088234365,1.9600014303129185,0.004419064592368055,-742.2559173908645,742.2559173908645,4517,1601,3201,7.3412095902394575e-06,0.0001000232885994331,7.341209590245613e-06,0.0001000232885994336,6.652111141951191e-06,4.939356969934989e-05,8.45368611894103e-06,0.00011569518907136193,2.6946556097584562e-11,4.319784419060113e-09
COMPLETED,,pinn,all,1.4,0.145,True,0.3153782841847528,0.0559501968448136,0.3153782595984373,0.0559502106062502,2.4586315483521304e-08,1.3761436601367194e-08,2.81755930973722e-08,-14.99999335625205,,350.2825635294207,,6.7788934810087085,0.2206291281618178,6.999522609170526,1.9600026322854411,0.004215604787994644,-739.7182939777217,739.7182939777217,4517,1601,3201,7.955500787179777e-06,0.0001084335950604458,7.955500787179065e-06,0.00010843359506045754,7.122707873093191e-06,5.443867501095643e-05,9.149860625731411e-06,0.00012495584814635455,3.164513096010069e-11,5.066738806291937e-09
COMPLETED,,pinn,all,1.4,0.15,False,0.3181538770330802,0.0541759298007297,0.3181538756452987,0.0541759356899513,1.387781500827856e-09,5.889221596500072e-09,6.0505262999777855e-09,-14.99999335625205,,419.8043501263674,,6.798340038862079,0.2215712582692504,7.01991129713133,1.9600046809882288,0.004009440880553625,-739.0998226099982,739.0998226099982,4517,1601,3201,8.566209619158981e-06,0.0001172561067224769,8.566209619161051e-06,0.00011725610672248845,7.618312947118724e-06,5.982382248403581e-05,9.829507949267309e-06,0.00013461187310087865,3.668976233939247e-11,5.913683764902089e-09
