status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn,all,1.2,0.05,False,0.0587939705593892,0.1408414697456862,0.0587939705947843,0.1408414703806481,3.539509657590756e-11,6.349618886236641e-10,6.359476494697879e-10,-7.149844123129433,,1.8129188915196653e-21,,1.1256089443340898,0.19473487976938486,1.3203438241034746,1.4399783099356571,0.007937709492239202,-754.3744192924788,754.3744192924788,4517,1601,3201,4.4722625848761786e-07,3.653087950018687e-06,4.4722625849588553e-07,3.653087950021548e-06,1.3609049523060996e-06,1.8677075332422777e-06,3.733173594016662e-07,3.86468289697102e-06,1.006972283335017e-13,6.04394312375689e-12
COMPLETED,,pinn,all,1.2,0.055,False,0.0778458489605059,0.1382418349818659,0.0778458446709196,0.1382418243684419,4.2895863111569454e-09,1.0613424000771587e-08,1.1447502773138752e-08,-8.00990778071899,,4.1513300266276405e-22,,1.1098790662363172,0.18981879483908415,1.2996978610754013,1.4399802848482268,0.007721453799923419,-714.1288761346532,714.1288761346532,4517,1601,3201,5.220244236558277e-07,4.54184460034457e-06,5.220244236573177e-07,4.541844600352687e-06,1.4497000409224549e-06,2.2213434563802033e-06,4.5919308499484664e-07,4.89300627713669e-06,1.3578027591165664e-13,9.355849428516194e-12
COMPLETED,,pinn,all,1.2,0.06,False,0.0926568629074388,0.1356419301356869,0.0926568250317401,0.1356419327875461,3.787569870239427e-08,2.651859204449991e-09,3.796841989647155e-08,-8.765582037404446,,1.6480733410482835e-22,,1.1183754159137607,0.1944310711696744,1.312806487083435,1.4399802400412052,0.0075879509475876945,-677.7385557814366,677.7385557814366,4516,1601,3201,6.108596967588125e-07,5.596033606735236e-06,6.108596967539057e-07,5.596033606743548e-06,1.5243933712305998e-06,2.659097886450985e-06,5.723138105897369e-07,6.111142499842756e-06,1.8685053504441385e-13,1.4202639064819778e-11
COMPLETED,,pinn,all,1.2,0.065,False,0.1050524247378762,0.1330421441116264,0.1050524235191778,0.133042160618159,1.2186983922024552e-09,1.6506532585225386e-08,1.655146047206301e-08,-9.473174426859027,,3.398503782686145e-22,,1.1426653815433383,0.19628317467868328,1.3389485562220216,1.4399811467647372,0.007486510431116604,-645.7814944004444,645.7814944004444,4516,1601,3201,7.053169657870169e-07,6.738167643966873e-06,7.053169657899441e-07,6.738167643969369e-06,1.617310924470693e-06,3.188689871510554e-06,6.496763877895446e-07,7.409099104934599e-06,2.4846791291111003e-13,2.0600077199617317e-11
COMPLETED,,pinn,all,1.2,0.07,False,0.1158243946165708,0.1304428119843612,0.1158244081449749,0.1304427982136517,1.3528404091411872e-08,1.3770709489380195e-08,1.9304148701805922e-08,-10.157115219491052,,1.2557485506758734e-21,,1.0749494060873985,0.18067775294184685,1.2556271590292454,1.4399813423468661,0.0073899985962857856,-617.8995426482325,617.8995426482325,4516,1601,3201,8.010948755174136e-07,7.887326279292593e-06,8.010948755203135e-07,7.887326279304513e-06,1.7222308832472387e-06,3.7603240099098527e-06,7.522005782433779e-07,8.746634627580856e-06,3.211875210240578e-13,2.8268831719913123e-11
COMPLETED,,pinn,all,1.2,0.075,False,0.1254037605689256,0.1278442189910901,0.1254037497009127,0.1278442056999395,1.0868012906284363e-08,1.3291150596783652e-08,1.7168820248274077e-08,-10.830941566647807,,3.744344872432065e-21,,1.0336162997409701,0.17736150231212378,1.210977802053094,1.4399819263292057,0.007287953269434103,-593.5843003594366,593.5843003594366,4516,1601,3201,9.161054057800643e-07,9.29003244231105e-06,9.161054057834052e-07,9.290032442316995e-06,1.811912487503378e-06,4.45954739602383e-06,8.943149364531363e-07,1.0375268147023826e-05,4.1966430330830917e-13,3.9234504534135795e-11
COMPLETED,,pinn,all,1.2,0.08,True,0.1340569456428095,0.1252466098615217,0.1340569502932128,0.1252465971141757,4.650403284678362e-09,1.2747345984331915e-08,1.3569122313341062e-08,-11.503362753330288,,9.31733479152182e-21,,1.039192677475512,0.176279672421515,1.215472349897027,1.439982971362362,0.00718088991006304,-572.3531329711955,572.3531329711955,4516,1601,3201,1.0380918342268726e-06,1.0763161852154216e-05,1.038091834231024e-06,1.0763161852170084e-05,1.924141666597439e-06,5.241512064140566e-06,1.0225729367459813e-06,1.207223574115505e-05,5.39346345362901e-13,5.2645554582397835e-11
COMPLETED,,pinn,all,1.2,0.085,False,0.1419628164889307,0.1226501948965649,0.1419628110567628,0.1226501997572294,5.432167882180039e-09,4.860664509775958e-09,7.2893420400461335e-09,-12.180594905603765,,1.9596024405721585e-20,,1.0495895249769092,0.17717573791742325,1.2267652628943324,1.4399833536100448,0.007060632510640039,-553.7877893398035,553.7877893398035,4516,1601,3201,1.1698275490833365e-06,1.2271054049371566e-05,1.1698275490877553e-06,1.2271054049386316e-05,2.0262422394622337e-06,6.0699440514563135e-06,1.1782153203445432e-06,1.3814425268880827e-05,6.837863608666339e-13,6.834743881967142e-11
COMPLETED,,pinn,all,1.2,0.09,False,0.1492486582237698,0.1200551554586059,0.1492486651547356,0.1200551428033564,6.93096580128838e-09,1.2655249501114518e-08,1.4428916344413684e-08,-12.867476533409278,,3.731908066819255e-20,,1.0523000415414572,0.17883105482906103,1.2311310963705182,1.439984162231562,0.006932107286617571,-537.5376664447916,537.5376664447916,4516,1601,3201,1.3028972458489831e-06,1.3963359609404295e-05,1.302897245851061e-06,1.3963359609408883e-05,2.1427957561838967e-06,7.023334856378097e-06,1.3190410137439984e-06,1.5763767690612856e-05,8.487655023259322e-13,8.85205242440179e-11
COMPLETED,,pinn,all,1.2,0.095,False,0.1560090651493015,0.1174616483235438,0.156009073160811,0.1174612098076726,8.011509511351989e-09,4.385158711983639e-07,4.385890486292499e-07,-13.56804814851167,,6.477814980422501e-20,,1.06076396163553,0.17948510218411684,1.2402490638196468,1.4399843334761624,0.006795190415903643,-523.3133286493593,523.3133286493593,4516,1601,3201,1.4447944348870547e-06,1.548936383203336e-05,1.4447944348937005e-06,1.548936383204248e-05,2.415455345397683e-06,7.957129286895865e-06,1.7015899704256802e-06,1.7605177931776875e-05,1.0437206654501097e-12,1.1010037326286692e-10
COMPLETED,,pinn,all,1.2,0.1,False,0.1623167383142573,0.1148698095470125,0.162316738696245,0.1148637947725493,3.81987691477903e-10,6.014774463200534e-06,6.014774475330215e-06,-14.2861979050248,,3.7343514120907695e-21,,1.2483335649594665,0.18221336044371128,1.4305469254031777,1.4399741155324868,0.006647996315031894,-510.8948993992802,510.8948993992802,4516,1601,3201,7.02940830202221e-06,1.7148013471416693e-05,7.029408302021938e-06,1.7148013471415304e-05,1.087257480930912e-05,1.3346244900393932e-05,1.563896939012356e-05,2.161854091665327e-05,2.4706015011588534e-11,1.4630241462754157e-10
COMPLETED,,pinn,all,1.2,0.105,False,0.1682290694117941,0.1122797576975727,0.1682290685525176,0.1122797601479653,8.592765110559952e-10,2.450392597164175e-09,2.596686350464675e-09,-14.99999335625205,,0.0005749541564914231,,5.6384688671678305,0.1837729960680008,5.822241863235831,1.4399868933326425,0.006498899091341383,-500.0106033457712,500.0106033457712,4516,1601,3201,1.7928173599783247e-06,1.977893463231308e-05,1.7928173599841832e-06,1.9778934632326667e-05,2.506063376191267e-06,1.0455529449056088e-05,1.8845887923355834e-06,2.2432053421916933e-05,1.607047828144914e-12,1.7726609069512733e-10
COMPLETED,,pinn,all,1.2,0.11,False,0.1737923655519355,0.1096915966196238,0.1737923519509144,0.1096915948593282,1.3601021114917344e-08,1.7602956037254813e-09,1.3714460105338552e-08,-14.99999335625205,,0.6174350635821524,,5.649620546959341,0.18432392086833715,5.833944467827678,1.439987136161409,0.0063322638035535886,-490.57300188843413,490.57300188843413,4516,1601,3201,1.973416609437994e-06,2.1978424609022576e-05,1.9734166094404707e-06,2.19784246090401e-05,2.6358675022259758e-06,1.1805659908447893e-05,2.094312729274645e-06,2.4942032334161037e-05,1.9468870959826745e-12,2.1857349263854076e-10
COMPLETED,,pinn,all,1.2,0.115,False,0.1790446749180525,0.1071054177329335,0.1790446824305488,0.1071054044756787,7.512496291717241e-09,1.3257254793952455e-08,1.5237860913029776e-08,-14.99999335625205,,2.4782374282233754,,5.683717226609588,0.18383353110402822,5.867550757713616,1.4399880684437207,0.006159007930564496,-482.42010506756384,482.42010506756384,4516,1601,3201,2.1558721540616136e-06,2.4378118664158187e-05,2.1558721540603794e-06,2.437811866416469e-05,2.7844271644874173e-06,1.3307650679950912e-05,2.287311045656202e-06,2.7661488096760632e-05,2.32314167902814e-12,2.688966826980277e-10
COMPLETED,,pinn,all,1.2,0.12,False,0.184017742417762,0.1045213020226926,0.1840177510875047,0.1045212962292677,8.669742701528094e-09,5.793424892597265e-09,1.0427282028259584e-08,-14.99999335625205,,5.724130170192325,,5.696487291716039,0.18495876155793667,5.881446053273976,1.4399888956361548,0.005988698228442612,-475.4396907768504,475.4396907768504,4516,1601,3201,2.3672422459767266e-06,2.6981485508925362e-05,2.3672422459770015e-06,2.698148550893648e-05,2.935590962109118e-06,1.4955794096691964e-05,2.529672562020465e-06,3.0605114476336385e-05,2.8023139364563576e-12,3.29167471058156e-10
COMPLETED,,pinn,all,1.2,0.125,False,0.1887384029685804,0.1019393220463928,0.1887383825642804,0.1019393306951651,2.040429999961013e-08,8.648772295560825e-09,2.2161604650714046e-08,-14.99999335625205,,10.522421518113434,,5.715158132836223,0.18521586805582047,5.900374000892043,1.4399897646482283,0.005804975633501373,-469.53959605851446,469.53959605851446,4516,1601,3201,2.6040563185052983e-06,2.9717879239442826e-05,2.604056318516053e-06,2.9717879239457415e-05,3.084735807585703e-06,1.6713816112130194e-05,2.8116951663677603e-06,3.369360448690963e-05,3.390843161810153e-12,3.9877046109637604e-10
COMPLETED,,pinn,all,1.2,0.13,False,0.1932295994077387,0.0993595427438833,0.1932295913434505,0.0993595445764096,8.064288209430615e-09,1.8325262973739598e-09,8.269878896049733e-09,-14.99999335625205,,17.07007775360417,,5.722888421267271,0.18609188683331013,5.908980308100581,1.43999068939213,0.005616814655091716,-464.6446238621809,464.6446238621809,4516,1601,3201,2.8314264540941343e-06,3.248936692560427e-05,2.8314264540994643e-06,3.248936692561561e-05,3.256701298616203e-06,1.8544880247721617e-05,3.0640183006254924e-06,3.679895983294489e-05,4.007905118896815e-12,4.760911664902778e-10
COMPLETED,,pinn,all,1.2,0.135,False,0.1975111409686433,0.0967820232804793,0.1975111374658922,0.0967820247149875,3.502751116934988e-09,1.4345081927880088e-09,3.7851128308632e-09,-14.99999335625205,,25.597833827020587,,5.771223444491625,0.18685438483953476,5.95807782933116,1.4399923014641611,0.005415513511290096,-460.6937651599539,460.6937651599539,4516,1601,3201,3.07257429773247e-06,3.539474438348045e-05,3.072574297735732e-06,3.539474438350085e-05,3.4366272346764555e-06,2.049362028241498e-05,3.3335000885467816e-06,4.004149529139132e-05,4.7200021668913905e-12,5.643711054048595e-10
COMPLETED,,pinn,all,1.2,0.14,False,0.20160028025262,0.094206817652732,0.2016002864095502,0.0942068195467303,6.1569301879060845e-09,1.8939982915355813e-09,6.441662740868149e-09,-14.99999335625205,,36.375799637111484,,5.795740457251668,0.1908306023105979,5.986571059562266,1.4399934620498824,0.005220572648830611,-457.63882428041353,457.63882428041353,4516,1601,3201,3.3251645450568075e-06,3.8466312586602396e-05,3.325164545058038e-06,3.846631258661775e-05,3.6301999005349352e-06,2.258333224937765e-05,3.6140746978992545e-06,4.345384735451789e-05,5.528577595725892e-12,6.657137063825758e-10
COMPLETED,,pinn,all,1.2,0.145,False,0.2055121596598169,0.091633975727477,0.2055121535202878,0.0916339511677602,6.139529107329622e-09,2.4559716801930698e-08,2.531547959353693e-08,-14.99999335625205,,49.720078480252184,,5.9716964811086655,0.21137970499694347,6.183076186105609,1.4399940654765726,0.005023415228342916,-455.44292379204313,455.44292379204313,4516,1601,3201,3.5825761910669003e-06,4.17138093235809e-05,3.582576191065501e-06,4.171380932358195e-05,3.818962680020561e-06,2.481543137291052e-05,3.890537416214677e-06,4.7054146144612356e-05,6.416978060030942e-12,7.820344372078125e-10
COMPLETED,,pinn,all,1.2,0.15,False,0.2092601600195139,0.089063544049155,0.2092601720656741,0.0890635564185852,1.2046160208223355e-08,1.2369430202330278e-08,1.7265942757130414e-08,-14.99999335625205,,66.00078828684796,,6.501597633585334,0.2129103196784854,6.714507953263819,1.4399942647659498,0.004814357947224846,-454.0787873661802,454.0787873661802,4516,1601,3201,3.878799364403602e-06,4.526218244554432e-05,3.87879936440775e-06,4.526218244556276e-05,4.053079833928716e-06,2.7283122287937483e-05,4.23360077436511e-06,5.096110382700876e-05,7.522649170255136e-12,9.191245542439219e-10
COMPLETED,,pinn,all,1.2,0.155,False,0.2128561788956414,0.0864955663967861,0.2128561676917518,0.0864955644587495,1.1203889593858207e-08,1.93803660619718e-09,1.1370273871737854e-08,-14.99999335625205,,85.65267245370264,,6.570160718634725,0.21292760595679283,6.7830883245915174,1.4399949842534352,0.0046143956551822456,-453.5295103482014,453.5295103482014,4516,1601,3201,4.17619213080381e-06,4.897685646732275e-05,4.1761921308077975e-06,4.8976856467327953e-05,4.2683601555767465e-06,2.989054542598415e-05,4.557823922537036e-06,5.504734351621625e-05,8.72013572461583e-12,1.0746989964616205e-09
COMPLETED,,pinn,all,1.2,0.16,True,0.2163108523694062,0.0839300841651744,0.2163108567749778,0.0839300799359921,4.4055716019730795e-09,4.22918230991165e-09,6.1069668535682494e-09,-14.99999335625205,,109.18703164895584,,5.882415609434247,0.1910039521753788,6.073419561609626,1.4399964702043335,0.004403297124914718,-453.78625736046195,453.78625736046195,4516,1601,3201,4.481295465268885e-06,5.290978917977148e-05,4.4812954652731196e-06,5.290978917978516e-05,4.517234352183378e-06,3.2692827789225294e-05,4.892759721272056e-06,5.9345968975517704e-05,1.0040968057012378e-11,1.2522494152733543e-09
