status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn,all,1.05,0.05,False,3.9623304327421566e-10,0.0216720758392142,3.8529715338679394e-08,0.0216720601405729,3.813348229540518e-08,1.5698641300104788e-08,4.12384506333996e-08,-5.000002977918847,,9.346302429681254e-20,,1.0707816751673818,0.18090146407485008,1.2516831392422318,1.1024917434595773,0.004268327733242627,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.5327628645081093e-07,7.187971172886719e-07,1.5327628645207912e-07,7.187971172898265e-07,1.2272692348520458e-06,1.1822611132680946e-06,4.0189979467777063e-07,8.445358268799299e-07,1.1546319456101628e-14,2.1049828546892968e-13
COMPLETED,,pinn,all,1.05,0.055,False,4.874110988424948e-10,0.0242070753369968,4.826897308456188e-08,0.0242070768701017,4.7781561985719385e-08,1.5331048999756014e-09,4.780615103132099e-08,-5.000004459929692,,3.6486477254673104e-19,,1.1426831586286426,0.1998749254271388,1.3425580840557814,1.102489977576779,0.004710042589888451,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.7666073659280926e-07,9.054457687290457e-07,1.766607365938497e-07,9.054457687273736e-07,1.1892203521322832e-06,1.22965054434256e-06,4.391410322964093e-07,9.736577374332321e-07,1.5210055437364645e-14,3.3162361745553426e-13
COMPLETED,,pinn,all,1.05,0.06,False,4.818920439745717e-10,0.026850382922755,5.709618877428976e-08,0.0268503974495145,5.661429673031519e-08,1.4526759500171904e-08,5.8448313370396e-08,-5.0000061924504795,,1.7364019189391202e-19,,1.1143351243808866,0.18977720849215984,1.3041123328730464,1.1024880100304033,0.005156351878155456,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.028626295313699e-07,1.1048523193685251e-06,2.0286262953109912e-07,1.1048523193657596e-06,1.1700804977705322e-06,1.3210420045046504e-06,5.144040445757678e-07,1.1411631019908685e-06,2.0095036745715333e-14,4.959366251000574e-13
COMPLETED,,pinn,all,1.05,0.065,False,5.69640621572975e-10,0.0296177538519902,6.445004163061722e-08,0.0296177432987618,6.388040100904425e-08,1.0553228402265802e-08,6.474624516361309e-08,-5.000008079819872,,9.760841400636965e-21,,1.1062454311177135,0.18545912392437458,1.291704555042088,1.1024857670569719,0.005607813551744813,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.2366131923422597e-07,1.264210792784008e-06,2.2366131923410834e-07,1.2642107927864827e-06,1.1992709006040912e-06,1.4326880040186019e-06,5.815603928631288e-07,1.3990948471707603e-06,2.4868995751603507e-14,6.750155989720952e-13
COMPLETED,,pinn,all,1.05,0.07,False,4.743779014405197e-10,0.0325278215395402,3.9208310165975314e-08,0.0325278298290532,3.8733932264534795e-08,8.289512999637427e-09,3.9611027939763535e-08,-5.000005601651276,,1.1755846305217676e-22,,1.091703630052507,0.1821931404992938,1.2738967705518007,1.1024833891309185,0.00606508314570221,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.4306711496711456e-07,1.507935055655891e-06,2.4306711496771776e-07,1.507935055655e-06,1.1701497410226293e-06,1.5795566173633654e-06,3.5766678915538285e-07,1.514590071600551e-06,2.9753977059954195e-14,9.628964292573983e-13
COMPLETED,,pinn,all,1.05,0.075,False,3.8536165476661847e-10,0.0356029301043054,4.8079364070232855e-08,0.0356029449039988,4.769400241546624e-08,1.4799693394407232e-08,4.9937448783202374e-08,-5.000007411721452,,1.3525243940966968e-22,,1.0916532408446074,0.181081835180521,1.2727350760251284,1.1024807618998047,0.006528687387546987,-1149.6794948355275,1149.6794948355275,4517,1601,3201,2.7263157649038525e-07,1.7572231940377001e-06,2.726315764893583e-07,1.7572231940427825e-06,1.1707851231151232e-06,1.761133784036899e-06,4.2698265239467015e-07,1.7530757575952035e-06,3.708144902248023e-14,1.3241630014704242e-12
COMPLETED,,pinn,all,1.05,0.08,True,3.0085735893864327e-10,0.03887030128094,5.62973773749636e-08,0.0388702861779173,5.599652001602496e-08,1.5103022700524438e-08,5.7997513296671954e-08,-5.000008377468907,,8.897120387880868e-23,,1.102226298302412,0.1811470789834857,1.2833733772858977,1.1024778172567564,0.0069994327215727225,-995.9512301404479,995.9512301404479,4517,1601,3201,3.000867042150705e-07,1.9704359810663047e-06,3.0008670421344975e-07,1.9704359810750117e-06,1.2083796127401722e-06,1.9354081462861813e-06,5.229005206759128e-07,2.088418062237451e-06,4.518607710224387e-14,1.722844089613318e-12
COMPLETED,,pinn,all,1.05,0.085,False,2.2233667796181407e-10,0.0423637176862112,6.278104015388504e-08,0.0423637209353839,6.255870347592323e-08,3.2491727017247563e-09,6.26430243828802e-08,-5.000008986087077,,4.3548987386635435e-23,,1.0866826297715306,0.1822668146342039,1.2689494444057345,1.1024747241865922,0.007477108844832687,-868.4590288259226,868.4590288259226,4517,1601,3201,3.347059202197212e-07,2.275786680152798e-06,3.347059202237178e-07,2.2757866801564155e-06,1.1781512926493964e-06,2.1646357446552423e-06,5.310078527726253e-07,2.3331926920165884e-06,5.595524044110789e-14,2.3090418466154006e-12
COMPLETED,,pinn,all,1.05,0.09,False,1.56395609562825e-10,0.0461260301076705,5.869521212294172e-08,0.0461260199759697,5.85388165133789e-08,1.013170080471637e-08,5.940912724475367e-08,-5.000008055491262,,1.9871690981304072e-23,,1.0855369297787547,0.18061961140483618,1.2661565411835909,1.1024712932323109,0.007964275769075121,-761.4280221967821,761.4280221967821,4517,1601,3201,3.663193368499946e-07,2.5636761831066213e-06,3.663193368542315e-07,2.563676183098231e-06,1.212981503539761e-06,2.405707952847658e-06,5.289742959652906e-07,2.665200304339382e-06,6.705747068735946e-14,2.992051051364797e-12
COMPLETED,,pinn,all,1.05,0.095,False,4.0200318217775485e-10,0.0502130418038415,1.4794366528202152e-07,0.0502130309650017,1.4754166209984377e-07,1.0838839797910893e-08,1.4793925274702874e-07,-5.0000193916828115,,2.676576652422305e-24,,1.0776220615953207,0.17837379779666662,1.2559958593919873,1.1024676026643268,0.00846089680219917,-670.5453043575568,670.5453043575568,4516,1601,3201,4.551941143855674e-07,2.8819007059728963e-06,4.551941143904577e-07,2.881900705972883e-06,1.3151555829348999e-06,2.695002014654176e-06,1.1133001622195323e-06,3.1051933051343916e-06,1.035838081975271e-13,3.825939565160752e-12
COMPLETED,,pinn,all,1.05,0.1,False,3.017815208068885e-10,0.0546998175409827,1.5728512351917417e-07,0.0546998103785622,1.5698334199836728e-07,7.162420503914468e-09,1.5714665103797548e-07,-5.00001959623876,,7.4223922572245e-25,,1.0764537658542395,0.17806060705333948,1.254514372907579,1.1024636053630905,0.008968473092248555,-592.5229691765719,592.5229691765719,4516,1601,3201,5.02798795739295e-07,3.227651770181412e-06,5.027987957417434e-07,3.2276517701773054e-06,1.3200625246781709e-06,2.975593552063574e-06,1.139399965933292e-06,3.439748888852935e-06,1.2634338020234281e-13,4.8575587996424474e-12
COMPLETED,,pinn,all,1.05,0.105,False,1.861849458323276e-10,0.0596915838649033,5.75392454553291e-08,0.0596915852015915,5.735306050949677e-08,1.336688197628444e-09,5.736863502946255e-08,-5.000006775597746,,8.445532229521669e-24,,1.0602049194276333,0.17615409288555384,1.2363590123131871,1.1024592769144947,0.009488421953679601,-524.7964154495805,524.7964154495805,4516,1601,3201,4.940448938566529e-07,3.6000367007184567e-06,4.940448938604696e-07,3.6000367007259987e-06,1.2419210963924153e-06,3.2590367962454864e-06,5.349770176294536e-07,3.6845842804883395e-06,1.2223555501122974e-13,6.104228233994036e-12
COMPLETED,,pinn,all,1.05,0.11,False,1.3408725151546628e-10,0.0653440616983339,1.7631465437587963e-09,0.0653441148406212,1.62905929224333e-09,5.314228730679549e-08,5.3167250581308424e-08,-5.0000001891401356,,2.9122990194106544e-23,,1.0546370269730687,0.17420875001698732,1.228845776990056,1.1024546701184523,0.010022077864597195,-465.3020417083182,465.3020417083182,4516,1601,3201,5.45898709430329e-07,4.011149966302692e-06,5.458987094303086e-07,4.011149966309986e-06,1.2284192186107254e-06,3.5981204684041847e-06,4.630386312916284e-07,3.982832326987101e-06,1.48991929904696e-13,7.577605209974081e-12
COMPLETED,,pinn,all,1.05,0.115,False,1.2100138419185254e-10,0.0719056899252925,6.325834317240008e-08,0.0719066696607979,6.313734178820823e-08,9.797355053908774e-07,9.817677854012113e-07,-5.000006473593663,,6.231728520917149e-23,,1.0428683422505856,0.17337521072477102,1.2162435529753566,1.1024516154245534,0.01056837293482005,-412.287551566486,412.287551566486,4515,1601,3201,1.8814960455385046e-06,5.675374011103062e-06,1.8814960455418189e-06,5.675374011113403e-06,4.067888252932153e-06,5.996241987989971e-06,5.720270350988142e-06,6.1402081126831785e-06,1.7703616350672746e-12,1.3520295993885156e-11
COMPLETED,,pinn,all,1.05,0.12,False,6.803041450145497e-10,0.0798199008171065,1.7067766181890048e-08,0.0798200392767592,1.6387462036875498e-08,1.3845965268766136e-07,1.394260532841615e-07,-5.0000016085912335,,9.959187174862711e-23,,1.0317992568016052,0.1718197138980031,1.2036189706996083,1.1024441659820405,0.011136581402370853,-364.11985219001,364.11985219001,4515,1601,3201,6.909456838327334e-07,4.812952573548801e-06,6.909456838333945e-07,4.812952573551051e-06,1.321584881771693e-06,4.252982323071568e-06,8.050498967295853e-07,4.745259857527701e-06,2.3869795029440866e-13,1.1073475469913774e-11
COMPLETED,,pinn,all,1.05,0.125,False,1.9696640297120387e-10,0.0900435605323562,5.967587840583381e-07,0.0900463022511318,5.965618176553669e-07,2.7417187756090255e-06,2.805870247679199e-06,-5.000051155123318,,1.713474075276685e-22,,1.0163660421967506,0.16942419949918985,1.1857902416959405,1.1024433919867895,0.011728334769415776,-318.81584575967867,318.81584575967867,4514,1601,3201,5.157278046648431e-06,1.0463745997999996e-05,5.157278046650838e-06,1.0463745998006303e-05,1.0918053358444715e-05,1.2755688567159363e-05,1.4093397861531007e-05,1.3824697709135946e-05,1.3298362411262588e-11,4.6986858848185875e-11
