benchmark_id,mach_index,alpha_index,Mach,alpha,primary_chart
0,0,0,1.018,0.05775,C00
1,0,1,1.018,0.07325000000000001,C00
2,0,2,1.018,0.08875,C00
3,0,3,1.018,0.10425000000000001,C00
4,0,4,1.018,0.11975,C00
5,0,5,1.018,0.13525,C01
6,0,6,1.018,0.15075,C01
7,0,7,1.018,0.16625,C01
8,0,8,1.018,0.18175,C01
9,0,9,1.018,0.19725,C01
10,0,10,1.018,0.21275,C02
11,0,11,1.018,0.22824999999999998,C02
12,0,12,1.018,0.24375,C02
13,0,13,1.018,0.25925,C02
14,0,14,1.018,0.27475,C02
15,0,15,1.018,0.29025,C02
16,0,16,1.018,0.30574999999999997,C02
17,0,17,1.018,0.32125000000000004,C02
18,0,18,1.018,0.33675,C02
19,0,19,1.018,0.35224999999999995,C02
20,1,0,1.054,0.05775,C00
21,1,1,1.054,0.07325000000000001,C00
22,1,2,1.054,0.08875,C00
23,1,3,1.054,0.10425000000000001,C00
24,1,4,1.054,0.11975,C01
25,1,5,1.054,0.13525,C01
26,1,6,1.054,0.15075,C01
27,1,7,1.054,0.16625,C01
28,1,8,1.054,0.18175,C01
29,1,9,1.054,0.19725,C01
30,1,10,1.054,0.21275,C02
31,1,11,1.054,0.22824999999999998,C02
32,1,12,1.054,0.24375,C02
33,1,13,1.054,0.25925,C02
34,1,14,1.054,0.27475,C02
35,1,15,1.054,0.29025,C02
36,1,16,1.054,0.30574999999999997,C02
37,1,17,1.054,0.32125000000000004,C02
38,1,18,1.054,0.33675,C02
39,1,19,1.054,0.35224999999999995,C02
40,2,0,1.09,0.05775,C00
41,2,1,1.09,0.07325000000000001,C00
42,2,2,1.09,0.08875,C00
43,2,3,1.09,0.10425000000000001,C00
44,2,4,1.09,0.11975,C01
45,2,5,1.09,0.13525,C01
46,2,6,1.09,0.15075,C01
47,2,7,1.09,0.16625,C01
48,2,8,1.09,0.18175,C01
49,2,9,1.09,0.19725,C01
50,2,10,1.09,0.21275,C02
51,2,11,1.09,0.22824999999999998,C02
52,2,12,1.09,0.24375,C02
53,2,13,1.09,0.25925,C02
54,2,14,1.09,0.27475,C02
55,2,15,1.09,0.29025,C02
56,2,16,1.09,0.30574999999999997,C02
57,2,17,1.09,0.32125000000000004,C02
58,2,18,1.09,0.33675,C02
59,2,19,1.09,0.35224999999999995,C02
60,3,0,1.126,0.05775,C00
61,3,1,1.126,0.07325000000000001,C00
62,3,2,1.126,0.08875,C00
63,3,3,1.126,0.10425000000000001,C00
64,3,4,1.126,0.11975,C01
65,3,5,1.126,0.13525,C01
66,3,6,1.126,0.15075,C01
67,3,7,1.126,0.16625,C01
68,3,8,1.126,0.18175,C01
69,3,9,1.126,0.19725,C01
70,3,10,1.126,0.21275,C02
71,3,11,1.126,0.22824999999999998,C02
72,3,12,1.126,0.24375,C02
73,3,13,1.126,0.25925,C02
74,3,14,1.126,0.27475,C02
75,3,15,1.126,0.29025,C02
76,3,16,1.126,0.30574999999999997,C02
77,3,17,1.126,0.32125000000000004,C02
78,3,18,1.126,0.33675,C02
79,3,19,1.126,0.35224999999999995,C02
80,4,0,1.162,0.05775,C00
81,4,1,1.162,0.07325000000000001,C00
82,4,2,1.162,0.08875,C00
83,4,3,1.162,0.10425000000000001,C00
84,4,4,1.162,0.11975,C01
85,4,5,1.162,0.13525,C01
86,4,6,1.162,0.15075,C01
87,4,7,1.162,0.16625,C01
88,4,8,1.162,0.18175,C01
89,4,9,1.162,0.19725,C01
90,4,10,1.162,0.21275,C02
91,4,11,1.162,0.22824999999999998,C02
92,4,12,1.162,0.24375,C02
93,4,13,1.162,0.25925,C02
94,4,14,1.162,0.27475,C02
95,4,15,1.162,0.29025,C02
96,4,16,1.162,0.30574999999999997,C02
97,4,17,1.162,0.32125000000000004,C02
98,4,18,1.162,0.33675,C02
99,4,19,1.162,0.35224999999999995,C02
100,5,0,1.198,0.05775,C00
101,5,1,1.198,0.07325000000000001,C00
102,5,2,1.198,0.08875,C00
103,5,3,1.198,0.10425000000000001,C00
104,5,4,1.198,0.11975,C01
105,5,5,1.198,0.13525,C01
106,5,6,1.198,0.15075,C01
107,5,7,1.198,0.16625,C01
108,5,8,1.198,0.18175,C01
109,5,9,1.198,0.19725,C01
110,5,10,1.198,0.21275,C02
111,5,11,1.198,0.22824999999999998,C02
112,5,12,1.198,0.24375,C02
113,5,13,1.198,0.25925,C02
114,5,14,1.198,0.27475,C02
115,5,15,1.198,0.29025,C02
116,5,16,1.198,0.30574999999999997,C02
117,5,17,1.198,0.32125000000000004,C02
118,5,18,1.198,0.33675,C02
119,5,19,1.198,0.35224999999999995,C02
120,6,0,1.234,0.05775,C10
121,6,1,1.234,0.07325000000000001,C10
122,6,2,1.234,0.08875,C10
123,6,3,1.234,0.10425000000000001,C10
124,6,4,1.234,0.11975,C11
125,6,5,1.234,0.13525,C11
126,6,6,1.234,0.15075,C11
127,6,7,1.234,0.16625,C11
128,6,8,1.234,0.18175,C11
129,6,9,1.234,0.19725,C11
130,6,10,1.234,0.21275,C12
131,6,11,1.234,0.22824999999999998,C12
132,6,12,1.234,0.24375,C12
133,6,13,1.234,0.25925,C12
134,6,14,1.234,0.27475,C12
135,6,15,1.234,0.29025,C12
136,6,16,1.234,0.30574999999999997,C12
137,6,17,1.234,0.32125000000000004,C12
138,6,18,1.234,0.33675,C12
139,6,19,1.234,0.35224999999999995,C02
140,7,0,1.27,0.05775,C10
141,7,1,1.27,0.07325000000000001,C10
142,7,2,1.27,0.08875,C10
143,7,3,1.27,0.10425000000000001,C10
144,7,4,1.27,0.11975,C11
145,7,5,1.27,0.13525,C11
146,7,6,1.27,0.15075,C11
147,7,7,1.27,0.16625,C11
148,7,8,1.27,0.18175,C11
149,7,9,1.27,0.19725,C11
150,7,10,1.27,0.21275,C12
151,7,11,1.27,0.22824999999999998,C12
152,7,12,1.27,0.24375,C12
153,7,13,1.27,0.25925,C12
154,7,14,1.27,0.27475,C12
155,7,15,1.27,0.29025,C12
156,7,16,1.27,0.30574999999999997,C12
157,7,17,1.27,0.32125000000000004,C12
158,7,18,1.27,0.33675,C12
159,7,19,1.27,0.35224999999999995,C12
160,8,0,1.306,0.05775,C10
161,8,1,1.306,0.07325000000000001,C10
162,8,2,1.306,0.08875,C10
163,8,3,1.306,0.10425000000000001,C10
164,8,4,1.306,0.11975,C11
165,8,5,1.306,0.13525,C11
166,8,6,1.306,0.15075,C11
167,8,7,1.306,0.16625,C11
168,8,8,1.306,0.18175,C11
169,8,9,1.306,0.19725,C11
170,8,10,1.306,0.21275,C12
171,8,11,1.306,0.22824999999999998,C12
172,8,12,1.306,0.24375,C12
173,8,13,1.306,0.25925,C12
174,8,14,1.306,0.27475,C12
175,8,15,1.306,0.29025,C12
176,8,16,1.306,0.30574999999999997,C12
177,8,17,1.306,0.32125000000000004,C12
178,8,18,1.306,0.33675,C12
179,8,19,1.306,0.35224999999999995,C12
180,9,0,1.3419999999999999,0.05775,C10
181,9,1,1.3419999999999999,0.07325000000000001,C10
182,9,2,1.3419999999999999,0.08875,C10
183,9,3,1.3419999999999999,0.10425000000000001,C10
184,9,4,1.3419999999999999,0.11975,C11
185,9,5,1.3419999999999999,0.13525,C11
186,9,6,1.3419999999999999,0.15075,C11
187,9,7,1.3419999999999999,0.16625,C11
188,9,8,1.3419999999999999,0.18175,C11
189,9,9,1.3419999999999999,0.19725,C11
190,9,10,1.3419999999999999,0.21275,C12
191,9,11,1.3419999999999999,0.22824999999999998,C12
192,9,12,1.3419999999999999,0.24375,C12
193,9,13,1.3419999999999999,0.25925,C12
194,9,14,1.3419999999999999,0.27475,C12
195,9,15,1.3419999999999999,0.29025,C12
196,9,16,1.3419999999999999,0.30574999999999997,C12
197,9,17,1.3419999999999999,0.32125000000000004,C12
198,9,18,1.3419999999999999,0.33675,C12
199,9,19,1.3419999999999999,0.35224999999999995,C12
200,10,0,1.378,0.05775,C10
201,10,1,1.378,0.07325000000000001,C10
202,10,2,1.378,0.08875,C10
203,10,3,1.378,0.10425000000000001,C10
204,10,4,1.378,0.11975,C11
205,10,5,1.378,0.13525,C11
206,10,6,1.378,0.15075,C11
207,10,7,1.378,0.16625,C11
208,10,8,1.378,0.18175,C11
209,10,9,1.378,0.19725,C11
210,10,10,1.378,0.21275,C12
211,10,11,1.378,0.22824999999999998,C12
212,10,12,1.378,0.24375,C12
213,10,13,1.378,0.25925,C12
214,10,14,1.378,0.27475,C12
215,10,15,1.378,0.29025,C12
216,10,16,1.378,0.30574999999999997,C12
217,10,17,1.378,0.32125000000000004,C12
218,10,18,1.378,0.33675,C12
219,10,19,1.378,0.35224999999999995,C12
220,11,0,1.414,0.05775,C10
221,11,1,1.414,0.07325000000000001,C20
222,11,2,1.414,0.08875,C20
223,11,3,1.414,0.10425000000000001,C20
224,11,4,1.414,0.11975,C21
225,11,5,1.414,0.13525,C21
226,11,6,1.414,0.15075,C21
227,11,7,1.414,0.16625,C21
228,11,8,1.414,0.18175,C21
229,11,9,1.414,0.19725,C21
230,11,10,1.414,0.21275,C22
231,11,11,1.414,0.22824999999999998,C22
232,11,12,1.414,0.24375,C22
233,11,13,1.414,0.25925,C22
234,11,14,1.414,0.27475,C22
235,11,15,1.414,0.29025,C22
236,11,16,1.414,0.30574999999999997,C22
237,11,17,1.414,0.32125000000000004,C22
238,11,18,1.414,0.33675,C22
239,11,19,1.414,0.35224999999999995,C12
240,12,0,1.45,0.05775,C20
