epoch,loss,compat,ode,bc,gauge,q0,anchor_p,anchor_q,tail_p,tail_q,lr
1,0.0026351504904551723,5.747525438588441e-05,4.896284512209365e-06,3.4371154715018487e-13,1.910501760380844e-09,0.000520112838185931,6.047801521700279e-06,2.5795228775834532e-05,0.007330847071771931,0.0009042056288644477,9.9999973955213e-06
2,0.018757135300438505,7.729848568629598e-05,6.438179427381491e-06,7.666998511619181e-10,7.902043949740617e-05,0.0005777622150204265,0.00011574995440618964,0.0003872859413870176,0.007348459635802826,0.0009031969657153018,9.999989582088054e-06
3,0.005211251800744443,5.5542980335710225e-05,4.677089494989538e-06,3.6760554437583685e-10,4.020215432143411e-06,0.0005120621746697639,2.5580657974500658e-05,0.00016712525037155675,0.007337307313601104,0.0009016384339280411,9.999976559708828e-06
4,0.008781302019374408,6.174881527040311e-05,6.1213378538760855e-06,7.349638435290081e-11,3.2191037609217285e-05,0.0004885311947455735,3.648899060442208e-05,0.00019116166761268567,0.007336049208270613,0.0009021823064867733,9.999958328397903e-06
5,0.005865928586230436,6.0830371822137504e-05,5.053631711522579e-06,6.179696920864655e-11,5.7261164218210395e-06,0.0005071712912502695,3.320469483541136e-05,0.0001794025925934806,0.007335590967683396,0.0009028751976881469,9.999934888175277e-06
6,0.0054352925573761006,5.8926254930095776e-05,4.837569922786534e-06,6.866913517742469e-11,5.2983260944163e-06,0.0005353206895594746,3.717733119321525e-05,0.00012686178378552428,0.007334802567957056,0.0009029745369535788,9.99990623906665e-06
7,0.00518567214007157,6.050748002014718e-05,4.971937110688088e-06,3.392874239798312e-11,1.0145057278751561e-05,0.000540784851869099,2.5673326491371847e-05,9.774662797972132e-05,0.0073342516985266835,0.0009024376631157798,9.999872381103444e-06
8,0.0033673224948204622,4.464706512448715e-05,4.285396729432147e-06,7.347049954460088e-11,4.1719928780469137e-07,0.0005250612797820074,1.7232085184015963e-05,6.350657575290661e-05,0.00733425413255711,0.0009015297337936495,9.999833314322784e-06
9,0.0043967534986236395,6.347895819562617e-05,5.48706362801056e-06,1.608435350193703e-10,4.145025259756801e-06,0.0005082493755838181,3.0338268890709317e-05,5.671824191829861e-05,0.00733422098000928,0.0009006033345535288,9.999789038767512e-06
10,0.003945763201617213,5.5991704550158205e-05,4.739821823656451e-06,1.6869496666993515e-10,1.5304234147439626e-06,0.0005128511876628705,2.294017716197401e-05,7.560552660835431e-05,0.007333661317722208,0.0009001521279678416,9.999739554486184e-06
11,0.003398812160279686,6.342587789815574e-05,5.209582468885333e-06,1.2014087480849813e-10,4.7046027260394203e-07,0.0005247749297232803,1.3663872340285488e-05,6.071737221637017e-05,0.0073333571577203155,0.0009001815842440114,9.999684861533062e-06
12,0.0035727710251550943,6.066231000020825e-05,4.611411413287611e-06,5.7806875589459836e-11,1.3465363497421819e-06,0.0005284515365605415,2.114584728975922e-05,4.2784502529000606e-05,0.007333354755299503,0.0009005830393626095,9.999624959968127e-06
13,0.0030160292364550226,4.821248768815609e-05,4.307251348509849e-06,4.1649460401513325e-11,4.175024066413295e-08,0.0005203780459071005,1.520820995990096e-05,3.6677059070078095e-05,0.007332578418945605,0.000900826322936032,9.999559849857066e-06
14,0.00298103673944763,4.9420426390487504e-05,4.362013510109847e-06,7.268542911032746e-11,5.968352976584624e-07,0.0005163489159000224,1.1694196827538634e-05,4.044516478778352e-05,0.007331374042557777,0.0009006605495258411,9.999489531271283e-06
15,0.0032698521871417424,5.376067927041273e-05,4.913515524604429e-06,1.4137491453784574e-10,8.335437553968721e-09,0.0005196831164621318,1.858850959693732e-05,4.275444456845225e-05,0.0073308714205760645,0.0009002950852131027,9.999414004287889e-06
16,0.0030531071885165836,6.301641647896855e-05,4.506969869875653e-06,2.2104458969573758e-10,1.5356002656445169e-07,0.0005220754650547748,1.238784225307153e-05,3.556644606504887e-05,0.007331649222818703,0.0009000981228562399,9.999333268989706e-06
17,0.003071163739635011,6.527861407386762e-05,4.65979043964578e-06,2.2984439866201668e-10,6.488905052220001e-08,0.0005208978289273123,1.0360582222665895e-05,4.3923832595512547e-05,0.0073331195329844,0.0009000134220208465,9.999247325465276e-06
18,0.0030361356327522557,6.86818687821646e-05,4.285137839303212e-06,1.5150239325816154e-10,3.2316651303454214e-08,0.0005203160439750247,1.085715579141901e-05,3.571095116240954e-05,0.007334213369683997,0.0008998490828342273,9.999156173808842e-06
19,0.002859622875842839,5.964411112262327e-05,4.434299536113686e-06,5.76551605457763e-11,1.6077797920735674e-08,0.0005201901603796702,8.695653581817802e-06,3.576323040475052e-05,0.007333990403078821,0.0008994661684840684,9.999059814120366e-06
20,0.002984221909253247,5.74733636615571e-05,4.443464244287777e-06,1.792685588674846e-11,5.3149161381917306e-08,0.0005185846241174238,9.131720447723146e-06,4.828317853600054e-05,0.0073334225125040835,0.0008990649949948157,9.998958246505516e-06
21,0.0029619946041258,6.624920769564264e-05,4.691774652880492e-06,1.8597128394579165e-11,1.980461689146852e-07,0.0005176924785115787,9.213257241185831e-06,3.5260907722334084e-05,0.00733349797320491,0.0008988166058955272,9.998851471075674e-06
22,0.0027141527762818067,5.3852771903015124e-05,4.170922623035441e-06,4.8493629117521336e-11,8.910780876377503e-10,0.0005202921596959382,8.906908553545207e-06,2.658908529312406e-05,0.007333622377083117,0.0008986816570056524,9.998739487947932e-06
23,0.0027701452935222593,5.602311404981137e-05,4.090539029175788e-06,1.012839705704743e-10,2.2412681683617287e-07,0.0005231222012878681,8.159581752067595e-06,3.087216803116879e-05,0.007332814083650911,0.000898525764895697,9.998622297245094e-06
24,0.002796714590006634,5.858394282490646e-05,4.71305002994692e-06,1.4779907557392442e-10,1.1780040392259881e-07,0.0005219156673230169,8.721000107120848e-06,2.9193095481746773e-05,0.0073313776839964455,0.0008983033836547634,9.998499899095673e-06
25,0.0028323964922605718,5.9916964663653605e-05,4.717935034581634e-06,1.6291261432867898e-10,8.007726649324381e-09,0.0005188303484826364,1.0292321071155828e-05,2.625693712135325e-05,0.007330381020564094,0.0008981009237683208,9.998372293633896e-06
26,0.002754007661453221,5.7922221917900755e-05,4.3420813037214035e-06,1.4786343106882964e-10,2.828637626588519e-08,0.0005180951085204286,8.956969546498538e-06,2.5930843279706068e-05,0.007330234427442929,0.0008979786839240316,9.998239480999696e-06
27,0.0026684338891268438,5.645213094833862e-05,4.502692543270996e-06,1.1606047533852939e-10,2.8646379412462403e-09,0.0005195013765106917,6.9422820337218e-06,2.6989912868270825e-05,0.007330570656878062,0.0008978465559984782,9.998101461338718e-06
28,0.0027184183000581318,5.663267529177994e-05,4.710431946984217e-06,8.381651608607986e-11,9.200828752549738e-09,0.000520509593492355,7.917911821498257e-06,2.7628198015057354e-05,0.007330934269363035,0.0008976032316360584,9.997958234802319e-06
29,0.0027565534699081754,6.204588912907795e-05,4.548341553512222e-06,7.223122343731493e-11,5.2626229505614375e-09,0.0005208696288635199,8.058990124315056e-06,2.5659332946596423e-05,0.007331327848677374,0.0008972990397741449,9.997809801547563e-06
30,0.0026572470430293814,5.536390459349937e-05,4.301533070254857e-06,8.838328520182269e-11,4.406362211697286e-09,0.0005209756388524434,6.311001561527077e-06,2.965330353946326e-05,0.0073316324154652735,0.0008970136311239,9.997656161737225e-06
31,0.0026579440821423565,5.3399778126379636e-05,4.5441421696649355e-06,1.2617902946006056e-10,5.634897119592668e-10,0.0005205261627915917,6.2532627402787796e-06,3.171866842119143e-05,0.007331447528423633,0.0008967861424466739,9.99749731553979e-06
32,0.0026004137978211284,5.260193861293852e-05,4.396836104899878e-06,1.716803964272241e-10,3.137848475672338e-09,0.00052021723870699,6.67353257879731e-06,2.521603645050605e-05,0.007330855391260054,0.0008967217255656918,9.997333263129455e-06
33,0.002594550490381611,5.288352618844946e-05,4.375778443740168e-06,2.0387211342345616e-10,7.472793504245323e-09,0.0005208274342928501,5.9149259907302774e-06,2.7369835667246585e-05,0.007330340603835425,0.0008968514039651898,9.997164004686121e-06
34,0.0025923042998763895,5.0108586828621194e-05,4.2478298067239905e-06,1.977675575007662e-10,2.1487340817688167e-08,0.0005207777648525628,5.760716200994863e-06,3.053310140196973e-05,0.007329895954679086,0.0008969718218941907,9.996989540395402e-06
35,0.0026716343996101097,5.8997468304958666e-05,4.626743035312448e-06,1.7196827017143465e-10,4.512295356219794e-09,0.0005191943984934273,6.411262176748166e-06,2.677733298413431e-05,0.00732934331993702,0.0008969027281539858,9.996809870448618e-06
