zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.00562574416200407,0.009674921592801583,0.4444444444444443,0.4447050988682569,0.3852940959790534,0.38529623547014535
center_|y|<=60,4428,0.012980512661896449,0.011460253278382064,0.4444444444444443,0.4447050988682569,0.38313135706898654,0.38311974199615156
diagnostic_|y|<=80,4474,0.07612507347567214,0.06321336150304804,0.4444444444444443,0.4447050988682569,0.38025925744001393,0.3804140443302532
left_-120_-80,22,0.3126317620275275,0.6458814710961057,0.19160015942325298,0.20382854623021396,0.16081261362660448,0.12956860634441458
right_50_120,70,3.1773931970905154,10.282700132274229,0.025455375471193864,0.09375173669060512,0.009587622283895116,0.021935875875976615
right_y>80,65,20.521651604749238,58.62951432388551,0.004359332052702023,0.031748782824312746,0.0008211750505230733,0.006645564252373922
right_y>120,40,203.5562374755181,569.7257293896014,0.0004320030863235761,0.031748782824312746,6.814475709474488e-05,0.0065266467616427555
left_y<-80,55,0.5583390841165328,0.7049460472896965,0.19160015942325298,0.20382854623021396,0.09869675923139785,0.07251180124575035
outside_|y|>80,120,0.37321708016161975,0.40828044602229224,0.19160015942325298,0.20382854623021396,0.04568081780009069,0.036834256207671445
full_domain,4594,0.24151099258199074,0.27605811216091986,0.4444444444444443,0.4447050988682569,0.37151972484167023,0.37143938726131337
