step,lambda_qdef,eval_modal_mse,eval_qdef_mse,eval_objective,train_modal_mse,train_qdef_mse,train_total
0,0.0,8.641745080240071e-05,1.6566526028327644e-05,8.807410340523347e-05,,,
1,0.0006666666666666668,0.00012679913197644055,3.0945666367188096e-05,0.00012989369861315936,7.944072422105819e-05,1.5370440451079048e-05,7.945096876937896e-05
100,0.06666666666666667,8.632981189293787e-05,1.4057830412639305e-05,8.77355949342018e-05,0.00012152626732131466,1.3684373698197305e-05,0.00012243856326676905
200,0.1,8.625916962046176e-05,1.3832405784341972e-05,8.764241019889595e-05,0.00012198614422231913,1.3522176232072525e-05,0.0001233383663929999
300,0.1,8.647447975818068e-05,1.4008790458319709e-05,8.787535880401265e-05,6.178238982101902e-05,1.2768477972713299e-05,6.305924034677446e-05
400,0.1,8.647194772493094e-05,1.269841413886752e-05,8.77417891388177e-05,5.459477688418701e-05,1.3066880455880892e-05,5.5901466112118214e-05
500,0.1,8.709359099157155e-05,1.300781877944246e-05,8.839437286951579e-05,5.168083589524031e-05,1.269288895855425e-05,5.29501230630558e-05
600,0.1,8.769431588007137e-05,1.434137266187463e-05,8.912845314625883e-05,0.00010318435670342296,1.321740091952961e-05,0.00010450609988765791
700,0.1,8.755615272093564e-05,1.1907441148650832e-05,8.874689683580073e-05,9.552403207635507e-05,1.1058509699068964e-05,9.662988304626197e-05
800,0.1,8.799976058071479e-05,1.1376760994608048e-05,8.913743668017559e-05,0.0001362600305583328,1.2379176041577011e-05,0.00013749794743489474
900,0.1,8.873666956787929e-05,1.0971722076646984e-05,8.983384177554398e-05,8.426720887655392e-05,1.0916637620539404e-05,8.535887172911316e-05
1000,0.1,8.903849811758846e-05,1.073086150427116e-05,9.011158426801558e-05,5.259637691779062e-05,1.0788301551656332e-05,5.367520861909725e-05
1100,0.1,8.798156341072172e-05,1.1091588930867147e-05,8.909072230380843e-05,0.00010903188376687467,1.1656188689812552e-05,0.00011019749945262447
1200,0.1,8.918628736864775e-05,1.014286681311205e-05,9.020057404995896e-05,2.1021573047619313e-05,1.0282421499141492e-05,2.2049815015634522e-05
1300,0.1,8.76390840858221e-05,9.805905392568093e-06,8.861967462507892e-05,4.3166342948097736e-05,1.054947824741248e-05,4.4221291318535805e-05
1400,0.1,8.779045310802758e-05,1.0369116353103891e-05,8.882736474333797e-05,0.00012954497651662678,1.0202254088653717e-05,0.00013056519674137235
1500,0.1,8.758349576964974e-05,9.517951184534468e-06,8.853529088810319e-05,8.37537954794243e-05,9.815847079153173e-06,8.473538036923856e-05
