point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note
M1.10_a0.175000,1.1,0.175,0.1508143457011082,0.092213234034898,0.01613731595610715,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,9.209272529347948e-06,3.3933657261595065e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.10_a0.200000,1.1,0.2,0.1656761547463344,0.0791796566675815,0.015835931333516302,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.314381709687337e-05,2.9859546502175105e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.20_a0.150000,1.2,0.15,0.209251477505801,0.0890539934231143,0.013358099013467146,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.20_a0.175000,1.2,0.175,0.2259107392431602,0.0762428518157576,0.01334249906775758,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.20_a0.187500,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.013099853341205982,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.20_a0.200000,1.2,0.2,0.2398365204931603,0.0634987111907576,0.012699742238151521,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.20_a0.208333,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.012347937652800978,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.20_a0.216667,1.2,0.216667,0.2479483075702228,0.055042805686539,0.011925959579685345,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.25_a0.250000,1.25,0.25,0.2550098377696084,0.0304106202499422,0.00760265506248555,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0285205931752853,6.926989067349518e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.30_a0.100000,1.3,0.1,0.2292287978156679,0.0908323489283033,0.009083234892830331,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
