split,Mach,s,alpha_neutral,alpha,distance_to_neutral,chart_s_low,chart_s_bulk,chart_s_neutral,chart_M_sonic,chart_M_mid,chart_M_high
train,1.0,0.05,0.3623506509887782,0.018117532549438913,0.95,True,False,False,True,False,False
train,1.0,0.1,0.3623506509887782,0.036235065098877826,0.9,True,False,False,True,False,False
train,1.0,0.2,0.3623506509887782,0.07247013019775565,0.8,False,True,False,True,False,False
train,1.0,0.35,0.3623506509887782,0.12682272784607238,0.65,False,True,False,True,False,False
train,1.0,0.5,0.3623506509887782,0.1811753254943891,0.5,False,True,False,True,False,False
train,1.0,0.65,0.3623506509887782,0.23552792314270585,0.35,False,True,False,True,False,False
train,1.0,0.78,0.3623506509887782,0.282633507771247,0.21999999999999997,False,True,False,True,False,False
train,1.0,0.87,0.3623506509887782,0.315245066360237,0.13,False,True,True,True,False,False
train,1.0,0.93,0.3623506509887782,0.33698610541956375,0.06999999999999995,False,False,True,True,False,False
train,1.0,0.97,0.3623506509887782,0.3514801314591149,0.030000000000000027,False,False,True,True,False,False
train,1.0,0.985,0.3623506509887782,0.35691539122394655,0.015000000000000013,False,False,True,True,False,False
train,1.02,0.05,0.3612992915335575,0.018064964576677875,0.95,True,False,False,True,False,False
train,1.02,0.1,0.3612992915335575,0.03612992915335575,0.9,True,False,False,True,False,False
train,1.02,0.2,0.3612992915335575,0.0722598583067115,0.8,False,True,False,True,False,False
train,1.02,0.35,0.3612992915335575,0.1264547520367451,0.65,False,True,False,True,False,False
train,1.02,0.5,0.3612992915335575,0.18064964576677875,0.5,False,True,False,True,False,False
train,1.02,0.65,0.3612992915335575,0.2348445394968124,0.35,False,True,False,True,False,False
train,1.02,0.78,0.3612992915335575,0.28181344739617487,0.21999999999999997,False,True,False,True,False,False
train,1.02,0.87,0.3612992915335575,0.314330383634195,0.13,False,True,True,True,False,False
train,1.02,0.93,0.3612992915335575,0.3360083411262085,0.06999999999999995,False,False,True,True,False,False
train,1.02,0.97,0.3612992915335575,0.35046031278755074,0.030000000000000027,False,False,True,True,False,False
train,1.02,0.985,0.3612992915335575,0.35587980216055415,0.015000000000000013,False,False,True,True,False,False
