Mach,n_points,alpha_previous,ci_previous,alpha_last,ci_last,alpha_neutral_secant,secant_slope_dci_dalpha,alpha_neutral_last3,last3_slope_dci_dalpha,alpha_neutral_selected,delta_alpha_from_last,fit_spread,cr_neutral_estimate,dcr_dalpha_last,selected_method,status
1.0,17,0.36118,7.418138648741771e-05,0.36168,4.249756816816001e-05,0.3623506509887782,-0.06336763663850095,0.36156987362481513,-0.48571127272603,0.3623506509887782,0.0006706509887782208,,0.17296452007205695,-0.05970088362738929,last_two_secant,ok
1.02,16,0.35868,0.0007222351080002,0.36118,3.28930676554048e-05,0.3612992915335575,-0.27573681613791823,0.3608302640352038,-0.4746224104130097,0.3612992915335575,0.00011929153355749733,,0.1882573149778624,0.34630088049780705,last_two_secant,ok
1.05,16,0.35618,5.540571853500158e-05,0.35668,3.734225213881599e-05,0.3577136402581817,-0.036126932792367665,0.35655254730467184,-0.45635047189559147,0.3577136402581817,0.0010336402581817006,,0.2085472541713608,0.6553564669866113,last_two_secant,ok
1.1,15,0.34618,0.0005495419916363,0.34743,4.563308418674561e-05,0.34754319775139936,-0.40312712595963346,0.3474291777653089,-0.49520764814820917,0.34754319775139936,0.00011319775139934096,,0.23687554672322916,0.293774963911113,last_two_secant,ok
1.15,16,0.33718,5.5920533416527975e-05,0.33768,3.6350804874611176e-05,0.3386087508714479,-0.0391394570838289,0.3376147612949982,-0.3278292650120168,0.3386087508714479,0.0009287508714479475,,0.2635269705769936,0.37554834218655986,last_two_secant,ok
1.2,14,0.32618,0.0003173330658171,0.32718,3.817263835999999e-05,0.32731674086512796,-0.27916042745709113,0.32711181229301883,-0.4433251386919593,0.32731674086512796,0.00013674086512793782,,0.28728344439379505,0.2860996495359089,last_two_secant,ok
1.25,14,0.31618,0.000202961065093,0.31668,4.307277838254402e-05,0.3168146964786124,-0.31977657342092003,0.3167071354705167,-0.45497461696409736,0.3168146964786124,0.00013469647861236167,0.00010756100809566904,0.3097455009003375,0.42125001500437037,last_two_secant,ok
1.3,13,0.30618,0.0002345930726577,0.30718,3.156104531467519e-05,0.30733544860447726,-0.2030320273430227,0.30705851540620394,-0.3935121203149755,0.30733544860447726,0.0001554486044772485,,0.33103254071673477,0.44778605021872325,last_two_secant,ok
1.35,13,0.29618,0.0004267317867512,0.29718,4.397156994415999e-05,0.2972948801991778,-0.38276021680701433,0.2972491334207653,-0.41880394606192894,0.2972948801991778,0.00011488019917782477,4.574677841251429e-05,0.3505751981554722,0.31408548317868296,last_two_secant,ok
1.4,12,0.28618,0.0007706121473031,0.28868,2.755876242219201e-05,0.28877272134069687,-0.29722135395236393,0.28862579200942806,-0.35327207182559456,0.28877272134069687,9.272134069687743e-05,,0.36966610082990947,0.35933949019020217,last_two_secant,ok
